country,age,sex,suicides_no
Albania,25-34 years,male,9
Albania,25-34 years,female,4
Albania,25-34 years,female,5
Albania,25-34 years,male,5
Albania,25-34 years,male,18
Albania,25-34 years,female,2
Albania,25-34 years,male,7
Albania,25-34 years,female,4
Albania,25-34 years,male,9
Albania,25-34 years,female,7
Albania,25-34 years,male,6
Albania,25-34 years,female,4
Albania,25-34 years,male,13
Albania,25-34 years,female,7
Albania,25-34 years,male,14
Albania,25-34 years,female,10
Albania,25-34 years,male,36
Albania,25-34 years,female,16
Albania,25-34 years,male,26
Albania,25-34 years,female,10
Albania,25-34 years,male,19
Albania,25-34 years,female,13
Albania,25-34 years,male,17
Albania,25-34 years,female,3
Albania,25-34 years,male,22
Albania,25-34 years,female,4
Albania,25-34 years,male,23
Albania,25-34 years,female,7
Albania,25-34 years,male,9
Albania,25-34 years,female,9
Albania,25-34 years,male,16
Albania,25-34 years,female,11
Albania,25-34 years,female,0
Albania,25-34 years,male,0
Albania,25-34 years,female,0
Albania,25-34 years,male,0
Albania,25-34 years,male,9
Albania,25-34 years,female,8
Albania,25-34 years,male,21
Albania,25-34 years,female,9
Albania,25-34 years,female,0
Albania,25-34 years,male,0
Albania,25-34 years,male,9
Albania,25-34 years,female,6
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,male,1
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,25-34 years,male,0
Argentina,25-34 years,male,177
