country,age,sex,suicides_no
Albania,75+ years,male,1
Albania,75+ years,female,1
Albania,75+ years,female,2
Albania,75+ years,male,1
Albania,75+ years,male,2
Albania,75+ years,female,0
Albania,75+ years,female,0
Albania,75+ years,male,0
Albania,75+ years,male,1
Albania,75+ years,female,0
Albania,75+ years,male,2
Albania,75+ years,female,2
Albania,75+ years,female,2
Albania,75+ years,male,1
Albania,75+ years,male,2
Albania,75+ years,female,2
Albania,75+ years,male,3
Albania,75+ years,female,2
Albania,75+ years,male,3
Albania,75+ years,female,0
Albania,75+ years,male,3
Albania,75+ years,female,4
Albania,75+ years,female,2
Albania,75+ years,male,1
Albania,75+ years,female,2
Albania,75+ years,male,1
Albania,75+ years,male,4
Albania,75+ years,female,1
Albania,75+ years,female,6
Albania,75+ years,male,1
Albania,75+ years,male,4
Albania,75+ years,female,3
Albania,75+ years,female,0
Albania,75+ years,male,0
Albania,75+ years,female,0
Albania,75+ years,male,0
Albania,75+ years,male,8
Albania,75+ years,female,3
Albania,75+ years,female,5
Albania,75+ years,male,2
Albania,75+ years,female,0
Albania,75+ years,male,0
Albania,75+ years,male,2
Albania,75+ years,female,2
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,75+ years,male,0
Argentina,75+ years,male,202
Argentina,75+ years,female,41
Argentina,75+ years,male,230
Argentina,75+ years,female,48
Argentina,75+ years,male,200
Argentina,75+ years,female,57
Argentina,75+ years,male,216
Argentina,75+ years,female,61
Argentina,75+ years,male,208
Argentina,75+ years,female,65
Argentina,75+ years,male,226
Argentina,75+ years,female,61
Argentina,75+ years,male,184
Argentina,75+ years,female,50
Argentina,75+ years,male,194
Argentina,75+ years,female,46
Argentina,75+ years,male,229
Argentina,75+ years,female,58
Argentina,75+ years,male,192
Argentina,75+ years,female,34
Argentina,75+ years,male,190
Argentina,75+ years,female,49
Argentina,75+ years,male,189
Argentina,75+ years,female,59
Argentina,75+ years,male,195
Argentina,75+ years,female,47
Argentina,75+ years,male,201
Argentina,75+ years,female,53
Argentina,75+ years,male,204
