country,age,sex,suicides_no
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,35-54 years,male,1
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,25-34 years,male,1
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,55-74 years,male,1
Antigua and Barbuda,35-54 years,male,1
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,35-54 years,male,2
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,55-74 years,male,1
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,55-74 years,male,1
Antigua and Barbuda,35-54 years,male,1
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,35-54 years,male,1
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,55-74 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
Antigua and Barbuda,55-74 years,female,1
Antigua and Barbuda,15-24 years,female,0
Antigua and Barbuda,25-34 years,female,0
Antigua and Barbuda,35-54 years,female,0
Antigua and Barbuda,5-14 years,female,0
Antigua and Barbuda,75+ years,female,0
Antigua and Barbuda,15-24 years,male,0
Antigua and Barbuda,25-34 years,male,0
Antigua and Barbuda,35-54 years,male,0
Antigua and Barbuda,5-14 years,male,0
Antigua and Barbuda,55-74 years,male,0
Antigua and Barbuda,75+ years,male,0
