country,age,sex,suicides_no
Argentina,75+ years,male,202
Argentina,55-74 years,male,485
Argentina,35-54 years,male,414
Argentina,55-74 years,female,210
Argentina,25-34 years,male,177
Argentina,75+ years,female,41
Argentina,15-24 years,male,156
Argentina,35-54 years,female,142
Argentina,25-34 years,female,65
Argentina,15-24 years,female,69
Argentina,5-14 years,male,16
Argentina,5-14 years,female,11
Argentina,75+ years,male,230
Argentina,55-74 years,male,530
Argentina,35-54 years,male,478
Argentina,25-34 years,male,209
Argentina,75+ years,female,48
Argentina,55-74 years,female,201
Argentina,15-24 years,male,186
Argentina,35-54 years,female,188
Argentina,25-34 years,female,96
Argentina,15-24 years,female,101
Argentina,5-14 years,male,10
Argentina,5-14 years,female,7
Argentina,75+ years,male,200
Argentina,55-74 years,male,532
Argentina,35-54 years,male,482
Argentina,75+ years,female,57
Argentina,55-74 years,female,224
Argentina,25-34 years,male,192
Argentina,15-24 years,male,179
Argentina,35-54 years,female,209
Argentina,25-34 years,female,89
Argentina,15-24 years,female,93
Argentina,5-14 years,male,15
Argentina,5-14 years,female,14
Argentina,75+ years,male,216
Argentina,55-74 years,male,550
Argentina,35-54 years,male,477
Argentina,75+ years,female,61
Argentina,55-74 years,female,233
Argentina,25-34 years,male,215
Argentina,15-24 years,male,211
Argentina,35-54 years,female,198
Argentina,15-24 years,female,101
Argentina,25-34 years,female,61
Argentina,5-14 years,male,20
Argentina,5-14 years,female,11
Argentina,75+ years,male,208
Argentina,55-74 years,male,548
Argentina,35-54 years,male,462
Argentina,75+ years,female,65
Argentina,25-34 years,male,219
Argentina,55-74 years,female,201
Argentina,15-24 years,male,186
Argentina,35-54 years,female,166
Argentina,25-34 years,female,83
Argentina,15-24 years,female,80
Argentina,5-14 years,male,18
Argentina,5-14 years,female,11
Argentina,75+ years,male,226
Argentina,55-74 years,male,502
Argentina,35-54 years,male,439
Argentina,75+ years,female,61
Argentina,25-34 years,male,182
Argentina,55-74 years,female,190
Argentina,15-24 years,male,174
Argentina,35-54 years,female,163
Argentina,15-24 years,female,91
Argentina,25-34 years,female,76
Argentina,5-14 years,male,22
Argentina,5-14 years,female,14
Argentina,75+ years,male,184
Argentina,55-74 years,male,449
Argentina,35-54 years,male,398
Argentina,25-34 years,male,214
Argentina,75+ years,female,50
Argentina,55-74 years,female,169
Argentina,15-24 years,male,179
Argentina,35-54 years,female,133
Argentina,25-34 years,female,77
Argentina,15-24 years,female,61
