country,age,sex,suicides_no
Armenia,35-54 years,male,25
Armenia,75+ years,male,2
Armenia,55-74 years,male,11
Armenia,25-34 years,male,16
Armenia,35-54 years,female,15
Armenia,15-24 years,male,10
Armenia,55-74 years,female,6
Armenia,75+ years,female,1
Armenia,25-34 years,female,4
Armenia,15-24 years,female,3
Armenia,5-14 years,female,0
Armenia,5-14 years,male,0
Armenia,75+ years,male,5
Armenia,25-34 years,male,20
Armenia,55-74 years,female,11
Armenia,55-74 years,male,9
Armenia,35-54 years,male,14
Armenia,75+ years,female,2
Armenia,35-54 years,female,9
Armenia,15-24 years,male,6
Armenia,25-34 years,female,4
Armenia,15-24 years,female,0
Armenia,5-14 years,female,0
Armenia,5-14 years,male,0
Armenia,75+ years,male,3
Armenia,55-74 years,male,15
Armenia,35-54 years,male,22
Armenia,25-34 years,male,15
Armenia,55-74 years,female,10
Armenia,75+ years,female,2
Armenia,15-24 years,male,9
Armenia,35-54 years,female,6
Armenia,15-24 years,female,1
Armenia,25-34 years,female,0
Armenia,5-14 years,female,0
Armenia,5-14 years,male,0
Armenia,75+ years,female,6
Armenia,55-74 years,male,20
Armenia,75+ years,male,2
Armenia,35-54 years,male,25
Armenia,25-34 years,male,17
Armenia,55-74 years,female,14
Armenia,15-24 years,male,7
Armenia,25-34 years,female,6
Armenia,35-54 years,female,6
Armenia,15-24 years,female,3
Armenia,5-14 years,female,0
Armenia,5-14 years,male,0
Armenia,75+ years,male,7
Armenia,75+ years,female,5
Armenia,55-74 years,male,20
Armenia,35-54 years,male,31
Armenia,55-74 years,female,18
Armenia,25-34 years,male,10
Armenia,15-24 years,male,6
Armenia,35-54 years,female,7
Armenia,15-24 years,female,4
Armenia,5-14 years,male,2
Armenia,25-34 years,female,1
Armenia,5-14 years,female,1
Armenia,55-74 years,male,29
Armenia,35-54 years,male,32
Armenia,25-34 years,male,21
Armenia,75+ years,male,2
Armenia,75+ years,female,2
Armenia,55-74 years,female,11
Armenia,25-34 years,female,11
Armenia,15-24 years,male,10
Armenia,35-54 years,female,8
Armenia,15-24 years,female,3
Armenia,5-14 years,male,1
Armenia,5-14 years,female,0
Armenia,75+ years,male,3
Armenia,55-74 years,male,18
Armenia,35-54 years,male,24
Armenia,25-34 years,male,13
Armenia,55-74 years,female,12
Armenia,35-54 years,female,7
Armenia,15-24 years,male,4
Armenia,25-34 years,female,3
Armenia,15-24 years,female,1
Armenia,5-14 years,female,1
Armenia,5-14 years,male,1
Armenia,75+ years,female,0
Armenia,55-74 years,male,21
Armenia,35-54 years,male,26
Armenia,75+ years,female,3
Armenia,75+ years,male,1
Armenia,25-34 years,male,9
Armenia,55-74 years,female,8
Armenia,15-24 years,male,4
Armenia,35-54 years,female,3
Armenia,25-34 years,female,1
Armenia,5-14 years,male,1
Armenia,15-24 years,female,0
Armenia,5-14 years,female,0
Armenia,75+ years,male,2
Armenia,55-74 years,male,16
Armenia,35-54 years,male,20
Armenia,25-34 years,male,6
Armenia,55-74 years,female,6
Armenia,75+ years,female,1
Armenia,35-54 years,female,9
Armenia,15-24 years,male,4
Armenia,25-34 years,female,1
Armenia,5-14 years,female,1
Armenia,15-24 years,female,0
Armenia,5-14 years,male,0
Armenia,55-74 years,male,15
Armenia,75+ years,female,3
Armenia,35-54 years,male,22
Armenia,55-74 years,female,9
Armenia,25-34 years,male,6
Armenia,15-24 years,male,6
Armenia,35-54 years,female,4
Armenia,25-34 years,female,2
Armenia,15-24 years,female,0
Armenia,5-14 years,female,0
Armenia,5-14 years,male,0
Armenia,75+ years,male,0
Armenia,75+ years,male,4
Armenia,75+ years,female,5
Armenia,55-74 years,male,14
Armenia,35-54 years,male,18
Armenia,25-34 years,male,5
Armenia,15-24 years,male,6
Armenia,25-34 years,female,4
Armenia,55-74 years,female,4
Armenia,35-54 years,female,1
Armenia,15-24 years,female,0
Armenia,5-14 years,female,0
Armenia,5-14 years,male,0
Armenia,55-74 years,male,17
Armenia,75+ years,male,3
Armenia,75+ years,female,4
Armenia,35-54 years,male,19
Armenia,55-74 years,female,4
Armenia,15-24 years,male,4
Armenia,5-14 years,male,3
Armenia,25-34 years,male,2
Armenia,35-54 years,female,3
Armenia,25-34 years,female,1
Armenia,15-24 years,female,0
Armenia,5-14 years,female,0
Armenia,75+ years,male,3
Armenia,55-74 years,male,19
Armenia,25-34 years,male,12
Armenia,35-54 years,male,22
Armenia,75+ years,female,1
Armenia,15-24 years,male,5
Armenia,35-54 years,female,6
Armenia,55-74 years,female,3
Armenia,25-34 years,female,1
Armenia,5-14 years,male,1
Armenia,15-24 years,female,1
Armenia,5-14 years,female,0
Armenia,75+ years,male,3
Armenia,55-74 years,male,14
Armenia,35-54 years,male,21
Armenia,75+ years,female,3
Armenia,25-34 years,male,10
Armenia,55-74 years,female,3
Armenia,35-54 years,female,3
Armenia,5-14 years,male,1
Armenia,15-24 years,male,1
Armenia,15-24 years,female,0
Armenia,25-34 years,female,0
Armenia,5-14 years,female,0
Armenia,75+ years,male,6
Armenia,55-74 years,male,21
Armenia,35-54 years,male,17
Armenia,15-24 years,male,10
Armenia,55-74 years,female,8
Armenia,25-34 years,male,6
Armenia,75+ years,female,2
Armenia,35-54 years,female,5
Armenia,25-34 years,female,2
Armenia,5-14 years,male,1
Armenia,15-24 years,female,0
Armenia,5-14 years,female,0
Armenia,75+ years,male,7
Armenia,55-74 years,male,13
Armenia,35-54 years,male,19
Armenia,55-74 years,female,8
Armenia,15-24 years,male,7
Armenia,25-34 years,male,4
Armenia,35-54 years,female,8
Armenia,75+ years,female,1
Armenia,15-24 years,female,3
Armenia,5-14 years,male,1
Armenia,25-34 years,female,0
Armenia,5-14 years,female,0
Armenia,75+ years,male,7
Armenia,55-74 years,male,18
Armenia,35-54 years,male,11
Armenia,35-54 years,female,10
Armenia,55-74 years,female,5
Armenia,25-34 years,male,4
Armenia,15-24 years,male,3
Armenia,25-34 years,female,2
Armenia,5-14 years,female,1
Armenia,5-14 years,male,1
Armenia,15-24 years,female,1
Armenia,75+ years,female,0
Armenia,75+ years,male,8
Armenia,55-74 years,male,11
Armenia,35-54 years,male,17
Armenia,15-24 years,male,5
Armenia,75+ years,female,1
Armenia,55-74 years,female,3
Armenia,25-34 years,male,2
Armenia,25-34 years,female,2
Armenia,35-54 years,female,3
Armenia,15-24 years,female,1
Armenia,5-14 years,female,0
Armenia,5-14 years,male,0
Armenia,75+ years,male,6
Armenia,55-74 years,male,13
Armenia,25-34 years,male,10
Armenia,35-54 years,male,15
Armenia,15-24 years,male,8
Armenia,55-74 years,female,7
Armenia,75+ years,female,2
Armenia,5-14 years,female,2
Armenia,35-54 years,female,5
Armenia,5-14 years,male,2
Armenia,15-24 years,female,2
Armenia,25-34 years,female,1
Armenia,75+ years,female,6
Armenia,35-54 years,male,23
Armenia,55-74 years,male,11
Armenia,25-34 years,male,8
Armenia,75+ years,male,2
Armenia,15-24 years,male,7
Armenia,15-24 years,female,4
Armenia,55-74 years,female,3
Armenia,35-54 years,female,3
Armenia,25-34 years,female,0
Armenia,5-14 years,female,0
Armenia,5-14 years,male,0
Armenia,75+ years,male,5
Armenia,35-54 years,male,26
Armenia,55-74 years,male,11
Armenia,25-34 years,male,11
Armenia,75+ years,female,3
Armenia,15-24 years,male,5
Armenia,35-54 years,female,7
Armenia,25-34 years,female,4
Armenia,55-74 years,female,4
Armenia,15-24 years,female,2
Armenia,5-14 years,male,1
Armenia,5-14 years,female,0
Armenia,75+ years,male,7
Armenia,75+ years,female,6
Armenia,55-74 years,male,11
Armenia,55-74 years,female,11
Armenia,25-34 years,male,9
Armenia,35-54 years,male,13
Armenia,35-54 years,female,6
Armenia,15-24 years,male,2
Armenia,5-14 years,male,1
Armenia,15-24 years,female,1
Armenia,25-34 years,female,0
Armenia,5-14 years,female,0
Armenia,75+ years,male,9
Armenia,75+ years,female,6
Armenia,55-74 years,male,12
Armenia,35-54 years,male,13
Armenia,25-34 years,male,6
Armenia,55-74 years,female,4
Armenia,15-24 years,male,3
Armenia,15-24 years,female,2
Armenia,5-14 years,female,1
Armenia,35-54 years,female,2
Armenia,25-34 years,female,0
Armenia,5-14 years,male,0
Armenia,75+ years,male,12
Armenia,55-74 years,male,16
Armenia,75+ years,female,5
Armenia,35-54 years,male,15
Armenia,25-34 years,male,10
Armenia,55-74 years,female,5
Armenia,15-24 years,female,3
Armenia,35-54 years,female,4
Armenia,15-24 years,male,2
Armenia,25-34 years,female,2
Armenia,5-14 years,female,0
Armenia,5-14 years,male,0
Armenia,75+ years,male,12
Armenia,55-74 years,male,16
Armenia,35-54 years,male,16
Armenia,15-24 years,male,5
Armenia,75+ years,female,2
Armenia,55-74 years,female,6
Armenia,25-34 years,male,4
Armenia,35-54 years,female,3
Armenia,25-34 years,female,2
Armenia,15-24 years,female,1
