country,age,sex,suicides_no
Aruba,75+ years,male,2
Aruba,25-34 years,male,4
Aruba,55-74 years,male,1
Aruba,35-54 years,male,1
Aruba,15-24 years,female,0
Aruba,25-34 years,female,0
Aruba,35-54 years,female,0
Aruba,5-14 years,female,0
Aruba,55-74 years,female,0
Aruba,75+ years,female,0
Aruba,15-24 years,male,0
Aruba,5-14 years,male,0
Aruba,25-34 years,male,4
Aruba,15-24 years,male,2
Aruba,35-54 years,male,3
Aruba,15-24 years,female,0
Aruba,25-34 years,female,0
Aruba,35-54 years,female,0
Aruba,5-14 years,female,0
Aruba,55-74 years,female,0
Aruba,75+ years,female,0
Aruba,5-14 years,male,0
Aruba,55-74 years,male,0
Aruba,75+ years,male,0
Aruba,75+ years,female,2
Aruba,75+ years,male,1
Aruba,25-34 years,male,3
Aruba,35-54 years,male,2
Aruba,35-54 years,female,2
Aruba,15-24 years,female,0
Aruba,25-34 years,female,0
Aruba,5-14 years,female,0
Aruba,55-74 years,female,0
Aruba,15-24 years,male,0
Aruba,5-14 years,male,0
Aruba,55-74 years,male,0
Aruba,35-54 years,male,4
Aruba,15-24 years,female,0
Aruba,25-34 years,female,0
Aruba,35-54 years,female,0
Aruba,5-14 years,female,0
Aruba,55-74 years,female,0
Aruba,75+ years,female,0
Aruba,15-24 years,male,0
Aruba,25-34 years,male,0
Aruba,5-14 years,male,0
Aruba,55-74 years,male,0
Aruba,75+ years,male,0
Aruba,55-74 years,male,4
Aruba,25-34 years,male,2
Aruba,15-24 years,male,1
Aruba,35-54 years,male,2
Aruba,15-24 years,female,0
Aruba,25-34 years,female,0
Aruba,35-54 years,female,0
Aruba,5-14 years,female,0
Aruba,55-74 years,female,0
Aruba,75+ years,female,0
Aruba,5-14 years,male,0
Aruba,75+ years,male,0
Aruba,35-54 years,male,2
Aruba,15-24 years,female,0
Aruba,25-34 years,female,0
Aruba,35-54 years,female,0
Aruba,5-14 years,female,0
Aruba,55-74 years,female,0
Aruba,75+ years,female,0
Aruba,15-24 years,male,0
Aruba,25-34 years,male,0
Aruba,5-14 years,male,0
Aruba,55-74 years,male,0
Aruba,75+ years,male,0
Aruba,75+ years,male,1
Aruba,55-74 years,male,3
Aruba,25-34 years,male,1
Aruba,15-24 years,female,1
Aruba,35-54 years,male,2
Aruba,25-34 years,female,0
Aruba,35-54 years,female,0
Aruba,5-14 years,female,0
Aruba,55-74 years,female,0
Aruba,75+ years,female,0
Aruba,15-24 years,male,0
Aruba,5-14 years,male,0
Aruba,55-74 years,male,2
Aruba,35-54 years,male,3
Aruba,15-24 years,female,1
Aruba,25-34 years,female,1
Aruba,55-74 years,female,1
Aruba,35-54 years,female,2
Aruba,5-14 years,female,0
Aruba,75+ years,female,0
Aruba,15-24 years,male,0
Aruba,25-34 years,male,0
Aruba,5-14 years,male,0
Aruba,75+ years,male,0
Aruba,25-34 years,male,4
Aruba,35-54 years,male,3
Aruba,35-54 years,female,2
Aruba,15-24 years,female,0
Aruba,25-34 years,female,0
Aruba,5-14 years,female,0
Aruba,55-74 years,female,0
Aruba,75+ years,female,0
Aruba,15-24 years,male,0
Aruba,5-14 years,male,0
Aruba,55-74 years,male,0
Aruba,75+ years,male,0
Aruba,25-34 years,male,2
Aruba,35-54 years,male,3
Aruba,15-24 years,male,1
Aruba,55-74 years,male,1
Aruba,55-74 years,female,1
Aruba,15-24 years,female,0
Aruba,25-34 years,female,0
Aruba,35-54 years,female,0
Aruba,5-14 years,female,0
Aruba,75+ years,female,0
Aruba,5-14 years,male,0
Aruba,75+ years,male,0
Aruba,25-34 years,male,1
Aruba,55-74 years,male,1
Aruba,35-54 years,male,1
Aruba,35-54 years,female,1
Aruba,15-24 years,female,0
Aruba,25-34 years,female,0
Aruba,5-14 years,female,0
Aruba,55-74 years,female,0
Aruba,75+ years,female,0
Aruba,15-24 years,male,0
Aruba,5-14 years,male,0
Aruba,75+ years,male,0
Aruba,25-34 years,male,1
Aruba,35-54 years,male,2
Aruba,55-74 years,male,1
Aruba,15-24 years,female,0
Aruba,25-34 years,female,0
Aruba,35-54 years,female,0
Aruba,5-14 years,female,0
Aruba,55-74 years,female,0
Aruba,75+ years,female,0
Aruba,15-24 years,male,0
Aruba,5-14 years,male,0
Aruba,75+ years,male,0
Aruba,35-54 years,male,4
Aruba,55-74 years,male,2
Aruba,55-74 years,female,1
Aruba,15-24 years,female,0
Aruba,25-34 years,female,0
Aruba,35-54 years,female,0
Aruba,5-14 years,female,0
Aruba,75+ years,female,0
Aruba,15-24 years,male,0
Aruba,25-34 years,male,0
Aruba,5-14 years,male,0
Aruba,75+ years,male,0
Aruba,55-74 years,male,3
Aruba,35-54 years,male,3
Aruba,25-34 years,female,1
Aruba,15-24 years,male,1
Aruba,55-74 years,female,1
Aruba,15-24 years,female,0
Aruba,35-54 years,female,0
Aruba,5-14 years,female,0
Aruba,75+ years,female,0
Aruba,25-34 years,male,0
Aruba,5-14 years,male,0
Aruba,75+ years,male,0
