country,age,sex,suicides_no
Australia,75+ years,male,67
Australia,25-34 years,male,357
Australia,55-74 years,male,282
Australia,15-24 years,male,315
Australia,35-54 years,male,411
Australia,75+ years,female,36
Australia,55-74 years,female,109
Australia,35-54 years,female,143
Australia,15-24 years,female,69
Australia,25-34 years,female,64
Australia,5-14 years,female,4
Australia,5-14 years,male,4
Australia,75+ years,male,89
Australia,25-34 years,male,367
Australia,55-74 years,male,324
Australia,35-54 years,male,487
Australia,15-24 years,male,296
Australia,35-54 years,female,169
Australia,55-74 years,female,105
Australia,25-34 years,female,88
Australia,15-24 years,female,77
Australia,75+ years,female,23
Australia,5-14 years,male,18
Australia,5-14 years,female,1
Australia,75+ years,male,111
Australia,25-34 years,male,374
Australia,35-54 years,male,554
Australia,55-74 years,male,328
Australia,15-24 years,male,354
Australia,75+ years,female,38
Australia,55-74 years,female,110
Australia,35-54 years,female,145
Australia,15-24 years,female,73
Australia,25-34 years,female,70
Australia,5-14 years,male,6
Australia,5-14 years,female,1
Australia,75+ years,male,93
Australia,25-34 years,male,398
Australia,15-24 years,male,366
Australia,55-74 years,male,317
Australia,35-54 years,male,532
Australia,75+ years,female,40
Australia,25-34 years,female,106
Australia,35-54 years,female,157
Australia,55-74 years,female,103
Australia,15-24 years,female,53
Australia,5-14 years,male,6
Australia,5-14 years,female,1
Australia,75+ years,male,91
Australia,25-34 years,male,406
Australia,15-24 years,male,353
Australia,55-74 years,male,309
Australia,35-54 years,male,475
Australia,55-74 years,female,124
Australia,75+ years,female,31
Australia,25-34 years,female,87
Australia,35-54 years,female,130
Australia,15-24 years,female,51
Australia,5-14 years,male,8
Australia,5-14 years,female,1
Australia,75+ years,male,87
Australia,25-34 years,male,418
Australia,15-24 years,male,374
Australia,55-74 years,male,325
Australia,35-54 years,male,549
Australia,75+ years,female,37
Australia,25-34 years,female,109
Australia,55-74 years,female,98
Australia,35-54 years,female,136
Australia,15-24 years,female,64
Australia,5-14 years,male,5
Australia,5-14 years,female,0
Australia,75+ years,male,114
Australia,25-34 years,male,427
Australia,35-54 years,male,631
Australia,15-24 years,male,354
Australia,55-74 years,male,273
Australia,75+ years,female,39
Australia,35-54 years,female,169
Australia,55-74 years,female,96
Australia,25-34 years,female,91
Australia,15-24 years,female,84
Australia,5-14 years,male,7
Australia,5-14 years,female,3
Australia,75+ years,male,87
Australia,25-34 years,male,407
Australia,15-24 years,male,384
Australia,55-74 years,male,325
Australia,35-54 years,male,579
Australia,75+ years,female,45
Australia,55-74 years,female,102
Australia,25-34 years,female,96
Australia,35-54 years,female,144
Australia,15-24 years,female,76
Australia,5-14 years,male,4
Australia,5-14 years,female,2
Australia,75+ years,male,95
Australia,25-34 years,male,392
Australia,15-24 years,male,332
Australia,55-74 years,male,293
Australia,35-54 years,male,523
Australia,35-54 years,female,161
Australia,75+ years,female,34
Australia,25-34 years,female,76
Australia,55-74 years,female,75
Australia,15-24 years,female,50
Australia,5-14 years,male,5
Australia,5-14 years,female,2
Australia,75+ years,male,100
Australia,25-34 years,male,426
Australia,15-24 years,male,377
Australia,35-54 years,male,648
Australia,55-74 years,male,311
Australia,35-54 years,female,162
Australia,75+ years,female,33
Australia,25-34 years,female,88
Australia,55-74 years,female,79
Australia,15-24 years,female,55
Australia,5-14 years,male,3
Australia,5-14 years,female,1
Australia,25-34 years,male,440
Australia,75+ years,male,88
Australia,35-54 years,male,587
Australia,15-24 years,male,318
Australia,55-74 years,male,274
Australia,35-54 years,female,180
Australia,25-34 years,female,91
Australia,15-24 years,female,81
Australia,55-74 years,female,79
Australia,75+ years,female,28
Australia,5-14 years,male,4
Australia,5-14 years,female,0
Australia,75+ years,male,122
Australia,25-34 years,male,471
Australia,15-24 years,male,366
Australia,35-54 years,male,669
Australia,55-74 years,male,330
Australia,35-54 years,female,182
Australia,25-34 years,female,98
Australia,55-74 years,female,86
Australia,75+ years,female,28
Australia,15-24 years,female,59
Australia,5-14 years,male,8
Australia,5-14 years,female,7
Australia,25-34 years,male,529
Australia,75+ years,male,123
Australia,15-24 years,male,408
Australia,35-54 years,male,717
Australia,55-74 years,male,305
Australia,35-54 years,female,219
Australia,25-34 years,female,109
Australia,75+ years,female,40
Australia,15-24 years,female,86
Australia,55-74 years,female,96
Australia,5-14 years,female,7
Australia,5-14 years,male,7
Australia,25-34 years,male,579
Australia,35-54 years,male,773
Australia,15-24 years,male,353
Australia,75+ years,male,96
Australia,55-74 years,male,301
Australia,25-34 years,female,109
Australia,35-54 years,female,202
Australia,75+ years,female,40
Australia,15-24 years,female,81
Australia,55-74 years,female,90
Australia,5-14 years,male,6
Australia,5-14 years,female,2
Australia,25-34 years,male,511
Australia,75+ years,male,119
Australia,35-54 years,male,741
Australia,15-24 years,male,303
Australia,55-74 years,male,315
Australia,25-34 years,female,117
Australia,35-54 years,female,201
Australia,15-24 years,female,70
Australia,55-74 years,female,74
Australia,75+ years,female,21
Australia,5-14 years,male,10
Australia,5-14 years,female,6
Australia,25-34 years,male,466
Australia,75+ years,male,115
Australia,35-54 years,male,745
Australia,15-24 years,male,271
Australia,55-74 years,male,281
Australia,25-34 years,female,106
Australia,35-54 years,female,200
Australia,15-24 years,female,78
Australia,55-74 years,female,87
