country,age,sex,suicides_no
Austria,75+ years,male,152
Austria,55-74 years,male,355
Austria,35-54 years,male,515
Austria,25-34 years,male,232
Austria,75+ years,female,110
Austria,15-24 years,male,207
Austria,55-74 years,female,220
Austria,35-54 years,female,186
Austria,25-34 years,female,56
Austria,15-24 years,female,50
Austria,5-14 years,male,6
Austria,5-14 years,female,2
Austria,75+ years,male,173
Austria,55-74 years,male,355
Austria,35-54 years,male,507
Austria,25-34 years,male,272
Austria,75+ years,female,110
Austria,15-24 years,male,199
Austria,55-74 years,female,195
Austria,35-54 years,female,182
Austria,25-34 years,female,80
Austria,15-24 years,female,60
Austria,5-14 years,male,5
Austria,5-14 years,female,1
Austria,75+ years,male,208
Austria,55-74 years,male,332
Austria,35-54 years,male,471
Austria,25-34 years,male,247
Austria,75+ years,female,126
Austria,15-24 years,male,185
Austria,55-74 years,female,230
Austria,35-54 years,female,155
Austria,25-34 years,female,62
Austria,15-24 years,female,49
Austria,5-14 years,female,2
Austria,5-14 years,male,2
Austria,75+ years,male,183
Austria,55-74 years,male,309
Austria,35-54 years,male,431
Austria,25-34 years,male,229
Austria,75+ years,female,108
Austria,15-24 years,male,168
Austria,55-74 years,female,186
Austria,35-54 years,female,144
Austria,25-34 years,female,61
Austria,15-24 years,female,28
Austria,5-14 years,female,2
Austria,5-14 years,male,2
Austria,75+ years,male,166
Austria,55-74 years,male,358
Austria,35-54 years,male,402
Austria,75+ years,female,134
Austria,25-34 years,male,218
Austria,15-24 years,male,163
Austria,55-74 years,female,182
Austria,35-54 years,female,156
Austria,25-34 years,female,65
Austria,15-24 years,female,48
Austria,5-14 years,male,6
Austria,5-14 years,female,0
Austria,75+ years,male,186
Austria,55-74 years,male,320
Austria,35-54 years,male,418
Austria,75+ years,female,132
Austria,25-34 years,male,209
Austria,15-24 years,male,150
Austria,55-74 years,female,173
Austria,35-54 years,female,150
Austria,25-34 years,female,53
Austria,15-24 years,female,31
Austria,5-14 years,female,2
Austria,5-14 years,male,1
Austria,75+ years,male,209
Austria,55-74 years,male,336
Austria,35-54 years,male,402
Austria,25-34 years,male,197
Austria,75+ years,female,98
Austria,15-24 years,male,153
Austria,55-74 years,female,144
Austria,35-54 years,female,145
Austria,25-34 years,female,49
Austria,15-24 years,female,34
Austria,5-14 years,male,2
Austria,5-14 years,female,0
Austria,75+ years,male,179
Austria,55-74 years,male,347
Austria,35-54 years,male,405
Austria,25-34 years,male,204
Austria,75+ years,female,98
Austria,15-24 years,male,142
Austria,55-74 years,female,132
Austria,35-54 years,female,163
Austria,25-34 years,female,50
Austria,15-24 years,female,33
Austria,5-14 years,male,5
Austria,5-14 years,female,1
Austria,75+ years,male,200
Austria,55-74 years,male,314
Austria,35-54 years,male,377
Austria,25-34 years,male,228
Austria,75+ years,female,88
Austria,15-24 years,male,119
Austria,55-74 years,female,139
Austria,35-54 years,female,140
Austria,25-34 years,female,54
Austria,15-24 years,female,35
Austria,5-14 years,male,6
Austria,5-14 years,female,4
Austria,75+ years,male,174
Austria,55-74 years,male,331
Austria,35-54 years,male,432
Austria,25-34 years,male,207
Austria,75+ years,female,93
Austria,15-24 years,male,136
Austria,55-74 years,female,149
Austria,35-54 years,female,151
