country,age,sex,suicides_no
Azerbaijan,35-54 years,male,41
Azerbaijan,55-74 years,male,11
Azerbaijan,25-34 years,male,19
Azerbaijan,15-24 years,male,16
Azerbaijan,75+ years,male,1
Azerbaijan,75+ years,female,2
Azerbaijan,55-74 years,female,6
Azerbaijan,25-34 years,female,7
Azerbaijan,35-54 years,female,6
Azerbaijan,15-24 years,female,4
Azerbaijan,5-14 years,male,1
Azerbaijan,5-14 years,female,0
Azerbaijan,75+ years,male,3
Azerbaijan,55-74 years,male,22
Azerbaijan,25-34 years,male,29
Azerbaijan,35-54 years,male,26
Azerbaijan,15-24 years,male,22
Azerbaijan,35-54 years,female,11
Azerbaijan,55-74 years,female,5
Azerbaijan,15-24 years,female,8
Azerbaijan,75+ years,female,1
Azerbaijan,25-34 years,female,6
Azerbaijan,5-14 years,female,1
Azerbaijan,5-14 years,male,0
Azerbaijan,35-54 years,male,39
Azerbaijan,55-74 years,male,18
Azerbaijan,75+ years,female,5
Azerbaijan,75+ years,male,2
Azerbaijan,25-34 years,male,24
Azerbaijan,15-24 years,male,23
Azerbaijan,55-74 years,female,11
Azerbaijan,25-34 years,female,10
Azerbaijan,15-24 years,female,8
Azerbaijan,35-54 years,female,4
Azerbaijan,5-14 years,female,0
Azerbaijan,5-14 years,male,0
Azerbaijan,75+ years,male,3
Azerbaijan,55-74 years,male,17
Azerbaijan,75+ years,female,4
Azerbaijan,15-24 years,male,22
Azerbaijan,35-54 years,male,20
Azerbaijan,25-34 years,male,20
Azerbaijan,35-54 years,female,10
Azerbaijan,55-74 years,female,6
Azerbaijan,25-34 years,female,9
Azerbaijan,15-24 years,female,6
Azerbaijan,5-14 years,female,1
Azerbaijan,5-14 years,male,1
Azerbaijan,55-74 years,male,10
Azerbaijan,75+ years,male,1
Azerbaijan,35-54 years,male,11
Azerbaijan,55-74 years,female,5
Azerbaijan,75+ years,female,1
Azerbaijan,35-54 years,female,6
Azerbaijan,25-34 years,female,4
Azerbaijan,15-24 years,female,3
Azerbaijan,25-34 years,male,3
Azerbaijan,15-24 years,male,3
Azerbaijan,5-14 years,female,0
Azerbaijan,5-14 years,male,0
Azerbaijan,75+ years,male,2
Azerbaijan,35-54 years,male,18
Azerbaijan,55-74 years,male,8
Azerbaijan,15-24 years,male,9
Azerbaijan,75+ years,female,1
Azerbaijan,25-34 years,male,5
Azerbaijan,25-34 years,female,3
Azerbaijan,35-54 years,female,3
Azerbaijan,15-24 years,female,0
Azerbaijan,5-14 years,female,0
Azerbaijan,55-74 years,female,0
Azerbaijan,5-14 years,male,0
Azerbaijan,55-74 years,male,19
Azerbaijan,75+ years,female,3
Azerbaijan,75+ years,male,1
Azerbaijan,35-54 years,male,14
Azerbaijan,25-34 years,male,13
Azerbaijan,15-24 years,male,9
Azerbaijan,15-24 years,female,3
Azerbaijan,55-74 years,female,2
Azerbaijan,35-54 years,female,3
Azerbaijan,25-34 years,female,2
Azerbaijan,5-14 years,female,0
Azerbaijan,5-14 years,male,0
Azerbaijan,55-74 years,male,24
Azerbaijan,35-54 years,male,34
Azerbaijan,25-34 years,male,21
Azerbaijan,35-54 years,female,8
Azerbaijan,15-24 years,male,7
Azerbaijan,15-24 years,female,6
Azerbaijan,55-74 years,female,3
Azerbaijan,25-34 years,female,4
Azerbaijan,5-14 years,female,0
Azerbaijan,75+ years,female,0
Azerbaijan,5-14 years,male,0
Azerbaijan,75+ years,male,0
Azerbaijan,35-54 years,male,18
Azerbaijan,75+ years,female,2
Azerbaijan,55-74 years,male,8
Azerbaijan,25-34 years,male,12
Azerbaijan,55-74 years,female,4
Azerbaijan,35-54 years,female,6
Azerbaijan,15-24 years,female,3
Azerbaijan,15-24 years,male,2
Azerbaijan,5-14 years,male,1
Azerbaijan,25-34 years,female,0
Azerbaijan,5-14 years,female,0
Azerbaijan,75+ years,male,0
Azerbaijan,35-54 years,male,19
Azerbaijan,55-74 years,male,9
Azerbaijan,25-34 years,male,10
Azerbaijan,15-24 years,male,6
Azerbaijan,35-54 years,female,4
Azerbaijan,55-74 years,female,2
Azerbaijan,15-24 years,female,2
Azerbaijan,25-34 years,female,2
Azerbaijan,5-14 years,female,0
Azerbaijan,75+ years,female,0
Azerbaijan,5-14 years,male,0
Azerbaijan,75+ years,male,0
Azerbaijan,75+ years,male,1
Azerbaijan,55-74 years,male,9
Azerbaijan,75+ years,female,2
Azerbaijan,25-34 years,male,11
Azerbaijan,35-54 years,male,14
Azerbaijan,15-24 years,male,11
Azerbaijan,55-74 years,female,3
Azerbaijan,15-24 years,female,4
Azerbaijan,25-34 years,female,3
Azerbaijan,35-54 years,female,3
Azerbaijan,5-14 years,female,1
Azerbaijan,5-14 years,male,0
Azerbaijan,55-74 years,male,34
Azerbaijan,35-54 years,male,79
Azerbaijan,15-24 years,male,56
Azerbaijan,75+ years,male,3
Azerbaijan,75+ years,female,6
Azerbaijan,25-34 years,male,40
Azerbaijan,55-74 years,female,21
Azerbaijan,25-34 years,female,23
Azerbaijan,5-14 years,male,24
Azerbaijan,35-54 years,female,16
Azerbaijan,15-24 years,female,8
Azerbaijan,5-14 years,female,7
Azerbaijan,55-74 years,male,19
Azerbaijan,75+ years,male,2
Azerbaijan,35-54 years,male,32
Azerbaijan,55-74 years,female,6
Azerbaijan,25-34 years,male,7
Azerbaijan,15-24 years,male,9
Azerbaijan,75+ years,female,1
Azerbaijan,35-54 years,female,8
Azerbaijan,25-34 years,female,3
Azerbaijan,5-14 years,male,4
Azerbaijan,15-24 years,female,1
Azerbaijan,5-14 years,female,0
Azerbaijan,75+ years,male,3
Azerbaijan,75+ years,female,4
Azerbaijan,55-74 years,male,14
Azerbaijan,35-54 years,male,40
Azerbaijan,15-24 years,male,17
Azerbaijan,25-34 years,male,12
Azerbaijan,55-74 years,female,7
Azerbaijan,15-24 years,female,9
Azerbaijan,35-54 years,female,12
Azerbaijan,5-14 years,male,7
Azerbaijan,25-34 years,female,3
Azerbaijan,5-14 years,female,1
Azerbaijan,75+ years,female,5
Azerbaijan,35-54 years,male,40
Azerbaijan,25-34 years,male,15
Azerbaijan,55-74 years,male,7
Azerbaijan,15-24 years,male,10
Azerbaijan,55-74 years,female,5
Azerbaijan,35-54 years,female,11
Azerbaijan,5-14 years,male,6
Azerbaijan,25-34 years,female,4
Azerbaijan,15-24 years,female,4
Azerbaijan,5-14 years,female,1
Azerbaijan,75+ years,male,0
Azerbaijan,75+ years,male,3
Azerbaijan,55-74 years,male,8
Azerbaijan,35-54 years,male,15
Azerbaijan,25-34 years,male,8
Azerbaijan,75+ years,female,1
Azerbaijan,15-24 years,female,5
Azerbaijan,5-14 years,male,4
Azerbaijan,35-54 years,female,5
Azerbaijan,15-24 years,male,3
Azerbaijan,25-34 years,female,2
Azerbaijan,55-74 years,female,1
Azerbaijan,5-14 years,female,0
