country,age,sex,suicides_no
Bahrain,25-34 years,male,7
Bahrain,35-54 years,male,3
Bahrain,35-54 years,female,1
Bahrain,15-24 years,female,0
Bahrain,25-34 years,female,0
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,15-24 years,male,0
Bahrain,5-14 years,male,0
Bahrain,55-74 years,male,0
Bahrain,75+ years,male,0
Bahrain,55-74 years,male,1
Bahrain,35-54 years,male,3
Bahrain,25-34 years,male,3
Bahrain,25-34 years,female,1
Bahrain,15-24 years,female,1
Bahrain,35-54 years,female,0
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,15-24 years,male,0
Bahrain,5-14 years,male,0
Bahrain,75+ years,male,0
Bahrain,25-34 years,male,8
Bahrain,35-54 years,male,4
Bahrain,35-54 years,female,1
Bahrain,15-24 years,male,1
Bahrain,15-24 years,female,0
Bahrain,25-34 years,female,0
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,5-14 years,male,0
Bahrain,55-74 years,male,0
Bahrain,75+ years,male,0
Bahrain,15-24 years,female,0
Bahrain,25-34 years,female,0
Bahrain,35-54 years,female,0
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,15-24 years,male,0
Bahrain,25-34 years,male,0
Bahrain,35-54 years,male,0
Bahrain,5-14 years,male,0
Bahrain,55-74 years,male,0
Bahrain,75+ years,male,0
Bahrain,15-24 years,female,0
Bahrain,25-34 years,female,0
Bahrain,35-54 years,female,0
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,15-24 years,male,0
Bahrain,25-34 years,male,0
Bahrain,35-54 years,male,0
Bahrain,5-14 years,male,0
Bahrain,55-74 years,male,0
Bahrain,75+ years,male,0
Bahrain,25-34 years,male,8
Bahrain,35-54 years,male,4
Bahrain,15-24 years,male,2
Bahrain,15-24 years,female,1
Bahrain,25-34 years,female,1
Bahrain,35-54 years,female,1
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,5-14 years,male,0
Bahrain,55-74 years,male,0
Bahrain,75+ years,male,0
Bahrain,25-34 years,male,16
Bahrain,35-54 years,male,10
Bahrain,15-24 years,male,2
Bahrain,25-34 years,female,1
Bahrain,15-24 years,female,0
Bahrain,35-54 years,female,0
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,5-14 years,male,0
Bahrain,55-74 years,male,0
Bahrain,75+ years,male,0
Bahrain,25-34 years,male,8
Bahrain,35-54 years,male,8
Bahrain,55-74 years,male,1
Bahrain,15-24 years,male,2
Bahrain,15-24 years,female,1
Bahrain,25-34 years,female,1
Bahrain,5-14 years,male,1
Bahrain,35-54 years,female,1
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,75+ years,male,0
Bahrain,25-34 years,male,7
Bahrain,35-54 years,male,9
Bahrain,35-54 years,female,4
Bahrain,15-24 years,female,2
Bahrain,15-24 years,male,2
Bahrain,25-34 years,female,1
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,5-14 years,male,0
Bahrain,55-74 years,male,0
Bahrain,75+ years,male,0
Bahrain,35-54 years,male,17
Bahrain,25-34 years,male,9
Bahrain,25-34 years,female,5
Bahrain,15-24 years,male,3
Bahrain,15-24 years,female,0
Bahrain,35-54 years,female,0
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,5-14 years,male,0
Bahrain,55-74 years,male,0
Bahrain,75+ years,male,0
Bahrain,55-74 years,male,4
Bahrain,25-34 years,male,19
Bahrain,35-54 years,male,10
Bahrain,25-34 years,female,3
Bahrain,35-54 years,female,3
Bahrain,15-24 years,male,2
Bahrain,15-24 years,female,1
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,5-14 years,male,0
Bahrain,75+ years,male,0
Bahrain,25-34 years,male,15
Bahrain,35-54 years,male,14
Bahrain,55-74 years,male,2
Bahrain,15-24 years,male,4
Bahrain,25-34 years,female,3
Bahrain,15-24 years,female,2
Bahrain,35-54 years,female,2
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,5-14 years,male,0
Bahrain,75+ years,male,0
Bahrain,25-34 years,male,12
Bahrain,25-34 years,female,5
Bahrain,15-24 years,female,3
Bahrain,55-74 years,male,1
Bahrain,35-54 years,female,3
Bahrain,35-54 years,male,3
Bahrain,15-24 years,male,1
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,5-14 years,male,0
Bahrain,75+ years,male,0
Bahrain,25-34 years,male,14
Bahrain,35-54 years,male,13
Bahrain,55-74 years,male,2
Bahrain,15-24 years,male,5
Bahrain,25-34 years,female,3
Bahrain,35-54 years,female,2
Bahrain,15-24 years,female,1
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,5-14 years,male,0
Bahrain,75+ years,male,0
Bahrain,25-34 years,male,21
Bahrain,35-54 years,male,13
Bahrain,15-24 years,female,3
Bahrain,55-74 years,male,1
Bahrain,35-54 years,female,3
Bahrain,25-34 years,female,2
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,15-24 years,male,0
Bahrain,5-14 years,male,0
Bahrain,75+ years,male,0
Bahrain,35-54 years,male,14
Bahrain,25-34 years,male,9
Bahrain,25-34 years,female,4
Bahrain,15-24 years,male,4
Bahrain,55-74 years,male,1
Bahrain,5-14 years,male,2
Bahrain,35-54 years,female,2
Bahrain,15-24 years,female,0
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,75+ years,male,0
Bahrain,35-54 years,male,8
Bahrain,25-34 years,male,6
Bahrain,55-74 years,male,1
Bahrain,35-54 years,female,2
Bahrain,15-24 years,female,1
Bahrain,25-34 years,female,1
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,15-24 years,male,0
Bahrain,5-14 years,male,0
Bahrain,75+ years,male,0
Bahrain,15-24 years,male,3
Bahrain,55-74 years,male,1
Bahrain,25-34 years,female,2
Bahrain,25-34 years,male,4
Bahrain,35-54 years,male,4
Bahrain,35-54 years,female,2
Bahrain,15-24 years,female,1
Bahrain,5-14 years,female,1
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,5-14 years,male,0
Bahrain,75+ years,male,0
Bahrain,25-34 years,male,11
Bahrain,35-54 years,male,6
Bahrain,25-34 years,female,1
Bahrain,15-24 years,male,1
Bahrain,15-24 years,female,0
Bahrain,35-54 years,female,0
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,5-14 years,male,0
Bahrain,55-74 years,male,0
Bahrain,75+ years,male,0
Bahrain,15-24 years,male,1
Bahrain,25-34 years,male,2
Bahrain,35-54 years,male,2
Bahrain,15-24 years,female,0
Bahrain,25-34 years,female,0
Bahrain,35-54 years,female,0
Bahrain,5-14 years,female,0
Bahrain,55-74 years,female,0
Bahrain,75+ years,female,0
Bahrain,5-14 years,male,0
Bahrain,55-74 years,male,0
