country,age,sex,suicides_no
Barbados,75+ years,male,1
Barbados,55-74 years,male,3
Barbados,25-34 years,female,2
Barbados,25-34 years,male,1
Barbados,15-24 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,35-54 years,male,0
Barbados,5-14 years,male,0
Barbados,35-54 years,male,4
Barbados,15-24 years,male,2
Barbados,25-34 years,female,1
Barbados,25-34 years,male,1
Barbados,15-24 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,0
Barbados,75+ years,male,0
Barbados,35-54 years,female,2
Barbados,55-74 years,male,1
Barbados,35-54 years,male,1
Barbados,25-34 years,male,1
Barbados,5-14 years,male,1
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,75+ years,male,0
Barbados,25-34 years,male,5
Barbados,35-54 years,male,3
Barbados,55-74 years,male,1
Barbados,15-24 years,male,2
Barbados,55-74 years,female,1
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,75+ years,female,0
Barbados,5-14 years,male,0
Barbados,75+ years,male,0
Barbados,35-54 years,male,6
Barbados,55-74 years,male,2
Barbados,15-24 years,male,3
Barbados,25-34 years,female,2
Barbados,15-24 years,female,2
Barbados,25-34 years,male,1
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,5-14 years,male,0
Barbados,75+ years,male,0
Barbados,75+ years,male,3
Barbados,35-54 years,male,5
Barbados,55-74 years,male,2
Barbados,25-34 years,male,2
Barbados,35-54 years,female,2
Barbados,55-74 years,female,1
Barbados,15-24 years,male,1
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,5-14 years,female,0
Barbados,75+ years,female,0
Barbados,5-14 years,male,0
Barbados,35-54 years,male,5
Barbados,25-34 years,male,4
Barbados,55-74 years,female,3
Barbados,15-24 years,male,3
Barbados,55-74 years,male,1
Barbados,25-34 years,female,1
Barbados,15-24 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,75+ years,female,0
Barbados,5-14 years,male,0
Barbados,75+ years,male,0
Barbados,35-54 years,male,5
Barbados,25-34 years,male,4
Barbados,55-74 years,male,2
Barbados,55-74 years,female,1
Barbados,25-34 years,female,1
Barbados,35-54 years,female,1
Barbados,15-24 years,female,0
Barbados,5-14 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,5-14 years,male,0
Barbados,75+ years,male,0
Barbados,55-74 years,male,3
Barbados,15-24 years,male,5
Barbados,75+ years,male,1
Barbados,25-34 years,male,3
Barbados,35-54 years,male,3
Barbados,55-74 years,female,1
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,75+ years,female,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,3
Barbados,35-54 years,male,5
Barbados,55-74 years,female,2
Barbados,5-14 years,male,1
Barbados,25-34 years,female,1
Barbados,15-24 years,male,1
Barbados,35-54 years,female,1
Barbados,15-24 years,female,0
Barbados,5-14 years,female,0
Barbados,75+ years,female,0
Barbados,25-34 years,male,0
Barbados,75+ years,male,0
Barbados,25-34 years,male,7
Barbados,35-54 years,male,3
Barbados,15-24 years,female,2
Barbados,55-74 years,male,1
Barbados,35-54 years,female,2
Barbados,55-74 years,female,1
Barbados,15-24 years,male,1
Barbados,25-34 years,female,0
Barbados,5-14 years,female,0
Barbados,75+ years,female,0
Barbados,5-14 years,male,0
Barbados,75+ years,male,0
Barbados,25-34 years,male,4
Barbados,35-54 years,male,3
Barbados,15-24 years,male,1
Barbados,35-54 years,female,2
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,0
Barbados,75+ years,male,0
Barbados,55-74 years,male,1
Barbados,35-54 years,male,1
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,25-34 years,male,0
Barbados,5-14 years,male,0
Barbados,75+ years,male,0
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,25-34 years,male,0
Barbados,35-54 years,male,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,0
Barbados,75+ years,male,0
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,25-34 years,male,0
Barbados,35-54 years,male,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,0
Barbados,75+ years,male,0
Barbados,35-54 years,male,3
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,25-34 years,male,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,0
Barbados,75+ years,male,0
Barbados,35-54 years,male,1
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,25-34 years,male,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,0
Barbados,75+ years,male,0
Barbados,75+ years,male,1
Barbados,35-54 years,male,5
Barbados,25-34 years,male,2
Barbados,55-74 years,male,1
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,5-14 years,male,0
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,25-34 years,male,0
Barbados,35-54 years,male,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,0
Barbados,75+ years,male,0
Barbados,35-54 years,female,1
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,25-34 years,male,0
Barbados,35-54 years,male,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,0
Barbados,75+ years,male,0
Barbados,75+ years,male,1
Barbados,35-54 years,male,3
Barbados,55-74 years,male,1
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,25-34 years,male,0
Barbados,5-14 years,male,0
Barbados,35-54 years,male,3
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,25-34 years,male,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,0
Barbados,75+ years,male,0
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,25-34 years,male,0
Barbados,35-54 years,male,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,0
Barbados,75+ years,male,0
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,25-34 years,male,0
Barbados,35-54 years,male,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,0
Barbados,75+ years,male,0
Barbados,15-24 years,female,0
Barbados,25-34 years,female,0
Barbados,35-54 years,female,0
Barbados,5-14 years,female,0
Barbados,55-74 years,female,0
Barbados,75+ years,female,0
Barbados,15-24 years,male,0
Barbados,25-34 years,male,0
Barbados,35-54 years,male,0
Barbados,5-14 years,male,0
Barbados,55-74 years,male,0
Barbados,75+ years,male,0
