country,age,sex,suicides_no
Belarus,35-54 years,male,729
Belarus,55-74 years,male,363
Belarus,75+ years,male,59
Belarus,25-34 years,male,359
Belarus,15-24 years,male,132
Belarus,75+ years,female,61
Belarus,55-74 years,female,158
Belarus,35-54 years,female,144
Belarus,25-34 years,female,45
Belarus,15-24 years,female,24
Belarus,5-14 years,male,8
Belarus,5-14 years,female,3
Belarus,35-54 years,male,756
Belarus,75+ years,male,71
Belarus,55-74 years,male,401
Belarus,25-34 years,male,342
Belarus,75+ years,female,72
Belarus,15-24 years,male,143
Belarus,55-74 years,female,175
Belarus,35-54 years,female,121
Belarus,25-34 years,female,42
Belarus,15-24 years,female,30
Belarus,5-14 years,male,14
Belarus,5-14 years,female,2
Belarus,35-54 years,male,845
Belarus,55-74 years,male,459
Belarus,75+ years,male,57
Belarus,25-34 years,male,397
Belarus,15-24 years,male,166
Belarus,75+ years,female,68
Belarus,55-74 years,female,160
Belarus,35-54 years,female,157
Belarus,25-34 years,female,50
Belarus,15-24 years,female,31
Belarus,5-14 years,male,30
Belarus,5-14 years,female,4
Belarus,35-54 years,male,1072
Belarus,55-74 years,male,577
Belarus,75+ years,male,64
Belarus,25-34 years,male,454
Belarus,15-24 years,male,175
Belarus,75+ years,female,64
Belarus,55-74 years,female,198
Belarus,35-54 years,female,164
Belarus,25-34 years,female,58
Belarus,15-24 years,female,37
Belarus,5-14 years,male,18
Belarus,5-14 years,female,4
Belarus,35-54 years,male,1156
Belarus,55-74 years,male,671
Belarus,75+ years,male,73
Belarus,25-34 years,male,458
Belarus,15-24 years,male,208
Belarus,75+ years,female,69
Belarus,55-74 years,female,227
Belarus,35-54 years,female,177
Belarus,25-34 years,female,60
Belarus,15-24 years,female,36
Belarus,5-14 years,male,16
Belarus,5-14 years,female,2
Belarus,35-54 years,male,1222
Belarus,55-74 years,male,699
Belarus,75+ years,male,71
Belarus,25-34 years,male,475
Belarus,15-24 years,male,210
Belarus,55-74 years,female,197
Belarus,75+ years,female,49
Belarus,35-54 years,female,181
Belarus,25-34 years,female,51
Belarus,15-24 years,female,33
Belarus,5-14 years,male,12
Belarus,5-14 years,female,3
Belarus,35-54 years,male,1391
Belarus,55-74 years,male,859
Belarus,75+ years,male,76
Belarus,25-34 years,male,518
Belarus,15-24 years,male,224
Belarus,75+ years,female,57
Belarus,55-74 years,female,214
Belarus,35-54 years,female,170
Belarus,25-34 years,female,59
Belarus,15-24 years,female,43
Belarus,5-14 years,male,13
Belarus,5-14 years,female,3
Belarus,55-74 years,male,819
Belarus,35-54 years,male,1326
Belarus,75+ years,male,77
Belarus,25-34 years,male,487
Belarus,15-24 years,male,247
Belarus,75+ years,female,59
Belarus,55-74 years,female,188
Belarus,35-54 years,female,188
Belarus,25-34 years,female,75
Belarus,15-24 years,female,50
Belarus,5-14 years,male,8
Belarus,5-14 years,female,2
Belarus,55-74 years,male,794
Belarus,35-54 years,male,1320
Belarus,75+ years,male,82
Belarus,25-34 years,male,511
Belarus,15-24 years,male,287
Belarus,75+ years,female,78
Belarus,55-74 years,female,185
Belarus,35-54 years,female,192
Belarus,25-34 years,female,51
Belarus,15-24 years,female,39
Belarus,5-14 years,male,12
Belarus,5-14 years,female,5
Belarus,55-74 years,male,739
Belarus,75+ years,male,91
Belarus,35-54 years,male,1178
Belarus,25-34 years,male,550
Belarus,15-24 years,male,288
Belarus,75+ years,female,66
Belarus,55-74 years,female,170
Belarus,35-54 years,female,174
Belarus,25-34 years,female,67
Belarus,15-24 years,female,48
Belarus,5-14 years,male,22
Belarus,5-14 years,female,4
Belarus,55-74 years,male,721
Belarus,35-54 years,male,1334
Belarus,75+ years,male,89
Belarus,25-34 years,male,508
Belarus,15-24 years,male,306
Belarus,75+ years,female,67
Belarus,55-74 years,female,172
Belarus,35-54 years,female,170
Belarus,25-34 years,female,54
Belarus,15-24 years,female,36
Belarus,5-14 years,male,20
Belarus,5-14 years,female,6
Belarus,55-74 years,male,658
Belarus,35-54 years,male,1266
Belarus,75+ years,male,82
Belarus,25-34 years,male,477
Belarus,15-24 years,male,313
Belarus,75+ years,female,73
Belarus,55-74 years,female,162
Belarus,35-54 years,female,164
Belarus,25-34 years,female,53
Belarus,15-24 years,female,36
Belarus,5-14 years,male,17
Belarus,5-14 years,female,2
Belarus,35-54 years,male,1263
Belarus,55-74 years,male,607
Belarus,25-34 years,male,515
Belarus,75+ years,male,79
Belarus,15-24 years,male,296
Belarus,75+ years,female,69
Belarus,55-74 years,female,149
Belarus,35-54 years,female,191
Belarus,25-34 years,female,65
Belarus,15-24 years,female,32
Belarus,5-14 years,male,20
Belarus,5-14 years,female,5
Belarus,55-74 years,male,669
Belarus,35-54 years,male,1304
Belarus,75+ years,male,107
Belarus,25-34 years,male,540
Belarus,15-24 years,male,285
Belarus,75+ years,female,78
Belarus,55-74 years,female,177
Belarus,35-54 years,female,179
Belarus,25-34 years,female,57
Belarus,15-24 years,female,46
Belarus,5-14 years,male,11
Belarus,5-14 years,female,3
Belarus,75+ years,male,122
Belarus,55-74 years,male,506
Belarus,35-54 years,male,900
Belarus,25-34 years,male,405
Belarus,15-24 years,male,261
Belarus,75+ years,female,70
Belarus,55-74 years,female,127
Belarus,35-54 years,female,163
Belarus,25-34 years,female,56
Belarus,15-24 years,female,37
Belarus,5-14 years,male,9
Belarus,5-14 years,female,3
Belarus,75+ years,male,131
Belarus,35-54 years,male,961
Belarus,55-74 years,male,481
Belarus,25-34 years,male,375
Belarus,15-24 years,male,234
Belarus,75+ years,female,63
Belarus,35-54 years,female,184
Belarus,55-74 years,female,127
Belarus,25-34 years,female,66
Belarus,15-24 years,female,29
Belarus,5-14 years,male,5
Belarus,5-14 years,female,2
Belarus,75+ years,male,145
Belarus,35-54 years,male,903
Belarus,55-74 years,male,466
Belarus,25-34 years,male,445
Belarus,15-24 years,male,270
Belarus,75+ years,female,74
Belarus,55-74 years,female,144
Belarus,35-54 years,female,165
Belarus,25-34 years,female,74
Belarus,15-24 years,female,45
Belarus,5-14 years,male,9
Belarus,5-14 years,female,3
Belarus,75+ years,male,115
Belarus,35-54 years,male,869
Belarus,55-74 years,male,458
Belarus,25-34 years,male,382
Belarus,15-24 years,male,240
Belarus,75+ years,female,62
Belarus,35-54 years,female,145
Belarus,25-34 years,female,60
Belarus,55-74 years,female,83
Belarus,15-24 years,female,39
Belarus,5-14 years,male,5
Belarus,5-14 years,female,1
Belarus,75+ years,male,112
Belarus,55-74 years,male,415
Belarus,35-54 years,male,730
Belarus,25-34 years,male,340
Belarus,15-24 years,male,185
Belarus,75+ years,female,69
Belarus,35-54 years,female,141
Belarus,55-74 years,female,91
Belarus,25-34 years,female,42
Belarus,15-24 years,female,36
Belarus,5-14 years,male,10
Belarus,5-14 years,female,1
Belarus,75+ years,male,125
Belarus,55-74 years,male,376
Belarus,35-54 years,male,609
Belarus,25-34 years,male,308
Belarus,15-24 years,male,145
Belarus,75+ years,female,65
Belarus,35-54 years,female,111
Belarus,55-74 years,female,87
Belarus,25-34 years,female,45
Belarus,15-24 years,female,25
Belarus,5-14 years,male,5
Belarus,5-14 years,female,1
Belarus,75+ years,male,125
Belarus,35-54 years,male,572
Belarus,55-74 years,male,341
Belarus,25-34 years,male,297
Belarus,15-24 years,male,128
Belarus,75+ years,female,53
Belarus,35-54 years,female,93
Belarus,55-74 years,female,68
Belarus,25-34 years,female,41
Belarus,15-24 years,female,15
Belarus,5-14 years,female,6
Belarus,5-14 years,male,2
