country,age,sex,suicides_no
Belgium,75+ years,male,214
Belgium,55-74 years,male,449
Belgium,35-54 years,male,493
Belgium,25-34 years,male,245
Belgium,75+ years,female,119
Belgium,55-74 years,female,276
Belgium,35-54 years,female,252
Belgium,15-24 years,male,109
Belgium,25-34 years,female,78
Belgium,15-24 years,female,33
Belgium,5-14 years,male,12
Belgium,5-14 years,female,1
Belgium,75+ years,male,211
Belgium,55-74 years,male,444
Belgium,35-54 years,male,476
Belgium,25-34 years,male,236
Belgium,55-74 years,female,255
Belgium,75+ years,female,90
Belgium,35-54 years,female,252
Belgium,15-24 years,male,118
Belgium,25-34 years,female,76
Belgium,15-24 years,female,40
Belgium,5-14 years,male,3
Belgium,5-14 years,female,1
Belgium,75+ years,male,222
Belgium,55-74 years,male,433
Belgium,35-54 years,male,483
Belgium,25-34 years,male,273
Belgium,75+ years,female,113
Belgium,55-74 years,female,232
Belgium,35-54 years,female,215
Belgium,15-24 years,male,121
Belgium,25-34 years,female,100
Belgium,15-24 years,female,35
Belgium,5-14 years,male,11
Belgium,5-14 years,female,0
Belgium,75+ years,male,181
Belgium,55-74 years,male,390
Belgium,35-54 years,male,423
Belgium,25-34 years,male,238
Belgium,75+ years,female,104
Belgium,55-74 years,female,211
Belgium,35-54 years,female,213
Belgium,15-24 years,male,113
Belgium,25-34 years,female,86
Belgium,15-24 years,female,28
Belgium,5-14 years,male,8
Belgium,5-14 years,female,1
Belgium,75+ years,male,220
Belgium,55-74 years,male,351
Belgium,35-54 years,male,422
Belgium,25-34 years,male,215
Belgium,75+ years,female,91
Belgium,55-74 years,female,200
Belgium,15-24 years,male,126
Belgium,35-54 years,female,190
Belgium,25-34 years,female,72
Belgium,15-24 years,female,27
Belgium,5-14 years,male,4
Belgium,5-14 years,female,2
Belgium,75+ years,male,208
Belgium,55-74 years,male,349
Belgium,35-54 years,male,422
Belgium,25-34 years,male,213
Belgium,75+ years,female,95
Belgium,55-74 years,female,193
Belgium,15-24 years,male,109
Belgium,35-54 years,female,186
Belgium,25-34 years,female,81
Belgium,15-24 years,female,37
Belgium,5-14 years,male,2
Belgium,5-14 years,female,0
Belgium,75+ years,male,205
Belgium,55-74 years,male,310
Belgium,35-54 years,male,424
Belgium,25-34 years,male,235
Belgium,75+ years,female,76
Belgium,55-74 years,female,172
Belgium,35-54 years,female,184
Belgium,15-24 years,male,100
Belgium,25-34 years,female,71
Belgium,15-24 years,female,23
Belgium,5-14 years,male,4
Belgium,5-14 years,female,1
Belgium,75+ years,male,178
Belgium,55-74 years,male,331
Belgium,35-54 years,male,450
Belgium,25-34 years,male,235
Belgium,75+ years,female,94
Belgium,55-74 years,female,202
Belgium,15-24 years,male,114
Belgium,35-54 years,female,171
Belgium,25-34 years,female,69
Belgium,15-24 years,female,29
Belgium,5-14 years,male,5
Belgium,5-14 years,female,0
Belgium,75+ years,male,196
Belgium,35-54 years,male,573
Belgium,55-74 years,male,365
Belgium,25-34 years,male,276
Belgium,75+ years,female,94
Belgium,15-24 years,male,138
Belgium,55-74 years,female,192
Belgium,35-54 years,female,196
Belgium,25-34 years,female,74
Belgium,15-24 years,female,33
Belgium,5-14 years,male,4
Belgium,5-14 years,female,1
Belgium,75+ years,male,200
Belgium,35-54 years,male,538
Belgium,55-74 years,male,378
Belgium,25-34 years,male,266
Belgium,15-24 years,male,151
Belgium,75+ years,female,82
Belgium,55-74 years,female,185
Belgium,35-54 years,female,213
Belgium,25-34 years,female,83
Belgium,15-24 years,female,24
Belgium,5-14 years,male,10
Belgium,5-14 years,female,1
Belgium,75+ years,male,169
Belgium,35-54 years,male,593
Belgium,55-74 years,male,392
Belgium,25-34 years,male,244
Belgium,15-24 years,male,142
Belgium,75+ years,female,84
Belgium,55-74 years,female,185
Belgium,35-54 years,female,222
Belgium,25-34 years,female,72
Belgium,15-24 years,female,39
Belgium,5-14 years,male,10
Belgium,5-14 years,female,3
Belgium,75+ years,male,173
Belgium,35-54 years,male,551
Belgium,55-74 years,male,352
Belgium,25-34 years,male,239
Belgium,15-24 years,male,140
Belgium,75+ years,female,68
