country,age,sex,suicides_no
Belize,25-34 years,male,1
Belize,15-24 years,female,1
Belize,15-24 years,male,1
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,35-54 years,male,0
Belize,5-14 years,male,0
Belize,55-74 years,male,0
Belize,75+ years,male,0
Belize,25-34 years,male,2
Belize,35-54 years,male,1
Belize,15-24 years,male,1
Belize,15-24 years,female,0
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,5-14 years,male,0
Belize,55-74 years,male,0
Belize,75+ years,male,0
Belize,15-24 years,male,1
Belize,15-24 years,female,0
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,25-34 years,male,0
Belize,35-54 years,male,0
Belize,5-14 years,male,0
Belize,55-74 years,male,0
Belize,75+ years,male,0
Belize,55-74 years,male,1
Belize,35-54 years,male,1
Belize,15-24 years,female,1
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,15-24 years,male,0
Belize,25-34 years,male,0
Belize,5-14 years,male,0
Belize,75+ years,male,0
Belize,55-74 years,male,1
Belize,35-54 years,male,1
Belize,15-24 years,female,0
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,15-24 years,male,0
Belize,25-34 years,male,0
Belize,5-14 years,male,0
Belize,75+ years,male,0
Belize,25-34 years,male,1
Belize,15-24 years,female,0
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,15-24 years,male,0
Belize,35-54 years,male,0
Belize,5-14 years,male,0
Belize,55-74 years,male,0
Belize,75+ years,male,0
Belize,75+ years,male,1
Belize,75+ years,female,1
Belize,35-54 years,male,3
Belize,55-74 years,male,1
Belize,25-34 years,male,2
Belize,15-24 years,female,0
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,15-24 years,male,0
Belize,5-14 years,male,0
Belize,75+ years,male,1
Belize,25-34 years,male,4
Belize,35-54 years,male,3
Belize,15-24 years,male,4
Belize,55-74 years,male,1
Belize,15-24 years,female,1
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,5-14 years,male,0
Belize,55-74 years,male,2
Belize,15-24 years,male,3
Belize,35-54 years,male,2
Belize,25-34 years,male,1
Belize,15-24 years,female,0
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,5-14 years,male,0
Belize,75+ years,male,0
Belize,35-54 years,male,1
Belize,15-24 years,female,0
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,15-24 years,male,0
Belize,25-34 years,male,0
Belize,5-14 years,male,0
Belize,55-74 years,male,0
Belize,75+ years,male,0
Belize,55-74 years,male,2
Belize,25-34 years,male,4
Belize,35-54 years,male,3
Belize,15-24 years,male,2
Belize,35-54 years,female,1
Belize,15-24 years,female,0
Belize,25-34 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,5-14 years,male,0
Belize,75+ years,male,0
Belize,15-24 years,male,8
Belize,35-54 years,male,5
Belize,25-34 years,male,4
Belize,5-14 years,male,1
Belize,15-24 years,female,0
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,55-74 years,male,0
Belize,75+ years,male,0
Belize,75+ years,male,1
Belize,55-74 years,male,2
Belize,25-34 years,male,4
Belize,35-54 years,male,4
Belize,15-24 years,male,3
Belize,35-54 years,female,2
Belize,15-24 years,female,2
Belize,25-34 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,5-14 years,male,0
Belize,75+ years,male,1
Belize,25-34 years,male,7
Belize,15-24 years,male,5
Belize,35-54 years,male,3
Belize,55-74 years,male,1
Belize,25-34 years,female,1
Belize,15-24 years,female,1
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,5-14 years,male,0
Belize,35-54 years,male,6
Belize,55-74 years,male,1
Belize,35-54 years,female,2
Belize,15-24 years,female,2
Belize,25-34 years,male,1
Belize,15-24 years,male,1
Belize,5-14 years,female,1
Belize,25-34 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,5-14 years,male,0
Belize,75+ years,male,0
Belize,55-74 years,male,1
Belize,25-34 years,male,3
Belize,35-54 years,male,2
Belize,15-24 years,female,2
Belize,25-34 years,female,1
Belize,35-54 years,female,1
Belize,15-24 years,male,1
Belize,5-14 years,male,1
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,75+ years,male,0
Belize,55-74 years,male,3
Belize,15-24 years,male,7
Belize,35-54 years,male,5
Belize,25-34 years,male,4
Belize,55-74 years,female,1
Belize,15-24 years,female,0
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,75+ years,female,0
Belize,5-14 years,male,0
Belize,75+ years,male,0
Belize,25-34 years,male,5
Belize,15-24 years,male,3
Belize,35-54 years,male,2
Belize,15-24 years,female,1
Belize,5-14 years,male,1
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,55-74 years,male,0
Belize,75+ years,male,0
Belize,35-54 years,male,4
Belize,15-24 years,male,3
Belize,25-34 years,male,1
Belize,15-24 years,female,1
Belize,5-14 years,female,1
Belize,5-14 years,male,1
Belize,25-34 years,female,0
Belize,35-54 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,55-74 years,male,0
Belize,75+ years,male,0
Belize,75+ years,male,1
Belize,35-54 years,male,2
Belize,15-24 years,male,2
Belize,35-54 years,female,1
Belize,15-24 years,female,1
Belize,5-14 years,male,1
Belize,25-34 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,25-34 years,male,0
Belize,55-74 years,male,0
Belize,75+ years,male,1
Belize,35-54 years,male,6
Belize,15-24 years,male,2
Belize,25-34 years,male,1
Belize,25-34 years,female,1
Belize,15-24 years,female,0
Belize,35-54 years,female,0
Belize,5-14 years,female,0
Belize,55-74 years,female,0
Belize,75+ years,female,0
Belize,5-14 years,male,0
Belize,55-74 years,male,0
Belize,15-24 years,male,5
Belize,25-34 years,male,3
Belize,55-74 years,male,1
Belize,15-24 years,female,3
Belize,35-54 years,male,2
Belize,25-34 years,female,1
Belize,35-54 years,female,0
Belize,5-14 years,female,0
