country,generation,age,suicides_no
Albania,Boomers,25-34 years,9
Albania,Boomers,25-34 years,4
Albania,Boomers,25-34 years,5
Albania,Boomers,25-34 years,5
Albania,Boomers,25-34 years,18
Albania,Boomers,25-34 years,2
Albania,Boomers,35-54 years,12
Albania,Boomers,25-34 years,7
Albania,Boomers,25-34 years,4
Albania,Boomers,35-54 years,2
Albania,Boomers,25-34 years,9
Albania,Boomers,35-54 years,10
Albania,Boomers,25-34 years,7
Albania,Boomers,35-54 years,7
Albania,Boomers,25-34 years,6
Albania,Boomers,35-54 years,9
Albania,Boomers,25-34 years,4
Albania,Boomers,35-54 years,2
Albania,Boomers,35-54 years,14
Albania,Boomers,35-54 years,8
Albania,Boomers,35-54 years,12
Albania,Boomers,35-54 years,9
Albania,Boomers,35-54 years,30
Albania,Boomers,35-54 years,7
Albania,Boomers,35-54 years,29
Albania,Boomers,35-54 years,9
Albania,Boomers,35-54 years,31
Albania,Boomers,35-54 years,5
Albania,Boomers,35-54 years,5
Albania,Boomers,35-54 years,4
Albania,Boomers,35-54 years,34
Albania,Boomers,35-54 years,12
Albania,Boomers,35-54 years,35
Albania,Boomers,35-54 years,15
Albania,Boomers,35-54 years,28
Albania,Boomers,35-54 years,13
Albania,Boomers,35-54 years,39
Albania,Boomers,35-54 years,17
Albania,Boomers,35-54 years,0
Albania,Boomers,35-54 years,0
Albania,Boomers,35-54 years,0
Albania,Boomers,35-54 years,0
Albania,Boomers,35-54 years,29
Albania,Boomers,35-54 years,14
Albania,Boomers,35-54 years,37
Albania,Boomers,35-54 years,19
Albania,Boomers,35-54 years,0
Albania,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,25-34 years,1
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,25-34 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,1
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,2
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,1
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,1
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,35-54 years,0
Antigua and Barbuda,Boomers,55-74 years,0
Antigua and Barbuda,Boomers,55-74 years,0
Antigua and Barbuda,Boomers,55-74 years,0
Antigua and Barbuda,Boomers,55-74 years,0
Antigua and Barbuda,Boomers,55-74 years,0
Antigua and Barbuda,Boomers,55-74 years,0
Antigua and Barbuda,Boomers,55-74 years,1
Antigua and Barbuda,Boomers,55-74 years,0
Argentina,Boomers,25-34 years,177
Argentina,Boomers,25-34 years,65
Argentina,Boomers,25-34 years,209
Argentina,Boomers,25-34 years,96
Argentina,Boomers,25-34 years,192
Argentina,Boomers,25-34 years,89
Argentina,Boomers,25-34 years,215
Argentina,Boomers,25-34 years,61
Argentina,Boomers,25-34 years,219
Argentina,Boomers,25-34 years,83
Argentina,Boomers,25-34 years,182
Argentina,Boomers,25-34 years,76
Argentina,Boomers,35-54 years,398
Argentina,Boomers,25-34 years,214
Argentina,Boomers,35-54 years,133
Argentina,Boomers,25-34 years,77
Argentina,Boomers,35-54 years,488
Argentina,Boomers,25-34 years,227
Argentina,Boomers,35-54 years,140
Argentina,Boomers,25-34 years,79
Argentina,Boomers,35-54 years,495
Argentina,Boomers,25-34 years,233
Argentina,Boomers,35-54 years,144
Argentina,Boomers,25-34 years,76
Argentina,Boomers,35-54 years,527
Argentina,Boomers,25-34 years,226
Argentina,Boomers,35-54 years,160
Argentina,Boomers,25-34 years,72
Argentina,Boomers,35-54 years,485
Argentina,Boomers,35-54 years,139
Argentina,Boomers,35-54 years,524
Argentina,Boomers,35-54 years,176
Argentina,Boomers,35-54 years,501
Argentina,Boomers,35-54 years,165
Argentina,Boomers,35-54 years,508
Argentina,Boomers,35-54 years,147
Argentina,Boomers,35-54 years,545
Argentina,Boomers,35-54 years,141
Argentina,Boomers,35-54 years,578
Argentina,Boomers,35-54 years,174
Argentina,Boomers,35-54 years,625
Argentina,Boomers,35-54 years,210
Argentina,Boomers,35-54 years,619
Argentina,Boomers,35-54 years,194
Argentina,Boomers,35-54 years,625
Argentina,Boomers,35-54 years,196
Argentina,Boomers,35-54 years,599
Argentina,Boomers,35-54 years,185
Argentina,Boomers,35-54 years,539
Argentina,Boomers,35-54 years,171
Argentina,Boomers,35-54 years,585
Argentina,Boomers,35-54 years,160
Argentina,Boomers,35-54 years,571
Argentina,Boomers,35-54 years,155
Argentina,Boomers,35-54 years,582
Argentina,Boomers,35-54 years,173
Argentina,Boomers,35-54 years,542
Argentina,Boomers,35-54 years,150
Argentina,Boomers,55-74 years,416
Argentina,Boomers,55-74 years,93
Argentina,Boomers,55-74 years,451
Argentina,Boomers,55-74 years,108
Argentina,Boomers,55-74 years,398
