country,age,sex,suicides_no
Bosnia and Herzegovina,55-74 years,male,2
Bosnia and Herzegovina,25-34 years,male,1
Bosnia and Herzegovina,35-54 years,male,2
Bosnia and Herzegovina,15-24 years,female,0
Bosnia and Herzegovina,25-34 years,female,0
Bosnia and Herzegovina,35-54 years,female,0
Bosnia and Herzegovina,5-14 years,female,0
Bosnia and Herzegovina,55-74 years,female,0
Bosnia and Herzegovina,75+ years,female,0
Bosnia and Herzegovina,15-24 years,male,0
Bosnia and Herzegovina,5-14 years,male,0
Bosnia and Herzegovina,75+ years,male,0
Bosnia and Herzegovina,75+ years,male,37
Bosnia and Herzegovina,55-74 years,male,84
Bosnia and Herzegovina,35-54 years,male,96
Bosnia and Herzegovina,75+ years,female,14
Bosnia and Herzegovina,25-34 years,male,19
Bosnia and Herzegovina,35-54 years,female,28
Bosnia and Herzegovina,55-74 years,female,23
Bosnia and Herzegovina,15-24 years,male,6
Bosnia and Herzegovina,25-34 years,female,3
Bosnia and Herzegovina,15-24 years,female,2
Bosnia and Herzegovina,5-14 years,male,1
Bosnia and Herzegovina,5-14 years,female,0
