country,age,sex,suicides_no
Brazil,75+ years,male,129
Brazil,55-74 years,male,535
Brazil,35-54 years,male,1011
Brazil,25-34 years,male,791
Brazil,15-24 years,male,661
Brazil,75+ years,female,32
Brazil,55-74 years,female,148
Brazil,25-34 years,female,269
Brazil,35-54 years,female,296
Brazil,15-24 years,female,280
Brazil,5-14 years,female,41
Brazil,5-14 years,male,35
Brazil,75+ years,male,103
Brazil,55-74 years,male,581
Brazil,35-54 years,male,967
Brazil,25-34 years,male,754
Brazil,15-24 years,male,685
Brazil,75+ years,female,33
Brazil,55-74 years,female,163
Brazil,35-54 years,female,335
Brazil,15-24 years,female,331
Brazil,25-34 years,female,257
Brazil,5-14 years,female,35
Brazil,5-14 years,male,27
Brazil,75+ years,male,149
Brazil,55-74 years,male,647
Brazil,35-54 years,male,1100
Brazil,25-34 years,male,865
Brazil,15-24 years,male,713
Brazil,55-74 years,female,197
Brazil,75+ years,female,28
Brazil,35-54 years,female,349
Brazil,25-34 years,female,266
Brazil,15-24 years,female,291
Brazil,5-14 years,male,35
Brazil,5-14 years,female,32
Brazil,75+ years,male,135
Brazil,55-74 years,male,530
Brazil,35-54 years,male,1115
Brazil,25-34 years,male,849
Brazil,75+ years,female,52
Brazil,15-24 years,male,663
Brazil,55-74 years,female,182
Brazil,35-54 years,female,333
Brazil,25-34 years,female,266
Brazil,15-24 years,female,281
Brazil,5-14 years,male,35
Brazil,5-14 years,female,25
Brazil,75+ years,male,141
Brazil,55-74 years,male,543
Brazil,35-54 years,male,1067
Brazil,25-34 years,male,891
Brazil,15-24 years,male,722
Brazil,75+ years,female,44
Brazil,55-74 years,female,166
Brazil,35-54 years,female,318
Brazil,25-34 years,female,247
Brazil,15-24 years,female,261
Brazil,5-14 years,female,35
Brazil,5-14 years,male,28
Brazil,75+ years,male,151
Brazil,55-74 years,male,601
Brazil,35-54 years,male,1127
Brazil,25-34 years,male,945
Brazil,15-24 years,male,731
Brazil,75+ years,female,38
Brazil,55-74 years,female,196
