country,age,sex,suicides_no
Bulgaria,75+ years,male,218
Bulgaria,75+ years,female,94
Bulgaria,55-74 years,male,345
Bulgaria,35-54 years,male,278
Bulgaria,55-74 years,female,168
Bulgaria,25-34 years,male,105
Bulgaria,15-24 years,male,77
Bulgaria,35-54 years,female,91
Bulgaria,25-34 years,female,36
Bulgaria,15-24 years,female,31
Bulgaria,5-14 years,male,11
Bulgaria,5-14 years,female,2
Bulgaria,75+ years,male,172
Bulgaria,75+ years,female,96
Bulgaria,55-74 years,male,314
Bulgaria,35-54 years,male,290
Bulgaria,25-34 years,male,123
Bulgaria,55-74 years,female,184
Bulgaria,15-24 years,male,64
Bulgaria,35-54 years,female,92
Bulgaria,15-24 years,female,38
Bulgaria,25-34 years,female,20
Bulgaria,5-14 years,male,12
Bulgaria,5-14 years,female,3
Bulgaria,75+ years,male,228
Bulgaria,75+ years,female,101
Bulgaria,55-74 years,male,346
Bulgaria,35-54 years,male,283
Bulgaria,55-74 years,female,177
Bulgaria,25-34 years,male,110
Bulgaria,15-24 years,male,81
Bulgaria,35-54 years,female,81
Bulgaria,15-24 years,female,35
Bulgaria,25-34 years,female,28
Bulgaria,5-14 years,male,15
Bulgaria,5-14 years,female,7
Bulgaria,75+ years,male,204
Bulgaria,75+ years,female,102
Bulgaria,55-74 years,male,345
Bulgaria,35-54 years,male,278
Bulgaria,55-74 years,female,165
Bulgaria,25-34 years,male,99
Bulgaria,15-24 years,male,78
Bulgaria,35-54 years,female,79
Bulgaria,25-34 years,female,39
Bulgaria,15-24 years,female,37
Bulgaria,5-14 years,male,21
Bulgaria,5-14 years,female,5
Bulgaria,75+ years,male,213
Bulgaria,55-74 years,male,345
Bulgaria,75+ years,female,95
Bulgaria,35-54 years,male,289
Bulgaria,55-74 years,female,171
Bulgaria,25-34 years,male,107
Bulgaria,15-24 years,male,69
Bulgaria,35-54 years,female,83
Bulgaria,15-24 years,female,39
Bulgaria,25-34 years,female,28
Bulgaria,5-14 years,male,18
Bulgaria,5-14 years,female,3
Bulgaria,75+ years,male,174
Bulgaria,75+ years,female,98
Bulgaria,55-74 years,male,294
Bulgaria,35-54 years,male,242
Bulgaria,25-34 years,male,106
Bulgaria,55-74 years,female,161
Bulgaria,15-24 years,male,90
Bulgaria,35-54 years,female,86
Bulgaria,25-34 years,female,30
Bulgaria,15-24 years,female,26
Bulgaria,5-14 years,male,14
Bulgaria,5-14 years,female,2
Bulgaria,75+ years,male,203
Bulgaria,55-74 years,male,306
Bulgaria,75+ years,female,74
Bulgaria,35-54 years,male,289
Bulgaria,55-74 years,female,188
Bulgaria,25-34 years,male,111
Bulgaria,15-24 years,male,80
Bulgaria,35-54 years,female,69
Bulgaria,25-34 years,female,23
Bulgaria,15-24 years,female,23
Bulgaria,5-14 years,male,12
Bulgaria,5-14 years,female,6
Bulgaria,75+ years,male,206
Bulgaria,75+ years,female,104
Bulgaria,55-74 years,male,367
Bulgaria,35-54 years,male,319
Bulgaria,25-34 years,male,112
Bulgaria,55-74 years,female,166
Bulgaria,15-24 years,male,98
Bulgaria,35-54 years,female,81
Bulgaria,25-34 years,female,27
Bulgaria,15-24 years,female,29
Bulgaria,5-14 years,male,6
Bulgaria,5-14 years,female,4
Bulgaria,75+ years,male,141
Bulgaria,75+ years,female,96
Bulgaria,55-74 years,male,351
Bulgaria,35-54 years,male,308
Bulgaria,25-34 years,male,116
Bulgaria,55-74 years,female,197
Bulgaria,15-24 years,male,97
Bulgaria,25-34 years,female,45
Bulgaria,35-54 years,female,72
Bulgaria,15-24 years,female,34
Bulgaria,5-14 years,male,10
Bulgaria,5-14 years,female,3
Bulgaria,75+ years,male,175
Bulgaria,55-74 years,male,364
Bulgaria,75+ years,female,86
Bulgaria,35-54 years,male,329
Bulgaria,55-74 years,female,160
Bulgaria,25-34 years,male,87
Bulgaria,15-24 years,male,84
Bulgaria,35-54 years,female,103
Bulgaria,25-34 years,female,33
Bulgaria,15-24 years,female,30
Bulgaria,5-14 years,male,9
Bulgaria,5-14 years,female,4
Bulgaria,75+ years,male,169
Bulgaria,55-74 years,male,349
Bulgaria,75+ years,female,83
Bulgaria,35-54 years,male,307
Bulgaria,55-74 years,female,184
Bulgaria,25-34 years,male,101
Bulgaria,15-24 years,male,87
Bulgaria,35-54 years,female,79
Bulgaria,25-34 years,female,37
Bulgaria,15-24 years,female,24
Bulgaria,5-14 years,male,7
Bulgaria,5-14 years,female,6
Bulgaria,75+ years,male,191
Bulgaria,55-74 years,male,351
Bulgaria,75+ years,female,94
Bulgaria,35-54 years,male,376
Bulgaria,55-74 years,female,168
Bulgaria,25-34 years,male,91
Bulgaria,15-24 years,male,95
Bulgaria,35-54 years,female,90
Bulgaria,25-34 years,female,31
