country,age,sex,suicides_no
Canada,75+ years,male,111
Canada,55-74 years,male,502
Canada,25-34 years,male,605
Canada,35-54 years,male,774
Canada,15-24 years,male,560
Canada,35-54 years,female,255
Canada,55-74 years,female,166
Canada,25-34 years,female,148
Canada,75+ years,female,34
Canada,15-24 years,female,85
Canada,5-14 years,male,13
Canada,5-14 years,female,5
Canada,75+ years,male,143
Canada,25-34 years,male,719
Canada,35-54 years,male,878
Canada,55-74 years,male,520
Canada,15-24 years,male,570
Canada,35-54 years,female,307
Canada,55-74 years,female,191
Canada,25-34 years,female,172
Canada,75+ years,female,36
Canada,15-24 years,female,109
Canada,5-14 years,male,20
Canada,5-14 years,female,5
Canada,25-34 years,male,709
Canada,75+ years,male,117
Canada,55-74 years,male,535
Canada,35-54 years,male,874
Canada,15-24 years,male,532
Canada,35-54 years,female,298
Canada,55-74 years,female,171
Canada,25-34 years,female,178
Canada,75+ years,female,47
Canada,15-24 years,female,100
Canada,5-14 years,male,25
Canada,5-14 years,female,5
Canada,75+ years,male,130
Canada,25-34 years,male,679
Canada,55-74 years,male,525
Canada,15-24 years,male,549
Canada,35-54 years,male,827
Canada,35-54 years,female,322
Canada,25-34 years,female,168
Canada,55-74 years,female,142
Canada,75+ years,female,44
Canada,15-24 years,female,96
Canada,5-14 years,male,24
Canada,5-14 years,female,4
Canada,75+ years,male,131
Canada,25-34 years,male,666
Canada,15-24 years,male,528
Canada,55-74 years,male,501
Canada,35-54 years,male,850
Canada,35-54 years,female,322
Canada,55-74 years,female,163
Canada,25-34 years,female,174
Canada,75+ years,female,40
Canada,15-24 years,female,91
Canada,5-14 years,male,19
Canada,5-14 years,female,6
Canada,75+ years,male,149
Canada,25-34 years,male,703
Canada,35-54 years,male,884
Canada,15-24 years,male,484
Canada,55-74 years,male,430
Canada,35-54 years,female,293
Canada,25-34 years,female,154
Canada,55-74 years,female,125
Canada,15-24 years,female,94
Canada,75+ years,female,32
Canada,5-14 years,male,23
Canada,5-14 years,female,7
Canada,25-34 years,male,713
Canada,75+ years,male,139
Canada,15-24 years,male,539
Canada,35-54 years,male,974
Canada,55-74 years,male,490
Canada,35-54 years,female,271
Canada,25-34 years,female,177
Canada,55-74 years,female,154
Canada,15-24 years,female,76
Canada,75+ years,female,31
Canada,5-14 years,male,20
Canada,5-14 years,female,9
Canada,25-34 years,male,739
Canada,75+ years,male,136
Canada,35-54 years,male,1020
Canada,15-24 years,male,504
Canada,55-74 years,male,497
Canada,35-54 years,female,323
Canada,55-74 years,female,146
Canada,25-34 years,female,155
Canada,15-24 years,female,119
Canada,75+ years,female,35
Canada,5-14 years,male,26
Canada,5-14 years,female,8
Canada,35-54 years,male,1141
Canada,25-34 years,male,721
Canada,75+ years,male,138
Canada,15-24 years,male,488
Canada,55-74 years,male,499
Canada,35-54 years,female,331
Canada,75+ years,female,55
Canada,55-74 years,female,146
Canada,25-34 years,female,146
Canada,15-24 years,female,93
Canada,5-14 years,male,27
Canada,5-14 years,female,18
Canada,75+ years,male,160
Canada,35-54 years,male,1150
Canada,25-34 years,male,636
Canada,15-24 years,male,506
Canada,55-74 years,male,479
Canada,35-54 years,female,339
Canada,55-74 years,female,152
Canada,25-34 years,female,135
Canada,15-24 years,female,105
Canada,75+ years,female,37
Canada,5-14 years,male,37
Canada,5-14 years,female,12
Canada,25-34 years,male,744
Canada,35-54 years,male,1264
Canada,75+ years,male,146
Canada,15-24 years,male,507
Canada,55-74 years,male,473
Canada,35-54 years,female,363
Canada,55-74 years,female,157
Canada,25-34 years,female,141
Canada,15-24 years,female,96
Canada,75+ years,female,34
Canada,5-14 years,male,22
Canada,5-14 years,female,21
Canada,75+ years,male,162
Canada,35-54 years,male,1273
Canada,25-34 years,male,630
Canada,15-24 years,male,490
Canada,55-74 years,male,506
Canada,35-54 years,female,434
Canada,55-74 years,female,144
Canada,25-34 years,female,137
Canada,15-24 years,female,91
Canada,75+ years,female,33
Canada,5-14 years,male,32
Canada,5-14 years,female,9
Canada,35-54 years,male,1230
Canada,75+ years,male,156
Canada,25-34 years,male,535
Canada,15-24 years,male,464
Canada,55-74 years,male,490
Canada,35-54 years,female,356
Canada,25-34 years,female,136
Canada,55-74 years,female,131
Canada,15-24 years,female,90
Canada,75+ years,female,42
Canada,5-14 years,male,39
Canada,5-14 years,female,12
Canada,35-54 years,male,1226
Canada,25-34 years,male,568
Canada,75+ years,male,147
Canada,15-24 years,male,457
Canada,55-74 years,male,497
Canada,35-54 years,female,341
Canada,25-34 years,female,133
Canada,15-24 years,female,105
Canada,55-74 years,female,129
Canada,75+ years,female,50
Canada,5-14 years,male,30
Canada,5-14 years,female,16
Canada,35-54 years,male,1442
Canada,25-34 years,male,614
Canada,75+ years,male,155
Canada,55-74 years,male,520
Canada,15-24 years,male,468
Canada,35-54 years,female,435
Canada,55-74 years,female,147
Canada,25-34 years,female,118
Canada,75+ years,female,53
Canada,15-24 years,female,90
Canada,5-14 years,male,25
Canada,5-14 years,female,7
Canada,35-54 years,male,1254
Canada,75+ years,male,146
Canada,25-34 years,male,484
Canada,15-24 years,male,430
Canada,55-74 years,male,455
Canada,35-54 years,female,393
Canada,15-24 years,female,112
Canada,25-34 years,female,119
Canada,55-74 years,female,137
Canada,75+ years,female,30
Canada,5-14 years,male,29
Canada,5-14 years,female,17
Canada,35-54 years,male,1347
Canada,25-34 years,male,500
Canada,75+ years,male,131
Canada,55-74 years,male,481
Canada,15-24 years,male,398
Canada,35-54 years,female,392
Canada,55-74 years,female,161
Canada,25-34 years,female,114
Canada,15-24 years,female,105
Canada,75+ years,female,38
Canada,5-14 years,male,14
Canada,5-14 years,female,13
Canada,35-54 years,male,1292
Canada,75+ years,male,164
Canada,25-34 years,male,466
Canada,55-74 years,male,527
Canada,15-24 years,male,384
Canada,35-54 years,female,370
Canada,25-34 years,female,124
Canada,55-74 years,female,150
Canada,15-24 years,female,108
Canada,75+ years,female,30
Canada,5-14 years,male,18
Canada,5-14 years,female,17
Canada,35-54 years,male,1317
Canada,55-74 years,male,581
Canada,75+ years,male,151
Canada,25-34 years,male,426
Canada,15-24 years,male,409
Canada,35-54 years,female,438
Canada,15-24 years,female,113
Canada,25-34 years,female,114
Canada,55-74 years,female,145
Canada,75+ years,female,44
Canada,5-14 years,male,19
Canada,5-14 years,female,8
Canada,35-54 years,male,1210
Canada,25-34 years,male,477
Canada,75+ years,male,154
Canada,55-74 years,male,497
Canada,15-24 years,male,379
Canada,35-54 years,female,428
Canada,55-74 years,female,181
Canada,25-34 years,female,114
Canada,15-24 years,female,101
Canada,75+ years,female,44
Canada,5-14 years,male,17
Canada,5-14 years,female,11
Canada,35-54 years,male,1341
Canada,75+ years,male,165
Canada,55-74 years,male,539
Canada,25-34 years,male,415
Canada,15-24 years,male,378
Canada,35-54 years,female,418
Canada,15-24 years,female,131
Canada,55-74 years,female,158
Canada,75+ years,female,58
Canada,25-34 years,female,96
Canada,5-14 years,female,25
Canada,5-14 years,male,19
Canada,35-54 years,male,1202
Canada,75+ years,male,188
Canada,55-74 years,male,599
Canada,25-34 years,male,362
Canada,15-24 years,male,331
Canada,35-54 years,female,362
Canada,55-74 years,female,187
Canada,25-34 years,female,118
Canada,15-24 years,female,86
Canada,75+ years,female,46
Canada,5-14 years,female,18
Canada,5-14 years,male,13
Canada,35-54 years,male,1224
Canada,75+ years,male,183
Canada,25-34 years,male,404
Canada,55-74 years,male,539
Canada,15-24 years,male,359
Canada,35-54 years,female,400
Canada,55-74 years,female,188
