country,age,sex,suicides_no
Chile,75+ years,male,34
Chile,55-74 years,male,100
Chile,35-54 years,male,174
Chile,25-34 years,male,122
Chile,15-24 years,male,133
Chile,55-74 years,female,21
Chile,35-54 years,female,40
Chile,15-24 years,female,27
Chile,75+ years,female,3
Chile,25-34 years,female,19
Chile,5-14 years,male,9
Chile,5-14 years,female,1
Chile,75+ years,male,21
Chile,55-74 years,male,116
Chile,35-54 years,male,156
Chile,25-34 years,male,124
Chile,15-24 years,male,108
Chile,15-24 years,female,37
Chile,35-54 years,female,37
Chile,25-34 years,female,26
Chile,55-74 years,female,15
Chile,75+ years,female,3
Chile,5-14 years,male,7
Chile,5-14 years,female,4
Chile,55-74 years,male,120
Chile,75+ years,male,19
Chile,25-34 years,male,147
Chile,35-54 years,male,160
Chile,15-24 years,male,116
Chile,55-74 years,female,23
Chile,15-24 years,female,38
Chile,25-34 years,female,29
Chile,35-54 years,female,34
Chile,5-14 years,male,6
Chile,5-14 years,female,1
Chile,75+ years,female,0
Chile,75+ years,male,29
Chile,55-74 years,male,101
Chile,25-34 years,male,160
Chile,35-54 years,male,173
Chile,15-24 years,male,112
Chile,15-24 years,female,38
Chile,55-74 years,female,19
Chile,35-54 years,female,32
Chile,75+ years,female,3
Chile,25-34 years,female,19
Chile,5-14 years,female,6
Chile,5-14 years,male,5
Chile,75+ years,male,34
Chile,55-74 years,male,109
Chile,25-34 years,male,162
Chile,35-54 years,male,170
Chile,15-24 years,male,140
Chile,35-54 years,female,33
Chile,15-24 years,female,26
Chile,25-34 years,female,23
Chile,75+ years,female,3
Chile,55-74 years,female,12
Chile,5-14 years,male,11
Chile,5-14 years,female,2
Chile,55-74 years,male,145
Chile,75+ years,male,22
Chile,35-54 years,male,176
Chile,25-34 years,male,148
Chile,15-24 years,male,134
Chile,55-74 years,female,19
Chile,35-54 years,female,34
Chile,25-34 years,female,27
Chile,15-24 years,female,23
Chile,75+ years,female,3
Chile,5-14 years,male,9
Chile,5-14 years,female,3
Chile,75+ years,male,31
Chile,55-74 years,male,111
Chile,35-54 years,male,222
Chile,25-34 years,male,143
Chile,15-24 years,male,142
Chile,35-54 years,female,42
Chile,15-24 years,female,34
Chile,75+ years,female,5
Chile,25-34 years,female,29
Chile,55-74 years,female,16
Chile,5-14 years,female,7
Chile,5-14 years,male,5
Chile,75+ years,male,25
Chile,55-74 years,male,105
Chile,25-34 years,male,162
Chile,35-54 years,male,170
Chile,15-24 years,male,94
Chile,15-24 years,female,29
Chile,25-34 years,female,25
Chile,35-54 years,female,27
Chile,55-74 years,female,12
Chile,5-14 years,male,6
Chile,5-14 years,female,3
Chile,75+ years,female,0
Chile,75+ years,male,50
Chile,55-74 years,male,110
Chile,35-54 years,male,187
Chile,25-34 years,male,150
Chile,15-24 years,male,118
Chile,35-54 years,female,45
Chile,55-74 years,female,18
Chile,15-24 years,female,26
Chile,25-34 years,female,24
Chile,5-14 years,male,9
Chile,5-14 years,female,3
Chile,75+ years,female,0
Chile,75+ years,male,33
Chile,55-74 years,male,127
Chile,25-34 years,male,184
Chile,35-54 years,male,223
Chile,15-24 years,male,135
Chile,25-34 years,female,26
Chile,55-74 years,female,16
Chile,35-54 years,female,30
Chile,15-24 years,female,18
Chile,75+ years,female,3
Chile,5-14 years,female,4
Chile,5-14 years,male,2
Chile,75+ years,male,42
Chile,55-74 years,male,144
Chile,35-54 years,male,271
Chile,25-34 years,male,191
Chile,15-24 years,male,149
Chile,55-74 years,female,27
Chile,15-24 years,female,32
Chile,75+ years,female,5
Chile,35-54 years,female,35
Chile,25-34 years,female,20
Chile,5-14 years,male,10
Chile,5-14 years,female,4
Chile,55-74 years,male,159
Chile,75+ years,male,27
Chile,35-54 years,male,266
Chile,25-34 years,male,174
Chile,15-24 years,male,163
Chile,15-24 years,female,35
Chile,55-74 years,female,19
Chile,35-54 years,female,37
Chile,25-34 years,female,22
Chile,75+ years,female,4
Chile,5-14 years,male,7
Chile,5-14 years,female,4
Chile,75+ years,male,41
Chile,55-74 years,male,137
Chile,25-34 years,male,185
Chile,35-54 years,male,260
Chile,15-24 years,male,147
Chile,15-24 years,female,47
Chile,35-54 years,female,40
Chile,55-74 years,female,17
Chile,25-34 years,female,22
Chile,75+ years,female,4
Chile,5-14 years,male,6
Chile,5-14 years,female,4
Chile,75+ years,male,42
Chile,55-74 years,male,174
Chile,35-54 years,male,320
Chile,25-34 years,male,208
Chile,15-24 years,male,151
Chile,75+ years,female,9
Chile,15-24 years,female,37
Chile,25-34 years,female,30
Chile,35-54 years,female,40
Chile,55-74 years,female,12
Chile,5-14 years,female,4
Chile,5-14 years,male,4
Chile,75+ years,male,51
Chile,55-74 years,male,167
Chile,25-34 years,male,222
Chile,35-54 years,male,323
Chile,15-24 years,male,137
Chile,55-74 years,female,26
Chile,15-24 years,female,34
Chile,25-34 years,female,33
Chile,35-54 years,female,39
Chile,75+ years,female,5
Chile,5-14 years,male,3
Chile,5-14 years,female,1
Chile,75+ years,male,66
Chile,55-74 years,male,214
Chile,25-34 years,male,305
Chile,35-54 years,male,457
Chile,15-24 years,male,216
Chile,55-74 years,female,40
Chile,15-24 years,female,48
Chile,35-54 years,female,70
Chile,25-34 years,female,38
Chile,75+ years,female,5
Chile,5-14 years,male,8
Chile,5-14 years,female,6
Chile,75+ years,male,51
Chile,55-74 years,male,239
Chile,35-54 years,male,540
Chile,25-34 years,male,297
Chile,15-24 years,male,253
Chile,15-24 years,female,60
Chile,25-34 years,female,53
Chile,35-54 years,female,85
Chile,75+ years,female,6
Chile,55-74 years,female,19
Chile,5-14 years,male,12
Chile,5-14 years,female,10
Chile,75+ years,male,62
Chile,55-74 years,male,222
Chile,35-54 years,male,519
Chile,25-34 years,male,296
Chile,15-24 years,male,241
Chile,35-54 years,female,101
Chile,75+ years,female,13
Chile,25-34 years,female,46
Chile,15-24 years,female,47
Chile,55-74 years,female,34
Chile,5-14 years,male,17
Chile,5-14 years,female,5
Chile,75+ years,male,68
Chile,55-74 years,male,252
Chile,35-54 years,male,522
Chile,25-34 years,male,306
Chile,15-24 years,male,234
Chile,35-54 years,female,92
Chile,25-34 years,female,53
Chile,15-24 years,female,53
Chile,75+ years,female,12
Chile,55-74 years,female,38
Chile,5-14 years,male,20
Chile,5-14 years,female,4
Chile,75+ years,male,70
Chile,55-74 years,male,240
Chile,25-34 years,male,315
Chile,35-54 years,male,537
Chile,15-24 years,male,295
