country,age,sex,suicides_no
Colombia,75+ years,male,21
Colombia,55-74 years,male,113
Colombia,25-34 years,male,193
Colombia,15-24 years,male,256
Colombia,35-54 years,male,188
Colombia,15-24 years,female,117
Colombia,25-34 years,female,45
Colombia,75+ years,female,3
Colombia,35-54 years,female,31
Colombia,55-74 years,female,12
Colombia,5-14 years,male,12
Colombia,5-14 years,female,10
Colombia,75+ years,male,13
Colombia,15-24 years,male,260
Colombia,25-34 years,male,189
Colombia,55-74 years,male,81
Colombia,35-54 years,male,187
Colombia,15-24 years,female,121
Colombia,25-34 years,female,48
Colombia,55-74 years,female,13
Colombia,35-54 years,female,26
Colombia,5-14 years,female,10
Colombia,5-14 years,male,10
Colombia,75+ years,female,0
Colombia,15-24 years,male,301
Colombia,55-74 years,male,86
Colombia,75+ years,male,14
Colombia,25-34 years,male,192
Colombia,35-54 years,male,147
Colombia,15-24 years,female,118
Colombia,25-34 years,female,29
Colombia,35-54 years,female,27
Colombia,55-74 years,female,10
Colombia,75+ years,female,2
Colombia,5-14 years,male,16
Colombia,5-14 years,female,9
Colombia,75+ years,male,27
Colombia,25-34 years,male,214
Colombia,55-74 years,male,83
Colombia,15-24 years,male,243
Colombia,35-54 years,male,160
Colombia,15-24 years,female,85
Colombia,75+ years,female,6
Colombia,25-34 years,female,41
Colombia,35-54 years,female,26
Colombia,5-14 years,male,14
Colombia,55-74 years,female,4
Colombia,5-14 years,female,9
Colombia,75+ years,male,17
Colombia,55-74 years,male,87
Colombia,25-34 years,male,194
Colombia,35-54 years,male,152
Colombia,15-24 years,male,191
Colombia,15-24 years,female,78
Colombia,25-34 years,female,45
Colombia,75+ years,female,4
Colombia,35-54 years,female,34
Colombia,5-14 years,female,13
Colombia,55-74 years,female,4
Colombia,5-14 years,male,12
Colombia,75+ years,male,21
Colombia,55-74 years,male,85
Colombia,15-24 years,male,220
Colombia,25-34 years,male,174
Colombia,35-54 years,male,153
Colombia,15-24 years,female,95
Colombia,25-34 years,female,41
Colombia,35-54 years,female,40
Colombia,55-74 years,female,14
Colombia,75+ years,female,3
Colombia,5-14 years,male,12
Colombia,5-14 years,female,7
Colombia,15-24 years,male,280
Colombia,55-74 years,male,89
Colombia,25-34 years,male,216
Colombia,75+ years,male,14
Colombia,35-54 years,male,175
Colombia,15-24 years,female,100
Colombia,25-34 years,female,54
Colombia,35-54 years,female,36
Colombia,75+ years,female,3
Colombia,55-74 years,female,10
Colombia,5-14 years,male,24
Colombia,5-14 years,female,9
Colombia,55-74 years,male,108
Colombia,75+ years,male,20
Colombia,25-34 years,male,251
Colombia,15-24 years,male,274
Colombia,35-54 years,male,180
Colombia,15-24 years,female,111
Colombia,25-34 years,female,53
Colombia,35-54 years,female,48
Colombia,55-74 years,female,6
Colombia,5-14 years,female,17
Colombia,5-14 years,male,17
Colombia,75+ years,female,1
Colombia,75+ years,male,22
Colombia,55-74 years,male,108
Colombia,15-24 years,male,279
Colombia,25-34 years,male,226
Colombia,35-54 years,male,215
Colombia,15-24 years,female,101
Colombia,25-34 years,female,53
Colombia,55-74 years,female,16
Colombia,35-54 years,female,36
Colombia,5-14 years,male,21
Colombia,5-14 years,female,8
Colombia,75+ years,female,0
Colombia,75+ years,male,31
Colombia,15-24 years,male,313
Colombia,55-74 years,male,110
Colombia,25-34 years,male,247
Colombia,35-54 years,male,216
Colombia,15-24 years,female,130
Colombia,25-34 years,female,59
Colombia,55-74 years,female,19
Colombia,35-54 years,female,44
Colombia,75+ years,female,2
Colombia,5-14 years,female,14
Colombia,5-14 years,male,13
Colombia,75+ years,male,27
Colombia,55-74 years,male,110
Colombia,25-34 years,male,253
Colombia,15-24 years,male,271
Colombia,35-54 years,male,213
Colombia,15-24 years,female,116
Colombia,25-34 years,female,55
Colombia,35-54 years,female,63
Colombia,55-74 years,female,16
Colombia,5-14 years,male,15
Colombia,75+ years,female,1
Colombia,5-14 years,female,10
Colombia,75+ years,male,33
Colombia,55-74 years,male,124
Colombia,15-24 years,male,289
Colombia,35-54 years,male,259
Colombia,25-34 years,male,225
Colombia,15-24 years,female,121
Colombia,25-34 years,female,58
Colombia,35-54 years,female,44
Colombia,55-74 years,female,15
Colombia,75+ years,female,3
Colombia,5-14 years,male,21
Colombia,5-14 years,female,17
Colombia,75+ years,male,34
Colombia,55-74 years,male,117
Colombia,15-24 years,male,315
Colombia,25-34 years,male,242
Colombia,35-54 years,male,234
Colombia,15-24 years,female,117
Colombia,25-34 years,female,70
Colombia,35-54 years,female,57
Colombia,55-74 years,female,17
Colombia,75+ years,female,3
Colombia,5-14 years,male,19
Colombia,5-14 years,female,17
Colombia,75+ years,male,51
Colombia,15-24 years,male,507
Colombia,55-74 years,male,182
Colombia,25-34 years,male,402
Colombia,35-54 years,male,374
Colombia,15-24 years,female,247
Colombia,25-34 years,female,97
Colombia,35-54 years,female,88
Colombia,5-14 years,female,47
Colombia,55-74 years,female,18
Colombia,5-14 years,male,36
Colombia,75+ years,female,3
Colombia,75+ years,male,53
Colombia,55-74 years,male,217
Colombia,15-24 years,male,506
Colombia,25-34 years,male,414
Colombia,35-54 years,male,425
Colombia,15-24 years,female,240
Colombia,25-34 years,female,97
Colombia,35-54 years,female,90
Colombia,5-14 years,female,46
Colombia,55-74 years,female,17
Colombia,5-14 years,male,35
Colombia,75+ years,female,3
Colombia,75+ years,male,60
Colombia,15-24 years,male,629
Colombia,55-74 years,male,198
Colombia,25-34 years,male,438
Colombia,35-54 years,male,453
Colombia,15-24 years,female,262
Colombia,25-34 years,female,96
Colombia,35-54 years,female,99
Colombia,75+ years,female,6
Colombia,5-14 years,female,57
Colombia,55-74 years,female,23
Colombia,5-14 years,male,37
Colombia,75+ years,male,54
Colombia,55-74 years,male,234
Colombia,15-24 years,male,602
Colombia,25-34 years,male,439
Colombia,35-54 years,male,491
Colombia,15-24 years,female,302
Colombia,25-34 years,female,105
Colombia,55-74 years,female,30
Colombia,35-54 years,female,71
Colombia,5-14 years,female,45
Colombia,75+ years,female,4
Colombia,5-14 years,male,35
Colombia,75+ years,male,48
Colombia,15-24 years,male,590
Colombia,25-34 years,male,460
Colombia,55-74 years,male,177
Colombia,35-54 years,male,487
Colombia,15-24 years,female,295
Colombia,25-34 years,female,92
Colombia,35-54 years,female,81
Colombia,5-14 years,female,64
Colombia,55-74 years,female,28
Colombia,5-14 years,male,53
Colombia,75+ years,female,4
Colombia,75+ years,male,49
Colombia,55-74 years,male,235
Colombia,25-34 years,male,424
Colombia,15-24 years,male,508
Colombia,35-54 years,male,441
Colombia,15-24 years,female,299
Colombia,25-34 years,female,93
Colombia,35-54 years,female,96
Colombia,55-74 years,female,35
Colombia,75+ years,female,6
Colombia,5-14 years,female,48
Colombia,5-14 years,male,35
Colombia,75+ years,male,74
Colombia,55-74 years,male,229
Colombia,15-24 years,male,522
Colombia,25-34 years,male,397
Colombia,35-54 years,male,465
Colombia,15-24 years,female,246
Colombia,25-34 years,female,91
Colombia,75+ years,female,9
Colombia,35-54 years,female,85
Colombia,55-74 years,female,29
Colombia,5-14 years,male,56
Colombia,5-14 years,female,41
Colombia,75+ years,male,63
Colombia,15-24 years,male,517
Colombia,55-74 years,male,219
Colombia,25-34 years,male,352
Colombia,35-54 years,male,434
Colombia,15-24 years,female,225
Colombia,25-34 years,female,93
Colombia,35-54 years,female,87
Colombia,55-74 years,female,27
Colombia,5-14 years,male,52
Colombia,75+ years,female,5
Colombia,5-14 years,female,28
Colombia,75+ years,male,78
Colombia,15-24 years,male,521
Colombia,25-34 years,male,408
Colombia,55-74 years,male,211
Colombia,35-54 years,male,453
Colombia,15-24 years,female,197
Colombia,25-34 years,female,96
Colombia,35-54 years,female,90
Colombia,55-74 years,female,33
Colombia,5-14 years,male,46
Colombia,5-14 years,female,40
Colombia,75+ years,female,4
Colombia,75+ years,male,67
Colombia,55-74 years,male,245
Colombia,15-24 years,male,493
Colombia,25-34 years,male,410
Colombia,35-54 years,male,475
Colombia,15-24 years,female,208
Colombia,25-34 years,female,105
Colombia,35-54 years,female,82
Colombia,5-14 years,female,40
Colombia,5-14 years,male,37
Colombia,55-74 years,female,16
Colombia,75+ years,female,3
Colombia,75+ years,male,69
Colombia,55-74 years,male,250
Colombia,25-34 years,male,417
Colombia,15-24 years,male,479
Colombia,35-54 years,male,510
Colombia,15-24 years,female,206
Colombia,25-34 years,female,85
Colombia,35-54 years,female,82
Colombia,5-14 years,male,47
Colombia,55-74 years,female,27
Colombia,5-14 years,female,43
Colombia,75+ years,female,5
Colombia,75+ years,male,72
Colombia,25-34 years,male,426
Colombia,55-74 years,male,252
Colombia,15-24 years,male,481
Colombia,35-54 years,male,517
Colombia,15-24 years,female,207
Colombia,25-34 years,female,72
Colombia,55-74 years,female,46
Colombia,35-54 years,female,87
Colombia,5-14 years,male,54
Colombia,5-14 years,female,32
Colombia,75+ years,female,3
Colombia,75+ years,male,65
Colombia,25-34 years,male,436
Colombia,15-24 years,male,480
Colombia,55-74 years,male,225
Colombia,35-54 years,male,463
Colombia,15-24 years,female,187
Colombia,25-34 years,female,78
Colombia,35-54 years,female,72
Colombia,5-14 years,male,41
Colombia,5-14 years,female,39
Colombia,75+ years,female,5
Colombia,55-74 years,female,16
Colombia,75+ years,male,60
Colombia,15-24 years,male,450
Colombia,25-34 years,male,382
Colombia,55-74 years,male,231
Colombia,35-54 years,male,498
Colombia,15-24 years,female,159
Colombia,25-34 years,female,69
Colombia,35-54 years,female,87
Colombia,55-74 years,female,29
Colombia,5-14 years,male,41
Colombia,5-14 years,female,34
Colombia,75+ years,female,4
Colombia,75+ years,male,69
Colombia,15-24 years,male,486
Colombia,25-34 years,male,412
Colombia,55-74 years,male,266
Colombia,35-54 years,male,455
Colombia,15-24 years,female,151
Colombia,25-34 years,female,73
Colombia,55-74 years,female,41
Colombia,35-54 years,female,83
Colombia,5-14 years,male,44
Colombia,75+ years,female,6
Colombia,5-14 years,female,33
Colombia,75+ years,male,69
Colombia,15-24 years,male,450
Colombia,55-74 years,male,260
Colombia,25-34 years,male,381
Colombia,35-54 years,male,462
Colombia,15-24 years,female,141
Colombia,25-34 years,female,81
Colombia,35-54 years,female,101
Colombia,55-74 years,female,41
Colombia,5-14 years,male,41
Colombia,5-14 years,female,36
Colombia,75+ years,female,5
Colombia,75+ years,male,83
Colombia,15-24 years,male,480
Colombia,55-74 years,male,283
Colombia,25-34 years,male,395
Colombia,35-54 years,male,477
Colombia,15-24 years,female,132
Colombia,25-34 years,female,82
Colombia,55-74 years,female,43
Colombia,35-54 years,female,82
Colombia,5-14 years,male,37
Colombia,75+ years,female,5
Colombia,5-14 years,female,27
Colombia,75+ years,male,82
Colombia,15-24 years,male,473
Colombia,55-74 years,male,317
Colombia,25-34 years,male,379
Colombia,35-54 years,male,560
Colombia,15-24 years,female,176
Colombia,25-34 years,female,111
Colombia,35-54 years,female,96
Colombia,75+ years,female,10
Colombia,55-74 years,female,45
Colombia,5-14 years,female,44
Colombia,5-14 years,male,39
