country,age,sex,suicides_no
Costa Rica,35-54 years,male,32
Costa Rica,25-34 years,male,32
Costa Rica,55-74 years,male,12
Costa Rica,15-24 years,male,33
Costa Rica,75+ years,male,1
Costa Rica,15-24 years,female,8
Costa Rica,25-34 years,female,3
Costa Rica,35-54 years,female,3
Costa Rica,55-74 years,female,1
Costa Rica,5-14 years,male,2
Costa Rica,5-14 years,female,1
Costa Rica,75+ years,female,0
Costa Rica,75+ years,male,3
Costa Rica,35-54 years,male,48
Costa Rica,55-74 years,male,20
Costa Rica,25-34 years,male,26
Costa Rica,15-24 years,male,20
Costa Rica,15-24 years,female,7
Costa Rica,55-74 years,female,1
Costa Rica,25-34 years,female,2
Costa Rica,35-54 years,female,2
Costa Rica,5-14 years,female,1
Costa Rica,5-14 years,male,1
Costa Rica,75+ years,female,0
Costa Rica,75+ years,male,5
Costa Rica,35-54 years,male,34
Costa Rica,25-34 years,male,29
Costa Rica,15-24 years,male,22
Costa Rica,55-74 years,male,7
Costa Rica,25-34 years,female,8
Costa Rica,15-24 years,female,7
Costa Rica,35-54 years,female,5
Costa Rica,5-14 years,female,2
Costa Rica,55-74 years,female,0
Costa Rica,75+ years,female,0
Costa Rica,5-14 years,male,0
Costa Rica,75+ years,male,4
Costa Rica,35-54 years,male,49
Costa Rica,55-74 years,male,14
Costa Rica,25-34 years,male,32
Costa Rica,15-24 years,male,22
Costa Rica,15-24 years,female,8
Costa Rica,25-34 years,female,6
Costa Rica,35-54 years,female,3
Costa Rica,5-14 years,female,0
Costa Rica,55-74 years,female,0
Costa Rica,75+ years,female,0
Costa Rica,5-14 years,male,0
Costa Rica,25-34 years,male,50
Costa Rica,55-74 years,male,19
Costa Rica,35-54 years,male,40
Costa Rica,75+ years,male,2
Costa Rica,15-24 years,male,23
Costa Rica,15-24 years,female,12
Costa Rica,35-54 years,female,9
Costa Rica,25-34 years,female,7
Costa Rica,55-74 years,female,1
Costa Rica,5-14 years,female,2
Costa Rica,5-14 years,male,2
Costa Rica,75+ years,female,0
Costa Rica,75+ years,male,5
Costa Rica,35-54 years,male,49
Costa Rica,55-74 years,male,15
Costa Rica,15-24 years,male,35
Costa Rica,25-34 years,male,31
Costa Rica,75+ years,female,1
Costa Rica,35-54 years,female,6
Costa Rica,15-24 years,female,5
Costa Rica,55-74 years,female,2
Costa Rica,25-34 years,female,3
Costa Rica,5-14 years,male,4
Costa Rica,5-14 years,female,1
Costa Rica,35-54 years,male,41
Costa Rica,55-74 years,male,16
Costa Rica,25-34 years,male,31
Costa Rica,75+ years,male,2
Costa Rica,15-24 years,male,15
Costa Rica,15-24 years,female,10
Costa Rica,35-54 years,female,6
Costa Rica,25-34 years,female,3
Costa Rica,5-14 years,male,1
Costa Rica,5-14 years,female,0
Costa Rica,55-74 years,female,0
Costa Rica,75+ years,female,0
Costa Rica,35-54 years,male,48
Costa Rica,75+ years,male,3
Costa Rica,55-74 years,male,15
Costa Rica,25-34 years,male,30
Costa Rica,15-24 years,male,28
Costa Rica,25-34 years,female,12
Costa Rica,15-24 years,female,5
Costa Rica,55-74 years,female,2
Costa Rica,35-54 years,female,4
Costa Rica,5-14 years,male,2
Costa Rica,5-14 years,female,0
Costa Rica,75+ years,female,0
Costa Rica,75+ years,male,8
Costa Rica,35-54 years,male,47
Costa Rica,55-74 years,male,18
Costa Rica,25-34 years,male,38
Costa Rica,15-24 years,male,26
Costa Rica,25-34 years,female,9
Costa Rica,35-54 years,female,9
Costa Rica,55-74 years,female,3
Costa Rica,15-24 years,female,6
Costa Rica,5-14 years,female,0
Costa Rica,75+ years,female,0
Costa Rica,5-14 years,male,0
Costa Rica,75+ years,male,5
Costa Rica,35-54 years,male,44
Costa Rica,25-34 years,male,36
Costa Rica,55-74 years,male,15
Costa Rica,15-24 years,male,30
Costa Rica,15-24 years,female,10
Costa Rica,25-34 years,female,9
Costa Rica,55-74 years,female,3
Costa Rica,35-54 years,female,7
Costa Rica,5-14 years,male,3
Costa Rica,5-14 years,female,0
Costa Rica,75+ years,female,0
Costa Rica,35-54 years,male,62
Costa Rica,25-34 years,male,45
Costa Rica,55-74 years,male,19
Costa Rica,15-24 years,male,40
Costa Rica,75+ years,male,2
Costa Rica,15-24 years,female,13
Costa Rica,35-54 years,female,11
Costa Rica,55-74 years,female,4
Costa Rica,25-34 years,female,7
Costa Rica,5-14 years,male,5
Costa Rica,5-14 years,female,1
Costa Rica,75+ years,female,0
Costa Rica,75+ years,male,8
Costa Rica,25-34 years,male,60
Costa Rica,15-24 years,male,47
Costa Rica,35-54 years,male,49
Costa Rica,55-74 years,male,19
Costa Rica,15-24 years,female,11
Costa Rica,25-34 years,female,6
Costa Rica,55-74 years,female,2
Costa Rica,35-54 years,female,4
Costa Rica,5-14 years,male,2
Costa Rica,5-14 years,female,1
Costa Rica,75+ years,female,0
Costa Rica,55-74 years,male,28
Costa Rica,75+ years,male,5
Costa Rica,25-34 years,male,39
Costa Rica,15-24 years,male,42
Costa Rica,35-54 years,male,40
Costa Rica,15-24 years,female,14
Costa Rica,75+ years,female,1
Costa Rica,35-54 years,female,6
Costa Rica,25-34 years,female,4
Costa Rica,5-14 years,male,5
Costa Rica,55-74 years,female,1
Costa Rica,5-14 years,female,2
Costa Rica,75+ years,male,7
Costa Rica,25-34 years,male,55
Costa Rica,35-54 years,male,68
Costa Rica,55-74 years,male,24
Costa Rica,15-24 years,male,42
Costa Rica,25-34 years,female,8
Costa Rica,75+ years,female,1
Costa Rica,15-24 years,female,6
Costa Rica,35-54 years,female,5
Costa Rica,5-14 years,male,4
Costa Rica,55-74 years,female,1
Costa Rica,5-14 years,female,2
Costa Rica,35-54 years,male,80
Costa Rica,25-34 years,male,52
Costa Rica,55-74 years,male,27
Costa Rica,75+ years,male,5
Costa Rica,15-24 years,male,46
Costa Rica,15-24 years,female,8
Costa Rica,25-34 years,female,6
Costa Rica,35-54 years,female,6
Costa Rica,55-74 years,female,2
Costa Rica,5-14 years,female,1
Costa Rica,75+ years,female,0
Costa Rica,5-14 years,male,0
Costa Rica,75+ years,male,6
Costa Rica,35-54 years,male,77
Costa Rica,25-34 years,male,50
Costa Rica,15-24 years,male,53
Costa Rica,55-74 years,male,24
Costa Rica,25-34 years,female,11
Costa Rica,75+ years,female,1
Costa Rica,15-24 years,female,7
Costa Rica,55-74 years,female,3
Costa Rica,35-54 years,female,5
Costa Rica,5-14 years,female,1
Costa Rica,5-14 years,male,1
Costa Rica,75+ years,male,7
Costa Rica,25-34 years,male,44
Costa Rica,35-54 years,male,61
Costa Rica,55-74 years,male,22
Costa Rica,15-24 years,male,32
Costa Rica,25-34 years,female,9
Costa Rica,15-24 years,female,9
Costa Rica,75+ years,female,1
Costa Rica,35-54 years,female,8
Costa Rica,5-14 years,male,4
Costa Rica,5-14 years,female,1
Costa Rica,55-74 years,female,0
Costa Rica,75+ years,male,8
Costa Rica,25-34 years,male,54
Costa Rica,35-54 years,male,84
Costa Rica,15-24 years,male,58
Costa Rica,55-74 years,male,28
Costa Rica,15-24 years,female,18
Costa Rica,25-34 years,female,8
Costa Rica,35-54 years,female,9
Costa Rica,55-74 years,female,3
Costa Rica,5-14 years,male,4
Costa Rica,5-14 years,female,1
Costa Rica,75+ years,female,0
Costa Rica,75+ years,male,13
Costa Rica,55-74 years,male,39
Costa Rica,35-54 years,male,91
Costa Rica,25-34 years,male,55
Costa Rica,15-24 years,male,62
Costa Rica,15-24 years,female,28
Costa Rica,25-34 years,female,9
Costa Rica,35-54 years,female,11
Costa Rica,55-74 years,female,3
Costa Rica,5-14 years,female,2
Costa Rica,5-14 years,male,2
Costa Rica,75+ years,female,0
Costa Rica,35-54 years,male,104
Costa Rica,55-74 years,male,42
Costa Rica,25-34 years,male,60
Costa Rica,15-24 years,male,68
Costa Rica,75+ years,male,5
Costa Rica,25-34 years,female,10
Costa Rica,15-24 years,female,12
Costa Rica,55-74 years,female,6
Costa Rica,35-54 years,female,12
Costa Rica,75+ years,female,1
Costa Rica,5-14 years,female,3
Costa Rica,5-14 years,male,2
Costa Rica,35-54 years,male,98
Costa Rica,55-74 years,male,35
Costa Rica,25-34 years,male,48
Costa Rica,15-24 years,male,44
Costa Rica,75+ years,male,4
Costa Rica,15-24 years,female,14
Costa Rica,35-54 years,female,16
Costa Rica,25-34 years,female,7
Costa Rica,55-74 years,female,2
Costa Rica,5-14 years,female,2
Costa Rica,5-14 years,male,2
Costa Rica,75+ years,female,0
Costa Rica,35-54 years,male,123
Costa Rica,25-34 years,male,61
Costa Rica,55-74 years,male,37
Costa Rica,15-24 years,male,63
Costa Rica,75+ years,male,5
Costa Rica,15-24 years,female,18
Costa Rica,75+ years,female,2
Costa Rica,25-34 years,female,10
Costa Rica,35-54 years,female,14
Costa Rica,55-74 years,female,6
Costa Rica,5-14 years,male,6
Costa Rica,5-14 years,female,5
Costa Rica,35-54 years,male,90
Costa Rica,25-34 years,male,53
Costa Rica,55-74 years,male,32
Costa Rica,15-24 years,male,46
Costa Rica,75+ years,male,4
Costa Rica,15-24 years,female,20
Costa Rica,25-34 years,female,11
Costa Rica,35-54 years,female,9
Costa Rica,55-74 years,female,3
Costa Rica,5-14 years,female,1
Costa Rica,5-14 years,male,1
Costa Rica,75+ years,female,0
Costa Rica,35-54 years,male,101
Costa Rica,15-24 years,male,52
Costa Rica,55-74 years,male,31
Costa Rica,25-34 years,male,38
Costa Rica,75+ years,male,4
Costa Rica,75+ years,female,2
Costa Rica,15-24 years,female,9
Costa Rica,55-74 years,female,5
Costa Rica,35-54 years,female,10
Costa Rica,25-34 years,female,6
Costa Rica,5-14 years,female,2
Costa Rica,5-14 years,male,1
Costa Rica,25-34 years,male,60
Costa Rica,35-54 years,male,86
Costa Rica,15-24 years,male,51
Costa Rica,55-74 years,male,32
Costa Rica,75+ years,male,6
Costa Rica,25-34 years,female,10
Costa Rica,15-24 years,female,11
Costa Rica,35-54 years,female,13
Costa Rica,55-74 years,female,5
Costa Rica,5-14 years,female,3
Costa Rica,5-14 years,male,1
Costa Rica,75+ years,female,0
Costa Rica,25-34 years,male,74
Costa Rica,35-54 years,male,106
Costa Rica,55-74 years,male,36
Costa Rica,75+ years,male,7
Costa Rica,15-24 years,male,40
Costa Rica,25-34 years,female,12
Costa Rica,35-54 years,female,16
Costa Rica,15-24 years,female,10
Costa Rica,55-74 years,female,5
Costa Rica,5-14 years,male,5
Costa Rica,5-14 years,female,0
Costa Rica,75+ years,female,0
Costa Rica,25-34 years,male,72
Costa Rica,75+ years,male,9
Costa Rica,35-54 years,male,85
Costa Rica,55-74 years,male,40
Costa Rica,15-24 years,male,52
Costa Rica,15-24 years,female,20
Costa Rica,55-74 years,female,8
Costa Rica,35-54 years,female,14
Costa Rica,25-34 years,female,8
Costa Rica,5-14 years,male,5
Costa Rica,75+ years,female,1
Costa Rica,5-14 years,female,2
Costa Rica,35-54 years,male,94
Costa Rica,25-34 years,male,55
Costa Rica,15-24 years,male,58
Costa Rica,55-74 years,male,40
Costa Rica,75+ years,male,8
Costa Rica,35-54 years,female,16
Costa Rica,15-24 years,female,10
Costa Rica,55-74 years,female,6
Costa Rica,25-34 years,female,7
Costa Rica,5-14 years,male,5
Costa Rica,5-14 years,female,3
Costa Rica,75+ years,female,0
Costa Rica,25-34 years,male,75
Costa Rica,75+ years,male,12
Costa Rica,55-74 years,male,49
Costa Rica,35-54 years,male,82
Costa Rica,15-24 years,male,48
Costa Rica,25-34 years,female,11
Costa Rica,35-54 years,female,13
Costa Rica,15-24 years,female,8
Costa Rica,5-14 years,male,6
Costa Rica,55-74 years,female,5
Costa Rica,75+ years,female,1
Costa Rica,5-14 years,female,1
