country,age,sex,suicides_no
Croatia,75+ years,male,77
Croatia,55-74 years,male,216
Croatia,35-54 years,male,226
Croatia,75+ years,female,39
Croatia,25-34 years,male,89
Croatia,15-24 years,male,73
Croatia,55-74 years,female,99
Croatia,35-54 years,female,65
Croatia,25-34 years,female,21
Croatia,15-24 years,female,17
Croatia,5-14 years,male,6
Croatia,5-14 years,female,1
Croatia,75+ years,male,72
Croatia,55-74 years,male,270
Croatia,35-54 years,male,221
Croatia,75+ years,female,40
Croatia,25-34 years,male,90
Croatia,15-24 years,male,80
Croatia,55-74 years,female,115
Croatia,35-54 years,female,65
Croatia,25-34 years,female,22
Croatia,15-24 years,female,18
Croatia,5-14 years,male,5
Croatia,5-14 years,female,3
Croatia,75+ years,male,65
Croatia,55-74 years,male,269
Croatia,75+ years,female,55
Croatia,35-54 years,male,223
Croatia,15-24 years,male,72
Croatia,55-74 years,female,93
Croatia,25-34 years,male,60
Croatia,35-54 years,female,59
Croatia,25-34 years,female,29
Croatia,15-24 years,female,16
Croatia,5-14 years,male,3
Croatia,5-14 years,female,2
Croatia,75+ years,male,78
Croatia,55-74 years,male,274
Croatia,35-54 years,male,236
Croatia,75+ years,female,43
Croatia,25-34 years,male,93
Croatia,55-74 years,female,132
Croatia,15-24 years,male,61
Croatia,35-54 years,female,75
Croatia,25-34 years,female,18
Croatia,15-24 years,female,14
Croatia,5-14 years,male,3
Croatia,5-14 years,female,2
Croatia,75+ years,male,77
Croatia,55-74 years,male,225
Croatia,35-54 years,male,245
Croatia,75+ years,female,41
Croatia,25-34 years,male,93
Croatia,55-74 years,female,132
Croatia,15-24 years,male,71
Croatia,35-54 years,female,70
Croatia,15-24 years,female,15
Croatia,25-34 years,female,14
Croatia,5-14 years,male,5
Croatia,5-14 years,female,1
Croatia,75+ years,male,77
Croatia,55-74 years,male,229
Croatia,35-54 years,male,249
Croatia,75+ years,female,50
Croatia,25-34 years,male,77
Croatia,55-74 years,female,99
Croatia,15-24 years,male,57
Croatia,35-54 years,female,64
Croatia,25-34 years,female,12
Croatia,15-24 years,female,9
Croatia,5-14 years,male,3
Croatia,5-14 years,female,0
Croatia,75+ years,male,67
Croatia,55-74 years,male,228
Croatia,35-54 years,male,231
