country,age,sex,suicides_no
Cuba,75+ years,male,227
Cuba,55-74 years,male,347
Cuba,75+ years,female,70
Cuba,55-74 years,female,210
Cuba,35-54 years,male,376
Cuba,15-24 years,female,231
Cuba,25-34 years,male,214
Cuba,35-54 years,female,256
Cuba,25-34 years,female,183
Cuba,15-24 years,male,164
Cuba,5-14 years,female,16
Cuba,5-14 years,male,5
Cuba,75+ years,male,257
Cuba,55-74 years,male,382
Cuba,75+ years,female,84
Cuba,55-74 years,female,262
Cuba,35-54 years,male,371
Cuba,25-34 years,male,245
Cuba,35-54 years,female,254
Cuba,15-24 years,female,178
Cuba,25-34 years,female,179
Cuba,15-24 years,male,152
Cuba,5-14 years,female,7
Cuba,5-14 years,male,3
Cuba,75+ years,male,246
Cuba,55-74 years,male,401
Cuba,55-74 years,female,229
Cuba,35-54 years,male,399
Cuba,75+ years,female,61
Cuba,25-34 years,male,252
Cuba,35-54 years,female,235
Cuba,15-24 years,female,152
Cuba,25-34 years,female,156
Cuba,15-24 years,male,142
Cuba,5-14 years,female,4
Cuba,5-14 years,male,1
Cuba,75+ years,male,248
Cuba,55-74 years,male,372
Cuba,75+ years,female,68
Cuba,35-54 years,male,374
Cuba,25-34 years,male,276
Cuba,55-74 years,female,171
Cuba,35-54 years,female,241
Cuba,15-24 years,female,162
Cuba,25-34 years,female,161
Cuba,15-24 years,male,138
Cuba,5-14 years,female,10
Cuba,5-14 years,male,1
Cuba,75+ years,male,228
Cuba,55-74 years,male,344
Cuba,35-54 years,male,403
Cuba,75+ years,female,61
Cuba,25-34 years,male,249
Cuba,55-74 years,female,157
Cuba,35-54 years,female,201
Cuba,15-24 years,male,128
Cuba,15-24 years,female,113
Cuba,25-34 years,female,121
Cuba,5-14 years,female,7
Cuba,5-14 years,male,2
Cuba,75+ years,male,240
Cuba,55-74 years,male,353
Cuba,35-54 years,male,446
Cuba,75+ years,female,65
Cuba,25-34 years,male,246
Cuba,55-74 years,female,162
Cuba,35-54 years,female,216
Cuba,15-24 years,male,111
Cuba,25-34 years,female,107
Cuba,15-24 years,female,72
Cuba,5-14 years,female,6
Cuba,5-14 years,male,5
Cuba,75+ years,male,253
Cuba,55-74 years,male,395
Cuba,35-54 years,male,413
Cuba,75+ years,female,72
Cuba,55-74 years,female,172
Cuba,25-34 years,male,232
Cuba,35-54 years,female,215
Cuba,15-24 years,male,104
Cuba,15-24 years,female,86
Cuba,25-34 years,female,108
Cuba,5-14 years,male,4
Cuba,5-14 years,female,2
Cuba,75+ years,male,226
Cuba,55-74 years,male,365
Cuba,35-54 years,male,495
Cuba,25-34 years,male,267
Cuba,55-74 years,female,182
Cuba,75+ years,female,59
Cuba,15-24 years,male,109
Cuba,35-54 years,female,182
Cuba,15-24 years,female,64
Cuba,25-34 years,female,92
Cuba,5-14 years,female,5
Cuba,5-14 years,male,4
Cuba,75+ years,male,204
Cuba,55-74 years,male,318
Cuba,35-54 years,male,432
Cuba,25-34 years,male,248
Cuba,75+ years,female,55
Cuba,55-74 years,female,147
Cuba,15-24 years,male,104
Cuba,35-54 years,female,175
Cuba,25-34 years,female,104
Cuba,15-24 years,female,51
Cuba,5-14 years,male,4
Cuba,5-14 years,female,3
Cuba,75+ years,male,192
Cuba,55-74 years,male,333
Cuba,35-54 years,male,385
Cuba,25-34 years,male,212
Cuba,55-74 years,female,133
Cuba,75+ years,female,44
Cuba,15-24 years,male,76
Cuba,35-54 years,female,147
Cuba,25-34 years,female,74
Cuba,15-24 years,female,48
Cuba,5-14 years,male,5
Cuba,5-14 years,female,3
Cuba,75+ years,male,198
Cuba,55-74 years,male,291
Cuba,35-54 years,male,400
Cuba,75+ years,female,63
Cuba,25-34 years,male,189
Cuba,55-74 years,female,120
Cuba,35-54 years,female,160
Cuba,15-24 years,male,68
Cuba,25-34 years,female,84
Cuba,15-24 years,female,29
Cuba,5-14 years,female,3
Cuba,5-14 years,male,1
Cuba,75+ years,male,194
Cuba,55-74 years,male,289
Cuba,35-54 years,male,404
Cuba,25-34 years,male,174
Cuba,75+ years,female,45
Cuba,55-74 years,female,121
Cuba,35-54 years,female,132
Cuba,15-24 years,male,61
Cuba,25-34 years,female,43
Cuba,15-24 years,female,31
Cuba,5-14 years,male,4
Cuba,5-14 years,female,1
Cuba,75+ years,male,187
Cuba,55-74 years,male,326
Cuba,35-54 years,male,416
Cuba,25-34 years,male,149
Cuba,55-74 years,female,127
Cuba,75+ years,female,40
Cuba,35-54 years,female,135
Cuba,15-24 years,male,61
Cuba,25-34 years,female,44
Cuba,15-24 years,female,23
Cuba,5-14 years,male,5
Cuba,5-14 years,female,2
Cuba,75+ years,male,191
Cuba,55-74 years,male,269
Cuba,35-54 years,male,387
Cuba,75+ years,female,47
Cuba,25-34 years,male,136
Cuba,55-74 years,female,117
Cuba,15-24 years,male,56
Cuba,35-54 years,female,114
Cuba,15-24 years,female,36
Cuba,25-34 years,female,34
Cuba,5-14 years,male,7
Cuba,5-14 years,female,3
Cuba,75+ years,male,205
Cuba,55-74 years,male,318
Cuba,35-54 years,male,388
Cuba,25-34 years,male,138
Cuba,75+ years,female,39
Cuba,55-74 years,female,91
Cuba,15-24 years,male,52
Cuba,35-54 years,female,98
Cuba,25-34 years,female,27
Cuba,15-24 years,female,17
Cuba,5-14 years,male,2
Cuba,5-14 years,female,1
Cuba,75+ years,male,186
Cuba,55-74 years,male,329
Cuba,35-54 years,male,370
Cuba,75+ years,female,49
Cuba,25-34 years,male,105
Cuba,55-74 years,female,87
Cuba,15-24 years,male,49
Cuba,35-54 years,female,93
Cuba,25-34 years,female,22
Cuba,15-24 years,female,15
Cuba,5-14 years,male,2
Cuba,5-14 years,female,0
Cuba,75+ years,male,199
Cuba,55-74 years,male,320
Cuba,35-54 years,male,407
Cuba,55-74 years,female,130
Cuba,25-34 years,male,89
Cuba,75+ years,female,37
Cuba,15-24 years,male,51
Cuba,35-54 years,female,99
Cuba,15-24 years,female,24
Cuba,25-34 years,female,18
Cuba,5-14 years,female,2
Cuba,5-14 years,male,1
Cuba,75+ years,male,210
Cuba,55-74 years,male,318
Cuba,35-54 years,male,428
Cuba,25-34 years,male,122
Cuba,75+ years,female,44
Cuba,55-74 years,female,131
Cuba,15-24 years,male,62
Cuba,35-54 years,female,123
Cuba,25-34 years,female,23
Cuba,15-24 years,female,12
Cuba,5-14 years,female,3
Cuba,5-14 years,male,1
Cuba,75+ years,male,206
Cuba,55-74 years,male,374
Cuba,35-54 years,male,476
Cuba,25-34 years,male,102
Cuba,55-74 years,female,142
Cuba,75+ years,female,40
Cuba,15-24 years,male,67
Cuba,35-54 years,female,105
Cuba,25-34 years,female,17
Cuba,15-24 years,female,18
Cuba,5-14 years,female,7
Cuba,5-14 years,male,4
Cuba,75+ years,male,236
Cuba,55-74 years,male,345
Cuba,35-54 years,male,441
Cuba,25-34 years,male,113
Cuba,75+ years,female,50
Cuba,55-74 years,female,123
Cuba,15-24 years,male,75
Cuba,35-54 years,female,106
Cuba,25-34 years,female,20
Cuba,15-24 years,female,13
Cuba,5-14 years,male,4
Cuba,5-14 years,female,3
Cuba,75+ years,male,245
Cuba,55-74 years,male,357
Cuba,35-54 years,male,412
Cuba,25-34 years,male,108
Cuba,75+ years,female,52
Cuba,55-74 years,female,107
Cuba,15-24 years,male,71
Cuba,35-54 years,female,94
Cuba,15-24 years,female,25
Cuba,25-34 years,female,16
Cuba,5-14 years,male,6
Cuba,5-14 years,female,2
Cuba,75+ years,male,216
Cuba,55-74 years,male,401
Cuba,35-54 years,male,436
Cuba,75+ years,female,49
Cuba,25-34 years,male,96
Cuba,55-74 years,female,111
Cuba,15-24 years,male,47
Cuba,35-54 years,female,94
Cuba,25-34 years,female,20
Cuba,15-24 years,female,20
Cuba,5-14 years,male,5
Cuba,5-14 years,female,4
Cuba,75+ years,male,221
Cuba,55-74 years,male,348
Cuba,35-54 years,male,409
Cuba,75+ years,female,51
Cuba,25-34 years,male,97
Cuba,55-74 years,female,116
Cuba,15-24 years,male,62
Cuba,35-54 years,female,107
Cuba,15-24 years,female,19
Cuba,25-34 years,female,12
Cuba,5-14 years,male,9
Cuba,5-14 years,female,2
Cuba,75+ years,male,257
Cuba,55-74 years,male,394
Cuba,35-54 years,male,418
Cuba,75+ years,female,56
Cuba,25-34 years,male,82
Cuba,55-74 years,female,104
Cuba,15-24 years,male,56
Cuba,35-54 years,female,102
Cuba,25-34 years,female,21
Cuba,15-24 years,female,17
Cuba,5-14 years,male,4
Cuba,5-14 years,female,0
