country,age,sex,suicides_no
Cyprus,55-74 years,male,1
Cyprus,15-24 years,female,0
Cyprus,25-34 years,female,0
Cyprus,35-54 years,female,0
Cyprus,5-14 years,female,0
Cyprus,55-74 years,female,0
Cyprus,75+ years,female,0
Cyprus,15-24 years,male,0
Cyprus,25-34 years,male,0
Cyprus,35-54 years,male,0
Cyprus,5-14 years,male,0
Cyprus,75+ years,male,0
Cyprus,25-34 years,male,5
Cyprus,35-54 years,male,2
Cyprus,15-24 years,female,0
Cyprus,25-34 years,female,0
Cyprus,35-54 years,female,0
Cyprus,5-14 years,female,0
Cyprus,55-74 years,female,0
Cyprus,75+ years,female,0
Cyprus,15-24 years,male,0
Cyprus,5-14 years,male,0
Cyprus,55-74 years,male,0
Cyprus,75+ years,male,0
Cyprus,55-74 years,male,2
Cyprus,35-54 years,male,3
Cyprus,25-34 years,female,1
Cyprus,35-54 years,female,1
Cyprus,15-24 years,female,0
Cyprus,5-14 years,female,0
Cyprus,55-74 years,female,0
Cyprus,75+ years,female,0
Cyprus,15-24 years,male,0
Cyprus,25-34 years,male,0
Cyprus,5-14 years,male,0
Cyprus,75+ years,male,0
Cyprus,55-74 years,male,4
Cyprus,55-74 years,female,3
Cyprus,35-54 years,male,4
Cyprus,25-34 years,male,2
Cyprus,15-24 years,male,2
Cyprus,15-24 years,female,1
Cyprus,35-54 years,female,1
Cyprus,25-34 years,female,0
Cyprus,5-14 years,female,0
Cyprus,75+ years,female,0
Cyprus,5-14 years,male,0
Cyprus,75+ years,male,0
Cyprus,55-74 years,male,5
Cyprus,25-34 years,male,4
Cyprus,55-74 years,female,3
Cyprus,35-54 years,female,3
Cyprus,35-54 years,male,2
Cyprus,25-34 years,female,1
Cyprus,15-24 years,male,1
Cyprus,15-24 years,female,0
Cyprus,5-14 years,female,0
Cyprus,75+ years,female,0
Cyprus,5-14 years,male,0
Cyprus,75+ years,male,0
Cyprus,75+ years,male,2
Cyprus,25-34 years,male,4
Cyprus,15-24 years,male,3
Cyprus,55-74 years,male,3
Cyprus,25-34 years,female,2
Cyprus,35-54 years,male,3
Cyprus,55-74 years,female,1
Cyprus,35-54 years,female,1
Cyprus,15-24 years,female,0
Cyprus,5-14 years,female,0
Cyprus,75+ years,female,0
Cyprus,5-14 years,male,0
Cyprus,35-54 years,male,16
Cyprus,25-34 years,male,7
Cyprus,75+ years,male,2
Cyprus,25-34 years,female,3
Cyprus,15-24 years,male,3
Cyprus,35-54 years,female,5
Cyprus,55-74 years,male,3
Cyprus,55-74 years,female,2
Cyprus,15-24 years,female,0
Cyprus,5-14 years,female,0
Cyprus,75+ years,female,0
Cyprus,5-14 years,male,0
Cyprus,75+ years,male,3
Cyprus,25-34 years,male,6
Cyprus,15-24 years,male,5
Cyprus,35-54 years,male,7
Cyprus,55-74 years,male,4
Cyprus,75+ years,female,1
Cyprus,35-54 years,female,4
Cyprus,25-34 years,female,2
Cyprus,15-24 years,female,0
Cyprus,5-14 years,female,0
Cyprus,55-74 years,female,0
Cyprus,5-14 years,male,0
Cyprus,75+ years,male,3
Cyprus,25-34 years,male,7
Cyprus,55-74 years,male,7
Cyprus,35-54 years,male,9
Cyprus,15-24 years,male,4
Cyprus,15-24 years,female,3
Cyprus,35-54 years,female,4
Cyprus,55-74 years,female,1
Cyprus,25-34 years,female,0
Cyprus,5-14 years,female,0
Cyprus,75+ years,female,0
Cyprus,5-14 years,male,0
Cyprus,35-54 years,male,12
Cyprus,55-74 years,male,8
Cyprus,75+ years,male,2
Cyprus,15-24 years,male,3
Cyprus,75+ years,female,1
Cyprus,35-54 years,female,3
Cyprus,55-74 years,female,1
Cyprus,15-24 years,female,0
Cyprus,25-34 years,female,0
Cyprus,5-14 years,female,0
Cyprus,25-34 years,male,0
Cyprus,5-14 years,male,0
Cyprus,25-34 years,male,9
Cyprus,35-54 years,male,14
Cyprus,15-24 years,male,6
Cyprus,55-74 years,male,5
Cyprus,25-34 years,female,1
Cyprus,35-54 years,female,1
Cyprus,15-24 years,female,0
Cyprus,5-14 years,female,0
Cyprus,55-74 years,female,0
Cyprus,75+ years,female,0
Cyprus,5-14 years,male,0
Cyprus,75+ years,male,0
Cyprus,75+ years,male,3
Cyprus,15-24 years,male,8
Cyprus,55-74 years,male,10
Cyprus,25-34 years,male,8
Cyprus,35-54 years,male,11
Cyprus,35-54 years,female,4
Cyprus,55-74 years,female,1
Cyprus,15-24 years,female,0
Cyprus,25-34 years,female,0
Cyprus,5-14 years,female,0
Cyprus,75+ years,female,0
Cyprus,5-14 years,male,0
Cyprus,35-54 years,male,13
Cyprus,25-34 years,male,8
Cyprus,55-74 years,male,7
Cyprus,55-74 years,female,5
Cyprus,25-34 years,female,4
Cyprus,15-24 years,female,3
Cyprus,75+ years,male,1
Cyprus,15-24 years,male,2
Cyprus,35-54 years,female,1
Cyprus,5-14 years,female,0
Cyprus,75+ years,female,0
Cyprus,5-14 years,male,0
Cyprus,55-74 years,male,9
Cyprus,25-34 years,male,7
Cyprus,35-54 years,male,10
Cyprus,15-24 years,male,5
Cyprus,55-74 years,female,3
Cyprus,25-34 years,female,2
Cyprus,35-54 years,female,3
Cyprus,15-24 years,female,1
Cyprus,5-14 years,female,0
Cyprus,75+ years,female,0
Cyprus,5-14 years,male,0
Cyprus,75+ years,male,0
Cyprus,35-54 years,male,15
Cyprus,15-24 years,male,5
Cyprus,75+ years,male,2
Cyprus,55-74 years,male,7
Cyprus,25-34 years,male,2
Cyprus,35-54 years,female,3
Cyprus,25-34 years,female,1
Cyprus,55-74 years,female,1
Cyprus,15-24 years,female,0
Cyprus,75+ years,female,0
