country,age,sex,suicides_no
Czech Republic,75+ years,male,198
Czech Republic,55-74 years,male,385
Czech Republic,35-54 years,male,571
Czech Republic,75+ years,female,129
Czech Republic,25-34 years,male,176
Czech Republic,55-74 years,female,196
Czech Republic,15-24 years,male,99
Czech Republic,35-54 years,female,150
Czech Republic,25-34 years,female,53
Czech Republic,15-24 years,female,34
Czech Republic,5-14 years,male,5
Czech Republic,5-14 years,female,1
Czech Republic,75+ years,male,168
Czech Republic,55-74 years,male,365
Czech Republic,35-54 years,male,554
Czech Republic,75+ years,female,104
Czech Republic,25-34 years,male,176
Czech Republic,55-74 years,female,171
Czech Republic,15-24 years,male,116
Czech Republic,35-54 years,female,157
Czech Republic,25-34 years,female,45
Czech Republic,15-24 years,female,33
Czech Republic,5-14 years,male,14
Czech Republic,5-14 years,female,1
Czech Republic,75+ years,male,165
Czech Republic,55-74 years,male,394
Czech Republic,35-54 years,male,623
Czech Republic,75+ years,female,104
Czech Republic,25-34 years,male,172
Czech Republic,55-74 years,female,164
Czech Republic,15-24 years,male,122
Czech Republic,35-54 years,female,164
Czech Republic,25-34 years,female,52
Czech Republic,15-24 years,female,22
Czech Republic,5-14 years,male,9
Czech Republic,5-14 years,female,0
Czech Republic,75+ years,male,155
Czech Republic,55-74 years,male,355
Czech Republic,35-54 years,male,592
Czech Republic,75+ years,female,110
Czech Republic,25-34 years,male,159
Czech Republic,15-24 years,male,139
Czech Republic,55-74 years,female,155
Czech Republic,35-54 years,female,159
Czech Republic,25-34 years,female,46
Czech Republic,15-24 years,female,35
Czech Republic,5-14 years,male,12
Czech Republic,5-14 years,female,0
Czech Republic,75+ years,male,150
Czech Republic,55-74 years,male,333
Czech Republic,35-54 years,male,522
Czech Republic,75+ years,female,104
Czech Republic,25-34 years,male,177
Czech Republic,15-24 years,male,148
Czech Republic,55-74 years,female,176
Czech Republic,35-54 years,female,177
Czech Republic,25-34 years,female,41
Czech Republic,15-24 years,female,31
Czech Republic,5-14 years,male,11
Czech Republic,5-14 years,female,2
Czech Republic,75+ years,male,132
Czech Republic,35-54 years,male,524
Czech Republic,55-74 years,male,280
Czech Republic,75+ years,female,97
Czech Republic,25-34 years,male,180
Czech Republic,15-24 years,male,161
Czech Republic,55-74 years,female,150
Czech Republic,35-54 years,female,138
Czech Republic,15-24 years,female,35
Czech Republic,25-34 years,female,25
Czech Republic,5-14 years,male,7
Czech Republic,5-14 years,female,4
Czech Republic,75+ years,male,140
Czech Republic,35-54 years,male,488
Czech Republic,55-74 years,male,266
Czech Republic,75+ years,female,77
Czech Republic,25-34 years,male,162
Czech Republic,15-24 years,male,142
Czech Republic,55-74 years,female,117
Czech Republic,35-54 years,female,117
Czech Republic,25-34 years,female,26
Czech Republic,15-24 years,female,24
Czech Republic,5-14 years,male,8
Czech Republic,5-14 years,female,1
Czech Republic,75+ years,male,122
Czech Republic,55-74 years,male,333
Czech Republic,35-54 years,male,550
Czech Republic,25-34 years,male,165
Czech Republic,75+ years,female,61
Czech Republic,15-24 years,male,136
Czech Republic,55-74 years,female,106
Czech Republic,35-54 years,female,134
Czech Republic,25-34 years,female,32
Czech Republic,15-24 years,female,21
Czech Republic,5-14 years,male,5
Czech Republic,5-14 years,female,1
Czech Republic,75+ years,male,127
Czech Republic,35-54 years,male,554
Czech Republic,55-74 years,male,277
Czech Republic,25-34 years,male,179
Czech Republic,75+ years,female,65
Czech Republic,15-24 years,male,126
Czech Republic,55-74 years,female,116
Czech Republic,35-54 years,female,110
Czech Republic,15-24 years,female,31
Czech Republic,25-34 years,female,20
Czech Republic,5-14 years,male,5
Czech Republic,5-14 years,female,3
Czech Republic,75+ years,male,154
Czech Republic,55-74 years,male,302
Czech Republic,35-54 years,male,509
Czech Republic,25-34 years,male,173
Czech Republic,75+ years,female,68
Czech Republic,15-24 years,male,144
Czech Republic,55-74 years,female,94
Czech Republic,35-54 years,female,107
Czech Republic,25-34 years,female,32
Czech Republic,15-24 years,female,24
Czech Republic,5-14 years,male,3
Czech Republic,5-14 years,female,0
Czech Republic,75+ years,male,137
Czech Republic,35-54 years,male,546
Czech Republic,55-74 years,male,294
Czech Republic,25-34 years,male,174
Czech Republic,15-24 years,male,139
Czech Republic,75+ years,female,63
Czech Republic,55-74 years,female,113
Czech Republic,35-54 years,female,120
Czech Republic,25-34 years,female,26
Czech Republic,15-24 years,female,25
Czech Republic,5-14 years,male,8
Czech Republic,5-14 years,female,4
Czech Republic,75+ years,male,142
Czech Republic,35-54 years,male,558
Czech Republic,55-74 years,male,285
Czech Republic,25-34 years,male,172
Czech Republic,15-24 years,male,133
Czech Republic,75+ years,female,57
Czech Republic,35-54 years,female,129
Czech Republic,55-74 years,female,92
Czech Republic,25-34 years,female,30
Czech Republic,15-24 years,female,19
Czech Republic,5-14 years,male,4
Czech Republic,5-14 years,female,2
Czech Republic,75+ years,male,140
Czech Republic,35-54 years,male,518
Czech Republic,55-74 years,male,282
Czech Republic,25-34 years,male,180
Czech Republic,75+ years,female,67
Czech Republic,15-24 years,male,91
Czech Republic,55-74 years,female,86
Czech Republic,35-54 years,female,108
Czech Republic,25-34 years,female,30
Czech Republic,15-24 years,female,26
Czech Republic,5-14 years,male,5
Czech Republic,5-14 years,female,1
Czech Republic,75+ years,male,158
Czech Republic,35-54 years,male,572
Czech Republic,55-74 years,male,307
Czech Republic,25-34 years,male,206
Czech Republic,75+ years,female,74
Czech Republic,15-24 years,male,116
Czech Republic,35-54 years,female,127
Czech Republic,55-74 years,female,99
Czech Republic,25-34 years,female,29
Czech Republic,15-24 years,female,22
Czech Republic,5-14 years,male,6
Czech Republic,5-14 years,female,3
Czech Republic,75+ years,male,121
Czech Republic,35-54 years,male,540
Czech Republic,55-74 years,male,317
Czech Republic,25-34 years,male,193
Czech Republic,15-24 years,male,110
Czech Republic,75+ years,female,62
Czech Republic,55-74 years,female,95
Czech Republic,35-54 years,female,99
Czech Republic,25-34 years,female,24
Czech Republic,15-24 years,female,14
Czech Republic,5-14 years,male,5
Czech Republic,5-14 years,female,3
Czech Republic,75+ years,male,113
Czech Republic,35-54 years,male,516
Czech Republic,55-74 years,male,347
Czech Republic,25-34 years,male,208
Czech Republic,15-24 years,male,85
Czech Republic,75+ years,female,50
Czech Republic,35-54 years,female,109
Czech Republic,55-74 years,female,82
Czech Republic,25-34 years,female,33
Czech Republic,15-24 years,female,16
Czech Republic,5-14 years,male,4
Czech Republic,5-14 years,female,2
Czech Republic,75+ years,male,125
Czech Republic,35-54 years,male,459
Czech Republic,55-74 years,male,299
Czech Republic,25-34 years,male,155
Czech Republic,15-24 years,male,101
Czech Republic,75+ years,female,41
Czech Republic,55-74 years,female,90
Czech Republic,35-54 years,female,95
Czech Republic,25-34 years,female,20
Czech Republic,15-24 years,female,12
Czech Republic,5-14 years,male,3
Czech Republic,5-14 years,female,0
Czech Republic,75+ years,male,109
Czech Republic,55-74 years,male,322
Czech Republic,35-54 years,male,440
Czech Republic,25-34 years,male,176
Czech Republic,15-24 years,male,100
Czech Republic,75+ years,female,49
Czech Republic,55-74 years,female,72
Czech Republic,35-54 years,female,73
Czech Republic,25-34 years,female,21
Czech Republic,15-24 years,female,15
Czech Republic,5-14 years,male,2
Czech Republic,5-14 years,female,0
Czech Republic,75+ years,male,137
Czech Republic,35-54 years,male,434
Czech Republic,55-74 years,male,291
Czech Republic,25-34 years,male,162
Czech Republic,15-24 years,male,96
Czech Republic,75+ years,female,37
Czech Republic,55-74 years,female,84
Czech Republic,35-54 years,female,88
Czech Republic,25-34 years,female,32
Czech Republic,15-24 years,female,14
Czech Republic,5-14 years,male,3
Czech Republic,5-14 years,female,1
Czech Republic,75+ years,male,135
Czech Republic,35-54 years,male,476
Czech Republic,55-74 years,male,337
Czech Republic,25-34 years,male,199
Czech Republic,15-24 years,male,81
Czech Republic,75+ years,female,42
Czech Republic,55-74 years,female,78
Czech Republic,35-54 years,female,79
Czech Republic,15-24 years,female,16
Czech Republic,25-34 years,female,18
Czech Republic,5-14 years,male,2
Czech Republic,5-14 years,female,1
Czech Republic,75+ years,male,115
Czech Republic,55-74 years,male,394
Czech Republic,35-54 years,male,473
Czech Republic,25-34 years,male,168
Czech Republic,15-24 years,male,94
Czech Republic,75+ years,female,40
Czech Republic,55-74 years,female,84
Czech Republic,35-54 years,female,87
Czech Republic,25-34 years,female,26
Czech Republic,15-24 years,female,20
Czech Republic,5-14 years,male,1
Czech Republic,5-14 years,female,0
Czech Republic,75+ years,male,118
Czech Republic,55-74 years,male,424
Czech Republic,35-54 years,male,500
Czech Republic,25-34 years,male,173
Czech Republic,15-24 years,male,120
Czech Republic,75+ years,female,43
Czech Republic,35-54 years,female,86
Czech Republic,55-74 years,female,77
Czech Republic,25-34 years,female,28
Czech Republic,15-24 years,female,19
Czech Republic,5-14 years,male,2
Czech Republic,5-14 years,female,0
Czech Republic,75+ years,male,146
Czech Republic,55-74 years,male,430
Czech Republic,35-54 years,male,538
Czech Republic,25-34 years,male,179
Czech Republic,15-24 years,male,84
Czech Republic,75+ years,female,45
Czech Republic,55-74 years,female,106
Czech Republic,35-54 years,female,94
Czech Republic,25-34 years,female,22
Czech Republic,15-24 years,female,10
Czech Republic,5-14 years,male,3
Czech Republic,5-14 years,female,1
Czech Republic,75+ years,male,129
Czech Republic,55-74 years,male,399
Czech Republic,35-54 years,male,485
Czech Republic,25-34 years,male,168
Czech Republic,15-24 years,male,108
Czech Republic,75+ years,female,36
Czech Republic,35-54 years,female,108
Czech Republic,55-74 years,female,92
Czech Republic,25-34 years,female,30
Czech Republic,15-24 years,female,15
Czech Republic,5-14 years,male,5
Czech Republic,5-14 years,female,2
Czech Republic,75+ years,male,123
Czech Republic,55-74 years,male,364
Czech Republic,35-54 years,male,467
Czech Republic,25-34 years,male,157
Czech Republic,15-24 years,male,84
Czech Republic,75+ years,female,54
Czech Republic,55-74 years,female,107
Czech Republic,35-54 years,female,94
Czech Republic,25-34 years,female,26
Czech Republic,15-24 years,female,11
Czech Republic,5-14 years,female,1
Czech Republic,5-14 years,male,1
Czech Republic,75+ years,male,145
Czech Republic,55-74 years,male,373
Czech Republic,35-54 years,male,404
Czech Republic,25-34 years,male,151
Czech Republic,15-24 years,male,58
Czech Republic,75+ years,female,44
Czech Republic,55-74 years,female,80
Czech Republic,35-54 years,female,86
Czech Republic,15-24 years,female,19
Czech Republic,25-34 years,female,20
Czech Republic,5-14 years,female,5
Czech Republic,5-14 years,male,2
Czech Republic,75+ years,male,140
Czech Republic,55-74 years,male,319
Czech Republic,35-54 years,male,386
Czech Republic,25-34 years,male,137
Czech Republic,15-24 years,male,78
Czech Republic,55-74 years,female,86
Czech Republic,35-54 years,female,91
Czech Republic,75+ years,female,25
Czech Republic,25-34 years,female,34
Czech Republic,15-24 years,female,22
