country,age,sex,suicides_no
Denmark,75+ years,male,89
Denmark,55-74 years,male,189
Denmark,35-54 years,male,279
Denmark,75+ years,female,70
Denmark,25-34 years,male,85
Denmark,55-74 years,female,100
Denmark,35-54 years,female,113
Denmark,15-24 years,male,37
Denmark,25-34 years,female,23
Denmark,15-24 years,female,13
Denmark,5-14 years,male,1
Denmark,5-14 years,female,0
Denmark,75+ years,male,85
Denmark,55-74 years,male,180
Denmark,75+ years,female,63
Denmark,35-54 years,male,204
Denmark,25-34 years,male,108
Denmark,55-74 years,female,102
Denmark,35-54 years,female,108
Denmark,15-24 years,male,47
Denmark,25-34 years,female,18
Denmark,15-24 years,female,8
Denmark,5-14 years,male,1
Denmark,5-14 years,female,0
Denmark,75+ years,male,95
Denmark,55-74 years,male,170
Denmark,35-54 years,male,236
Denmark,75+ years,female,47
Denmark,25-34 years,male,83
Denmark,35-54 years,female,115
Denmark,55-74 years,female,71
Denmark,15-24 years,male,46
Denmark,25-34 years,female,20
Denmark,15-24 years,female,8
Denmark,5-14 years,male,1
Denmark,5-14 years,female,0
Denmark,75+ years,male,94
Denmark,55-74 years,male,148
Denmark,35-54 years,male,191
Denmark,75+ years,female,46
Denmark,25-34 years,male,79
Denmark,55-74 years,female,88
Denmark,15-24 years,male,45
Denmark,35-54 years,female,84
Denmark,25-34 years,female,22
Denmark,15-24 years,female,17
Denmark,5-14 years,male,3
Denmark,5-14 years,female,0
Denmark,75+ years,male,74
Denmark,35-54 years,male,235
Denmark,55-74 years,male,118
Denmark,25-34 years,male,84
Denmark,75+ years,female,38
Denmark,55-74 years,female,74
Denmark,35-54 years,female,79
Denmark,15-24 years,male,34
Denmark,25-34 years,female,16
Denmark,15-24 years,female,9
Denmark,5-14 years,male,2
Denmark,5-14 years,female,0
Denmark,75+ years,male,64
Denmark,55-74 years,male,151
Denmark,35-54 years,male,214
Denmark,25-34 years,male,91
Denmark,55-74 years,female,71
Denmark,15-24 years,male,40
Denmark,75+ years,female,26
Denmark,35-54 years,female,74
Denmark,25-34 years,female,21
Denmark,15-24 years,female,7
Denmark,5-14 years,male,3
Denmark,5-14 years,female,0
Denmark,75+ years,male,72
Denmark,55-74 years,male,142
Denmark,35-54 years,male,218
Denmark,75+ years,female,42
Denmark,25-34 years,male,61
Denmark,15-24 years,male,39
Denmark,55-74 years,female,54
Denmark,35-54 years,female,74
Denmark,25-34 years,female,16
Denmark,15-24 years,female,9
