country,age,sex,suicides_no
Ecuador,75+ years,male,8
Ecuador,25-34 years,male,70
Ecuador,55-74 years,male,33
Ecuador,15-24 years,male,104
Ecuador,35-54 years,male,57
Ecuador,15-24 years,female,58
Ecuador,25-34 years,female,31
Ecuador,75+ years,female,2
Ecuador,35-54 years,female,15
Ecuador,55-74 years,female,4
Ecuador,5-14 years,male,7
Ecuador,5-14 years,female,4
Ecuador,75+ years,male,6
Ecuador,25-34 years,male,67
Ecuador,55-74 years,male,28
Ecuador,15-24 years,male,87
Ecuador,15-24 years,female,74
Ecuador,75+ years,female,4
Ecuador,35-54 years,male,52
Ecuador,25-34 years,female,28
Ecuador,55-74 years,female,7
Ecuador,35-54 years,female,12
Ecuador,5-14 years,female,6
Ecuador,5-14 years,male,6
Ecuador,75+ years,male,6
Ecuador,25-34 years,male,74
Ecuador,35-54 years,male,73
Ecuador,15-24 years,female,79
Ecuador,15-24 years,male,78
Ecuador,55-74 years,male,20
Ecuador,25-34 years,female,26
Ecuador,35-54 years,female,16
Ecuador,75+ years,female,1
Ecuador,55-74 years,female,5
Ecuador,5-14 years,male,8
Ecuador,5-14 years,female,4
Ecuador,25-34 years,male,93
Ecuador,55-74 years,male,41
Ecuador,75+ years,male,6
Ecuador,15-24 years,male,107
Ecuador,35-54 years,male,73
Ecuador,15-24 years,female,73
Ecuador,25-34 years,female,28
Ecuador,35-54 years,female,28
Ecuador,75+ years,female,2
Ecuador,55-74 years,female,6
Ecuador,5-14 years,female,5
Ecuador,5-14 years,male,4
Ecuador,75+ years,male,10
Ecuador,25-34 years,male,76
Ecuador,15-24 years,female,89
Ecuador,35-54 years,male,71
Ecuador,55-74 years,male,26
Ecuador,15-24 years,male,77
Ecuador,25-34 years,female,39
Ecuador,75+ years,female,3
Ecuador,35-54 years,female,23
Ecuador,55-74 years,female,5
Ecuador,5-14 years,male,7
Ecuador,5-14 years,female,5
Ecuador,25-34 years,male,89
Ecuador,15-24 years,male,97
Ecuador,55-74 years,male,30
Ecuador,15-24 years,female,84
Ecuador,35-54 years,male,70
Ecuador,25-34 years,female,42
Ecuador,75+ years,male,3
Ecuador,75+ years,female,2
Ecuador,35-54 years,female,17
Ecuador,55-74 years,female,3
Ecuador,5-14 years,male,6
Ecuador,5-14 years,female,5
Ecuador,15-24 years,female,117
Ecuador,55-74 years,male,37
Ecuador,15-24 years,male,107
Ecuador,35-54 years,male,83
Ecuador,25-34 years,male,70
Ecuador,75+ years,male,5
Ecuador,25-34 years,female,35
Ecuador,55-74 years,female,9
Ecuador,35-54 years,female,18
Ecuador,75+ years,female,1
Ecuador,5-14 years,female,9
Ecuador,5-14 years,male,3
Ecuador,75+ years,male,12
Ecuador,25-34 years,male,91
Ecuador,55-74 years,male,40
Ecuador,15-24 years,male,114
Ecuador,15-24 years,female,92
Ecuador,35-54 years,male,69
Ecuador,25-34 years,female,40
Ecuador,75+ years,female,3
Ecuador,35-54 years,female,20
Ecuador,5-14 years,female,13
Ecuador,55-74 years,female,4
Ecuador,5-14 years,male,7
Ecuador,15-24 years,female,131
Ecuador,25-34 years,male,102
Ecuador,55-74 years,male,46
Ecuador,15-24 years,male,105
Ecuador,35-54 years,male,89
Ecuador,25-34 years,female,40
Ecuador,75+ years,male,3
Ecuador,35-54 years,female,32
Ecuador,75+ years,female,2
Ecuador,55-74 years,female,8
Ecuador,5-14 years,female,9
Ecuador,5-14 years,male,7
Ecuador,75+ years,male,10
Ecuador,25-34 years,male,96
Ecuador,35-54 years,male,96
Ecuador,55-74 years,male,36
Ecuador,15-24 years,female,95
Ecuador,15-24 years,male,91
Ecuador,25-34 years,female,39
Ecuador,35-54 years,female,21
Ecuador,75+ years,female,1
Ecuador,5-14 years,female,12
Ecuador,5-14 years,male,12
Ecuador,55-74 years,female,3
Ecuador,25-34 years,male,97
Ecuador,15-24 years,male,113
Ecuador,55-74 years,male,41
Ecuador,35-54 years,male,101
Ecuador,75+ years,male,8
Ecuador,15-24 years,female,95
Ecuador,25-34 years,female,43
Ecuador,35-54 years,female,24
Ecuador,55-74 years,female,7
Ecuador,75+ years,female,1
Ecuador,5-14 years,female,10
Ecuador,5-14 years,male,6
Ecuador,55-74 years,male,53
Ecuador,75+ years,male,11
Ecuador,25-34 years,male,111
Ecuador,15-24 years,male,126
Ecuador,15-24 years,female,102
Ecuador,35-54 years,male,88
Ecuador,25-34 years,female,46
Ecuador,55-74 years,female,9
Ecuador,35-54 years,female,21
Ecuador,75+ years,female,2
Ecuador,5-14 years,female,17
Ecuador,5-14 years,male,7
Ecuador,25-34 years,male,109
Ecuador,15-24 years,male,124
Ecuador,75+ years,male,9
Ecuador,35-54 years,male,99
Ecuador,15-24 years,female,101
Ecuador,55-74 years,male,35
Ecuador,25-34 years,female,33
Ecuador,35-54 years,female,24
Ecuador,5-14 years,female,24
Ecuador,55-74 years,female,6
Ecuador,5-14 years,male,14
Ecuador,75+ years,female,1
Ecuador,25-34 years,male,113
Ecuador,15-24 years,male,122
Ecuador,15-24 years,female,102
Ecuador,75+ years,male,8
Ecuador,35-54 years,male,87
Ecuador,55-74 years,male,29
Ecuador,25-34 years,female,29
Ecuador,75+ years,female,3
Ecuador,35-54 years,female,24
Ecuador,5-14 years,male,14
Ecuador,5-14 years,female,12
Ecuador,55-74 years,female,3
Ecuador,75+ years,male,13
Ecuador,15-24 years,male,138
Ecuador,25-34 years,male,103
Ecuador,55-74 years,male,45
Ecuador,35-54 years,male,105
Ecuador,15-24 years,female,96
Ecuador,25-34 years,female,37
Ecuador,35-54 years,female,27
Ecuador,55-74 years,female,11
Ecuador,5-14 years,male,22
Ecuador,5-14 years,female,18
Ecuador,75+ years,female,1
Ecuador,15-24 years,male,132
Ecuador,25-34 years,male,84
Ecuador,35-54 years,male,101
Ecuador,75+ years,male,8
Ecuador,55-74 years,male,30
Ecuador,15-24 years,female,73
Ecuador,25-34 years,female,45
Ecuador,35-54 years,female,23
Ecuador,55-74 years,female,9
Ecuador,5-14 years,male,16
Ecuador,5-14 years,female,12
Ecuador,75+ years,female,1
Ecuador,75+ years,male,15
Ecuador,15-24 years,male,130
Ecuador,25-34 years,male,101
Ecuador,35-54 years,male,99
Ecuador,55-74 years,male,39
Ecuador,15-24 years,female,86
Ecuador,25-34 years,female,38
Ecuador,35-54 years,female,32
Ecuador,55-74 years,female,10
Ecuador,75+ years,female,2
Ecuador,5-14 years,female,17
Ecuador,5-14 years,male,15
Ecuador,15-24 years,male,132
Ecuador,75+ years,male,12
Ecuador,25-34 years,male,89
Ecuador,35-54 years,male,109
Ecuador,55-74 years,male,39
Ecuador,15-24 years,female,91
Ecuador,25-34 years,female,31
Ecuador,35-54 years,female,27
Ecuador,5-14 years,female,23
Ecuador,55-74 years,female,7
Ecuador,5-14 years,male,16
Ecuador,75+ years,female,1
Ecuador,35-54 years,male,148
Ecuador,15-24 years,male,138
Ecuador,15-24 years,female,120
Ecuador,25-34 years,male,96
Ecuador,55-74 years,male,49
Ecuador,75+ years,male,11
Ecuador,25-34 years,female,47
Ecuador,75+ years,female,5
Ecuador,35-54 years,female,23
Ecuador,5-14 years,female,20
Ecuador,55-74 years,female,7
Ecuador,5-14 years,male,11
Ecuador,75+ years,male,17
Ecuador,25-34 years,male,137
Ecuador,15-24 years,male,165
Ecuador,55-74 years,male,68
Ecuador,15-24 years,female,127
Ecuador,35-54 years,male,138
Ecuador,25-34 years,female,36
Ecuador,75+ years,female,5
Ecuador,5-14 years,female,30
Ecuador,5-14 years,male,30
Ecuador,35-54 years,female,27
Ecuador,55-74 years,female,11
Ecuador,75+ years,male,23
Ecuador,15-24 years,male,206
Ecuador,25-34 years,male,150
Ecuador,35-54 years,male,197
Ecuador,55-74 years,male,73
Ecuador,15-24 years,female,140
Ecuador,25-34 years,female,44
Ecuador,35-54 years,female,35
Ecuador,5-14 years,male,34
Ecuador,55-74 years,female,13
Ecuador,5-14 years,female,26
Ecuador,75+ years,female,2
Ecuador,75+ years,male,23
Ecuador,25-34 years,male,154
Ecuador,55-74 years,male,74
Ecuador,15-24 years,female,153
Ecuador,15-24 years,male,156
Ecuador,35-54 years,male,166
Ecuador,25-34 years,female,49
Ecuador,35-54 years,female,46
Ecuador,55-74 years,female,18
Ecuador,75+ years,female,4
Ecuador,5-14 years,female,28
Ecuador,5-14 years,male,29
Ecuador,15-24 years,male,235
Ecuador,55-74 years,male,92
Ecuador,25-34 years,male,157
Ecuador,75+ years,male,18
Ecuador,35-54 years,male,184
Ecuador,15-24 years,female,135
Ecuador,25-34 years,female,53
Ecuador,5-14 years,male,45
Ecuador,55-74 years,female,19
Ecuador,35-54 years,female,42
Ecuador,5-14 years,female,23
Ecuador,75+ years,female,2
Ecuador,75+ years,male,31
Ecuador,15-24 years,male,209
Ecuador,25-34 years,male,170
Ecuador,55-74 years,male,81
Ecuador,35-54 years,male,158
Ecuador,15-24 years,female,107
Ecuador,25-34 years,female,48
Ecuador,55-74 years,female,24
Ecuador,35-54 years,female,53
Ecuador,5-14 years,male,24
Ecuador,5-14 years,female,22
Ecuador,75+ years,female,1
Ecuador,25-34 years,male,179
Ecuador,55-74 years,male,103
Ecuador,15-24 years,male,214
Ecuador,75+ years,male,20
Ecuador,35-54 years,male,180
Ecuador,15-24 years,female,100
Ecuador,75+ years,female,9
Ecuador,25-34 years,female,48
Ecuador,35-54 years,female,48
Ecuador,55-74 years,female,20
Ecuador,5-14 years,male,23
Ecuador,5-14 years,female,20
Ecuador,15-24 years,male,214
Ecuador,25-34 years,male,171
Ecuador,35-54 years,male,165
Ecuador,55-74 years,male,68
Ecuador,75+ years,male,14
Ecuador,15-24 years,female,113
Ecuador,25-34 years,female,60
Ecuador,75+ years,female,6
Ecuador,55-74 years,female,18
Ecuador,35-54 years,female,39
Ecuador,5-14 years,male,26
Ecuador,5-14 years,female,18
Ecuador,15-24 years,male,200
