country,age,sex,suicides_no
El Salvador,75+ years,male,13
El Salvador,25-34 years,male,119
El Salvador,15-24 years,male,127
El Salvador,15-24 years,female,112
El Salvador,35-54 years,male,81
El Salvador,55-74 years,male,34
El Salvador,25-34 years,female,43
El Salvador,35-54 years,female,24
El Salvador,55-74 years,female,9
El Salvador,75+ years,female,1
El Salvador,5-14 years,female,7
El Salvador,5-14 years,male,1
El Salvador,75+ years,male,18
El Salvador,25-34 years,male,88
El Salvador,15-24 years,male,98
El Salvador,55-74 years,male,39
El Salvador,15-24 years,female,97
El Salvador,35-54 years,male,76
El Salvador,25-34 years,female,28
El Salvador,35-54 years,female,17
El Salvador,75+ years,female,1
El Salvador,55-74 years,female,3
El Salvador,5-14 years,female,8
El Salvador,5-14 years,male,1
El Salvador,25-34 years,male,72
El Salvador,55-74 years,male,36
El Salvador,35-54 years,male,71
El Salvador,15-24 years,female,87
El Salvador,15-24 years,male,83
El Salvador,75+ years,male,4
El Salvador,25-34 years,female,34
El Salvador,75+ years,female,2
El Salvador,35-54 years,female,16
El Salvador,5-14 years,female,6
El Salvador,55-74 years,female,2
El Salvador,5-14 years,male,6
El Salvador,25-34 years,male,83
El Salvador,75+ years,male,6
El Salvador,15-24 years,male,113
El Salvador,15-24 years,female,81
El Salvador,55-74 years,male,23
El Salvador,35-54 years,male,43
El Salvador,75+ years,female,4
El Salvador,25-34 years,female,29
El Salvador,35-54 years,female,19
El Salvador,55-74 years,female,6
El Salvador,5-14 years,female,13
El Salvador,5-14 years,male,4
El Salvador,25-34 years,male,124
El Salvador,15-24 years,male,171
El Salvador,75+ years,male,9
El Salvador,15-24 years,female,114
El Salvador,35-54 years,male,90
El Salvador,25-34 years,female,42
El Salvador,55-74 years,male,20
El Salvador,35-54 years,female,23
El Salvador,5-14 years,female,16
El Salvador,55-74 years,female,6
El Salvador,75+ years,female,1
El Salvador,5-14 years,male,4
El Salvador,25-34 years,male,110
El Salvador,75+ years,male,10
El Salvador,15-24 years,male,128
El Salvador,15-24 years,female,112
El Salvador,35-54 years,male,82
El Salvador,55-74 years,male,40
El Salvador,25-34 years,female,22
El Salvador,35-54 years,female,20
El Salvador,55-74 years,female,7
El Salvador,5-14 years,female,7
El Salvador,5-14 years,male,2
El Salvador,75+ years,female,0
El Salvador,25-34 years,male,93
El Salvador,15-24 years,male,128
El Salvador,35-54 years,male,106
El Salvador,15-24 years,female,109
El Salvador,55-74 years,male,47
El Salvador,75+ years,male,4
El Salvador,25-34 years,female,39
El Salvador,35-54 years,female,28
El Salvador,75+ years,female,2
El Salvador,5-14 years,female,15
El Salvador,55-74 years,female,5
El Salvador,5-14 years,male,1
El Salvador,25-34 years,male,94
El Salvador,35-54 years,male,98
El Salvador,15-24 years,male,108
El Salvador,15-24 years,female,92
El Salvador,55-74 years,male,36
El Salvador,75+ years,male,5
El Salvador,25-34 years,female,35
