country,age,sex,suicides_no
Estonia,35-54 years,male,227
Estonia,75+ years,male,20
Estonia,55-74 years,male,119
Estonia,25-34 years,male,66
Estonia,75+ years,female,18
Estonia,55-74 years,female,53
Estonia,15-24 years,male,29
Estonia,35-54 years,female,41
Estonia,25-34 years,female,9
Estonia,15-24 years,female,7
Estonia,5-14 years,male,5
Estonia,5-14 years,female,0
Estonia,75+ years,male,22
Estonia,35-54 years,male,217
Estonia,55-74 years,male,100
Estonia,25-34 years,male,53
Estonia,75+ years,female,25
Estonia,15-24 years,male,37
Estonia,55-74 years,female,37
Estonia,35-54 years,female,40
Estonia,15-24 years,female,8
Estonia,5-14 years,male,4
Estonia,25-34 years,female,2
Estonia,5-14 years,female,0
Estonia,75+ years,male,20
Estonia,35-54 years,male,193
Estonia,55-74 years,male,117
Estonia,25-34 years,male,60
Estonia,15-24 years,male,36
Estonia,75+ years,female,15
Estonia,55-74 years,female,34
Estonia,35-54 years,female,29
Estonia,25-34 years,female,7
Estonia,15-24 years,female,6
Estonia,5-14 years,male,5
Estonia,5-14 years,female,0
Estonia,55-74 years,male,123
Estonia,35-54 years,male,166
Estonia,75+ years,male,11
Estonia,25-34 years,male,55
Estonia,15-24 years,male,36
Estonia,75+ years,female,14
Estonia,35-54 years,female,32
Estonia,55-74 years,female,25
Estonia,15-24 years,female,5
Estonia,5-14 years,male,5
Estonia,25-34 years,female,4
Estonia,5-14 years,female,1
Estonia,75+ years,male,23
Estonia,55-74 years,male,101
Estonia,35-54 years,male,148
Estonia,25-34 years,male,54
Estonia,15-24 years,male,47
Estonia,75+ years,female,22
Estonia,35-54 years,female,35
Estonia,55-74 years,female,26
Estonia,15-24 years,female,7
Estonia,25-34 years,female,3
Estonia,5-14 years,male,2
Estonia,5-14 years,female,0
Estonia,75+ years,male,19
Estonia,35-54 years,male,136
Estonia,55-74 years,male,66
Estonia,25-34 years,male,38
Estonia,15-24 years,male,30
Estonia,55-74 years,female,38
Estonia,75+ years,female,10
Estonia,25-34 years,female,11
Estonia,35-54 years,female,22
Estonia,15-24 years,female,6
Estonia,5-14 years,female,1
Estonia,5-14 years,male,0
Estonia,35-54 years,male,135
Estonia,55-74 years,male,84
Estonia,75+ years,male,12
Estonia,25-34 years,male,44
Estonia,75+ years,female,26
Estonia,15-24 years,male,36
Estonia,55-74 years,female,22
Estonia,35-54 years,female,24
Estonia,25-34 years,female,8
Estonia,15-24 years,female,6
Estonia,5-14 years,male,4
Estonia,5-14 years,female,0
Estonia,75+ years,male,17
Estonia,55-74 years,male,74
Estonia,35-54 years,male,117
Estonia,25-34 years,male,53
Estonia,15-24 years,male,34
Estonia,75+ years,female,14
Estonia,35-54 years,female,28
Estonia,55-74 years,female,19
Estonia,25-34 years,female,6
Estonia,5-14 years,male,4
Estonia,15-24 years,female,4
Estonia,5-14 years,female,1
Estonia,75+ years,male,19
Estonia,35-54 years,male,116
Estonia,55-74 years,male,69
Estonia,25-34 years,male,38
Estonia,15-24 years,male,31
Estonia,75+ years,female,16
Estonia,35-54 years,female,21
Estonia,55-74 years,female,17
Estonia,15-24 years,female,6
Estonia,25-34 years,female,5
Estonia,5-14 years,male,3
Estonia,5-14 years,female,1
Estonia,55-74 years,male,73
Estonia,35-54 years,male,104
Estonia,75+ years,male,13
Estonia,25-34 years,male,43
Estonia,15-24 years,male,31
Estonia,75+ years,female,11
Estonia,55-74 years,female,22
Estonia,25-34 years,female,7
Estonia,15-24 years,female,6
Estonia,35-54 years,female,12
Estonia,5-14 years,female,1
Estonia,5-14 years,male,0
Estonia,35-54 years,male,97
Estonia,75+ years,male,13
Estonia,55-74 years,male,50
Estonia,25-34 years,male,32
Estonia,15-24 years,male,27
Estonia,75+ years,female,15
Estonia,55-74 years,female,18
Estonia,35-54 years,female,12
Estonia,15-24 years,female,5
Estonia,25-34 years,female,3
Estonia,5-14 years,male,1
Estonia,5-14 years,female,0
Estonia,75+ years,male,14
Estonia,55-74 years,male,56
Estonia,35-54 years,male,73
Estonia,75+ years,female,18
Estonia,15-24 years,male,26
Estonia,25-34 years,male,21
Estonia,55-74 years,female,17
Estonia,35-54 years,female,12
Estonia,15-24 years,female,5
Estonia,25-34 years,female,4
Estonia,5-14 years,male,1
Estonia,5-14 years,female,0
Estonia,75+ years,male,21
Estonia,55-74 years,male,58
Estonia,25-34 years,male,39
Estonia,35-54 years,male,66
Estonia,15-24 years,male,21
Estonia,75+ years,female,13
Estonia,55-74 years,female,17
Estonia,35-54 years,female,11
Estonia,15-24 years,female,3
Estonia,25-34 years,female,2
Estonia,5-14 years,female,0
Estonia,5-14 years,male,0
Estonia,75+ years,male,18
Estonia,55-74 years,male,47
Estonia,35-54 years,male,71
Estonia,15-24 years,male,29
Estonia,25-34 years,male,23
Estonia,75+ years,female,12
Estonia,55-74 years,female,15
Estonia,35-54 years,female,16
Estonia,15-24 years,female,5
Estonia,25-34 years,female,4
Estonia,5-14 years,female,1
Estonia,5-14 years,male,1
Estonia,55-74 years,male,66
Estonia,35-54 years,male,88
Estonia,75+ years,male,13
Estonia,25-34 years,male,30
Estonia,15-24 years,male,23
Estonia,75+ years,female,16
Estonia,55-74 years,female,14
Estonia,35-54 years,female,14
Estonia,25-34 years,female,3
Estonia,15-24 years,female,2
Estonia,5-14 years,female,0
Estonia,5-14 years,male,0
Estonia,75+ years,male,18
Estonia,55-74 years,male,54
Estonia,35-54 years,male,61
Estonia,25-34 years,male,28
Estonia,15-24 years,male,20
Estonia,75+ years,female,12
Estonia,55-74 years,female,14
Estonia,25-34 years,female,5
Estonia,35-54 years,female,9
Estonia,15-24 years,female,2
Estonia,5-14 years,female,0
Estonia,5-14 years,male,0
Estonia,75+ years,male,21
Estonia,55-74 years,male,57
Estonia,35-54 years,male,58
Estonia,25-34 years,male,23
Estonia,15-24 years,male,19
Estonia,75+ years,female,12
Estonia,35-54 years,female,15
Estonia,55-74 years,female,9
Estonia,15-24 years,female,3
Estonia,25-34 years,female,1
Estonia,5-14 years,female,0
Estonia,5-14 years,male,0
Estonia,75+ years,male,20
Estonia,55-74 years,male,59
Estonia,35-54 years,male,65
Estonia,25-34 years,male,30
Estonia,75+ years,female,18
Estonia,15-24 years,male,14
Estonia,55-74 years,female,17
Estonia,35-54 years,female,7
Estonia,25-34 years,female,3
Estonia,5-14 years,male,2
Estonia,15-24 years,female,2
Estonia,5-14 years,female,0
Estonia,75+ years,male,23
Estonia,55-74 years,male,58
Estonia,35-54 years,male,52
Estonia,25-34 years,male,22
Estonia,75+ years,female,18
Estonia,15-24 years,male,15
Estonia,35-54 years,female,13
Estonia,55-74 years,female,12
Estonia,15-24 years,female,2
Estonia,25-34 years,female,2
Estonia,5-14 years,male,1
Estonia,5-14 years,female,0
Estonia,75+ years,male,26
Estonia,55-74 years,male,50
Estonia,25-34 years,male,39
Estonia,35-54 years,male,57
Estonia,15-24 years,male,19
Estonia,75+ years,female,13
Estonia,35-54 years,female,16
Estonia,25-34 years,female,8
Estonia,55-74 years,female,10
Estonia,5-14 years,male,2
Estonia,15-24 years,female,1
Estonia,5-14 years,female,0
Estonia,75+ years,male,20
Estonia,55-74 years,male,44
Estonia,15-24 years,male,21
Estonia,35-54 years,male,48
Estonia,25-34 years,male,25
Estonia,75+ years,female,9
Estonia,55-74 years,female,12
Estonia,35-54 years,female,11
Estonia,25-34 years,female,2
Estonia,15-24 years,female,1
Estonia,5-14 years,female,1
Estonia,5-14 years,male,1
