country,age,sex,suicides_no
Fiji,55-74 years,male,4
Fiji,35-54 years,male,10
Fiji,15-24 years,male,8
Fiji,25-34 years,male,5
Fiji,15-24 years,female,5
Fiji,25-34 years,female,2
Fiji,55-74 years,female,1
Fiji,5-14 years,male,1
Fiji,35-54 years,female,0
Fiji,5-14 years,female,0
Fiji,75+ years,female,0
Fiji,75+ years,male,0
Fiji,75+ years,male,1
Fiji,75+ years,female,1
Fiji,55-74 years,male,5
Fiji,15-24 years,male,9
Fiji,25-34 years,female,5
Fiji,15-24 years,female,6
Fiji,25-34 years,male,4
Fiji,35-54 years,male,5
Fiji,35-54 years,female,3
Fiji,5-14 years,male,2
Fiji,5-14 years,female,1
Fiji,55-74 years,female,0
Fiji,55-74 years,male,2
Fiji,15-24 years,male,3
Fiji,25-34 years,female,2
Fiji,15-24 years,female,1
Fiji,35-54 years,female,1
Fiji,35-54 years,male,1
Fiji,5-14 years,female,0
Fiji,55-74 years,female,0
Fiji,75+ years,female,0
Fiji,25-34 years,male,0
Fiji,5-14 years,male,0
Fiji,75+ years,male,0
Fiji,75+ years,male,2
Fiji,55-74 years,male,5
Fiji,25-34 years,male,4
Fiji,15-24 years,female,4
Fiji,15-24 years,male,3
Fiji,55-74 years,female,1
Fiji,35-54 years,male,2
Fiji,25-34 years,female,1
Fiji,5-14 years,female,1
Fiji,35-54 years,female,1
Fiji,75+ years,female,0
Fiji,5-14 years,male,0
Fiji,75+ years,male,1
Fiji,35-54 years,male,9
Fiji,25-34 years,female,3
Fiji,25-34 years,male,3
Fiji,15-24 years,female,2
Fiji,55-74 years,male,1
Fiji,15-24 years,male,2
Fiji,35-54 years,female,1
Fiji,5-14 years,female,0
Fiji,55-74 years,female,0
Fiji,75+ years,female,0
Fiji,5-14 years,male,0
Fiji,15-24 years,female,5
Fiji,25-34 years,male,4
Fiji,35-54 years,male,6
Fiji,15-24 years,male,4
Fiji,5-14 years,female,2
Fiji,55-74 years,female,1
Fiji,5-14 years,male,1
Fiji,35-54 years,female,1
Fiji,25-34 years,female,0
Fiji,75+ years,female,0
Fiji,55-74 years,male,0
Fiji,75+ years,male,0
Fiji,55-74 years,male,3
Fiji,15-24 years,male,3
Fiji,25-34 years,female,2
Fiji,25-34 years,male,2
Fiji,35-54 years,male,2
Fiji,15-24 years,female,1
Fiji,35-54 years,female,0
Fiji,5-14 years,female,0
Fiji,55-74 years,female,0
Fiji,75+ years,female,0
Fiji,5-14 years,male,0
Fiji,75+ years,male,0
Fiji,25-34 years,male,9
Fiji,35-54 years,male,11
Fiji,35-54 years,female,5
Fiji,55-74 years,male,2
Fiji,15-24 years,female,3
Fiji,15-24 years,male,3
Fiji,25-34 years,female,2
Fiji,55-74 years,female,1
Fiji,5-14 years,female,1
Fiji,75+ years,female,0
Fiji,5-14 years,male,0
Fiji,75+ years,male,0
Fiji,75+ years,female,1
Fiji,35-54 years,male,8
Fiji,25-34 years,male,5
Fiji,55-74 years,male,3
Fiji,25-34 years,female,3
Fiji,15-24 years,male,3
Fiji,15-24 years,female,2
Fiji,55-74 years,female,1
Fiji,35-54 years,female,0
Fiji,5-14 years,female,0
Fiji,5-14 years,male,0
Fiji,75+ years,male,0
Fiji,75+ years,male,3
Fiji,25-34 years,male,10
Fiji,35-54 years,male,10
Fiji,55-74 years,male,3
Fiji,15-24 years,male,4
Fiji,55-74 years,female,2
Fiji,15-24 years,female,3
Fiji,35-54 years,female,2
Fiji,25-34 years,female,1
Fiji,5-14 years,female,0
Fiji,75+ years,female,0
Fiji,5-14 years,male,0
Fiji,75+ years,male,2
Fiji,75+ years,female,1
Fiji,15-24 years,male,7
Fiji,25-34 years,male,5
Fiji,35-54 years,male,6
Fiji,15-24 years,female,4
Fiji,55-74 years,male,2
Fiji,55-74 years,female,2
Fiji,25-34 years,female,2
Fiji,35-54 years,female,1
Fiji,5-14 years,female,0
Fiji,5-14 years,male,0
