country,age,sex,suicides_no
Finland,75+ years,male,57
Finland,35-54 years,male,422
Finland,55-74 years,male,225
Finland,25-34 years,male,222
Finland,15-24 years,male,135
Finland,55-74 years,female,99
Finland,35-54 years,female,122
Finland,25-34 years,female,44
Finland,15-24 years,female,26
Finland,75+ years,female,7
Finland,5-14 years,male,4
Finland,5-14 years,female,0
Finland,75+ years,male,54
Finland,35-54 years,male,458
Finland,25-34 years,male,238
Finland,55-74 years,male,218
Finland,15-24 years,male,137
Finland,35-54 years,female,124
Finland,55-74 years,female,89
Finland,75+ years,female,27
Finland,25-34 years,female,29
Finland,15-24 years,female,25
Finland,5-14 years,male,2
Finland,5-14 years,female,1
Finland,75+ years,male,72
Finland,35-54 years,male,439
Finland,55-74 years,male,231
Finland,25-34 years,male,203
Finland,15-24 years,male,170
Finland,35-54 years,female,127
Finland,55-74 years,female,86
Finland,75+ years,female,21
Finland,25-34 years,female,40
Finland,15-24 years,female,21
Finland,5-14 years,male,3
Finland,5-14 years,female,0
Finland,75+ years,male,77
Finland,35-54 years,male,483
Finland,25-34 years,male,250
Finland,55-74 years,male,210
Finland,15-24 years,male,169
Finland,55-74 years,female,92
Finland,35-54 years,female,124
Finland,25-34 years,female,48
Finland,15-24 years,female,35
Finland,75+ years,female,20
Finland,5-14 years,male,4
Finland,5-14 years,female,0
Finland,75+ years,male,67
Finland,25-34 years,male,257
Finland,35-54 years,male,489
Finland,55-74 years,male,235
Finland,15-24 years,male,139
Finland,35-54 years,female,134
Finland,55-74 years,female,82
Finland,75+ years,female,25
Finland,25-34 years,female,39
Finland,15-24 years,female,23
Finland,5-14 years,male,3
Finland,5-14 years,female,0
Finland,35-54 years,male,517
Finland,25-34 years,male,254
Finland,75+ years,male,56
Finland,55-74 years,male,211
Finland,15-24 years,male,115
Finland,35-54 years,female,132
Finland,55-74 years,female,71
Finland,25-34 years,female,46
Finland,75+ years,female,19
Finland,15-24 years,female,26
Finland,5-14 years,male,3
Finland,5-14 years,female,1
Finland,35-54 years,male,514
Finland,75+ years,male,59
Finland,25-34 years,male,215
Finland,55-74 years,male,208
Finland,15-24 years,male,107
Finland,35-54 years,female,138
Finland,55-74 years,female,80
Finland,25-34 years,female,49
Finland,75+ years,female,13
Finland,15-24 years,female,10
Finland,5-14 years,male,3
Finland,5-14 years,female,1
Finland,35-54 years,male,484
Finland,75+ years,male,53
Finland,25-34 years,male,195
Finland,55-74 years,male,199
Finland,15-24 years,male,147
Finland,35-54 years,female,156
Finland,55-74 years,female,68
Finland,25-34 years,female,39
Finland,75+ years,female,19
Finland,15-24 years,female,24
Finland,5-14 years,male,2
Finland,5-14 years,female,1
Finland,35-54 years,male,489
Finland,75+ years,male,49
Finland,55-74 years,male,226
Finland,25-34 years,male,194
Finland,15-24 years,male,118
Finland,35-54 years,female,138
Finland,55-74 years,female,76
Finland,25-34 years,female,48
Finland,75+ years,female,20
Finland,15-24 years,female,26
Finland,5-14 years,male,4
Finland,5-14 years,female,0
Finland,35-54 years,male,439
Finland,25-34 years,male,183
Finland,75+ years,male,44
Finland,55-74 years,male,186
Finland,15-24 years,male,110
Finland,35-54 years,female,123
Finland,55-74 years,female,76
Finland,25-34 years,female,44
Finland,75+ years,female,15
Finland,15-24 years,female,21
Finland,5-14 years,female,3
Finland,5-14 years,male,3
Finland,35-54 years,male,473
Finland,75+ years,male,53
Finland,25-34 years,male,179
Finland,55-74 years,male,204
Finland,15-24 years,male,128
Finland,35-54 years,female,133
Finland,55-74 years,female,65
Finland,25-34 years,female,43
Finland,75+ years,female,19
Finland,15-24 years,female,22
Finland,5-14 years,female,2
Finland,5-14 years,male,1
Finland,75+ years,male,64
Finland,35-54 years,male,413
Finland,25-34 years,male,172
Finland,55-74 years,male,212
Finland,15-24 years,male,98
Finland,55-74 years,female,77
Finland,35-54 years,female,105
Finland,25-34 years,female,38
Finland,75+ years,female,19
Finland,15-24 years,female,25
Finland,5-14 years,male,3
Finland,5-14 years,female,2
Finland,75+ years,male,52
Finland,35-54 years,male,408
Finland,25-34 years,male,167
Finland,55-74 years,male,204
Finland,15-24 years,male,122
Finland,35-54 years,female,118
Finland,55-74 years,female,68
Finland,25-34 years,female,36
Finland,15-24 years,female,19
Finland,75+ years,female,11
Finland,5-14 years,female,1
Finland,5-14 years,male,1
Finland,35-54 years,male,402
Finland,25-34 years,male,156
Finland,75+ years,male,44
Finland,55-74 years,male,166
Finland,15-24 years,male,105
Finland,55-74 years,female,84
Finland,35-54 years,female,122
Finland,25-34 years,female,41
Finland,15-24 years,female,26
Finland,75+ years,female,17
Finland,5-14 years,female,2
Finland,5-14 years,male,0
Finland,35-54 years,male,429
Finland,25-34 years,male,156
Finland,55-74 years,male,207
Finland,75+ years,male,44
Finland,15-24 years,male,93
Finland,35-54 years,female,130
Finland,55-74 years,female,72
Finland,75+ years,female,23
Finland,25-34 years,female,23
Finland,15-24 years,female,22
Finland,5-14 years,male,4
Finland,5-14 years,female,1
Finland,75+ years,male,57
Finland,35-54 years,male,339
Finland,55-74 years,male,204
Finland,25-34 years,male,124
Finland,15-24 years,male,97
Finland,35-54 years,female,125
Finland,55-74 years,female,75
Finland,25-34 years,female,30
Finland,75+ years,female,18
Finland,15-24 years,female,23
Finland,5-14 years,male,3
Finland,5-14 years,female,0
Finland,35-54 years,male,376
Finland,75+ years,male,52
Finland,55-74 years,male,176
Finland,25-34 years,male,111
Finland,15-24 years,male,95
Finland,35-54 years,female,112
Finland,55-74 years,female,72
Finland,75+ years,female,22
Finland,15-24 years,female,27
Finland,25-34 years,female,25
Finland,5-14 years,male,5
Finland,5-14 years,female,2
Finland,55-74 years,male,220
Finland,35-54 years,male,310
Finland,75+ years,male,49
Finland,25-34 years,male,119
Finland,15-24 years,male,110
Finland,35-54 years,female,116
Finland,15-24 years,female,31
Finland,25-34 years,female,30
Finland,55-74 years,female,54
Finland,75+ years,female,20
Finland,5-14 years,male,4
Finland,5-14 years,female,1
Finland,75+ years,male,64
Finland,35-54 years,male,299
Finland,55-74 years,male,194
Finland,25-34 years,male,99
Finland,15-24 years,male,68
Finland,35-54 years,female,109
Finland,55-74 years,female,74
Finland,15-24 years,female,33
Finland,25-34 years,female,32
Finland,75+ years,female,20
Finland,5-14 years,female,2
Finland,5-14 years,male,0
Finland,35-54 years,male,310
Finland,55-74 years,male,225
Finland,25-34 years,male,113
Finland,75+ years,male,44
Finland,15-24 years,male,108
Finland,35-54 years,female,104
Finland,55-74 years,female,78
Finland,25-34 years,female,33
Finland,75+ years,female,24
Finland,15-24 years,female,19
Finland,5-14 years,male,3
Finland,5-14 years,female,1
Finland,75+ years,male,58
Finland,35-54 years,male,297
Finland,55-74 years,male,203
Finland,25-34 years,male,101
Finland,15-24 years,male,89
Finland,55-74 years,female,83
Finland,35-54 years,female,89
Finland,15-24 years,female,31
Finland,25-34 years,female,24
Finland,75+ years,female,17
Finland,5-14 years,male,3
Finland,5-14 years,female,0
Finland,35-54 years,male,331
Finland,55-74 years,male,225
Finland,25-34 years,male,116
Finland,75+ years,male,46
Finland,15-24 years,male,81
Finland,35-54 years,female,91
Finland,55-74 years,female,68
Finland,25-34 years,female,32
Finland,15-24 years,female,26
Finland,75+ years,female,13
Finland,5-14 years,female,2
Finland,5-14 years,male,2
Finland,35-54 years,male,293
Finland,75+ years,male,57
Finland,25-34 years,male,121
Finland,55-74 years,male,201
Finland,15-24 years,male,89
Finland,35-54 years,female,100
Finland,55-74 years,female,84
Finland,25-34 years,female,40
Finland,15-24 years,female,28
Finland,75+ years,female,20
Finland,5-14 years,female,1
Finland,5-14 years,male,0
Finland,25-34 years,male,119
Finland,75+ years,male,52
Finland,35-54 years,male,241
Finland,55-74 years,male,200
Finland,15-24 years,male,105
Finland,25-34 years,female,37
Finland,35-54 years,female,77
Finland,55-74 years,female,69
Finland,15-24 years,female,30
Finland,75+ years,female,23
Finland,5-14 years,male,1
Finland,5-14 years,female,0
Finland,75+ years,male,64
Finland,35-54 years,male,259
Finland,55-74 years,male,191
Finland,25-34 years,male,105
Finland,15-24 years,male,89
Finland,55-74 years,female,73
Finland,35-54 years,female,67
Finland,15-24 years,female,27
Finland,25-34 years,female,26
Finland,75+ years,female,9
Finland,5-14 years,male,2
Finland,5-14 years,female,0
Finland,35-54 years,male,235
Finland,55-74 years,male,195
Finland,75+ years,male,49
Finland,25-34 years,male,91
Finland,15-24 years,male,85
Finland,55-74 years,female,87
Finland,15-24 years,female,32
Finland,35-54 years,female,65
Finland,25-34 years,female,27
Finland,75+ years,female,7
Finland,5-14 years,female,0
Finland,5-14 years,male,0
Finland,25-34 years,male,131
Finland,55-74 years,male,216
Finland,75+ years,male,56
Finland,35-54 years,male,194
Finland,15-24 years,male,68
Finland,35-54 years,female,72
Finland,55-74 years,female,69
Finland,15-24 years,female,31
Finland,25-34 years,female,31
Finland,75+ years,female,17
Finland,5-14 years,female,1
Finland,5-14 years,male,1
Finland,75+ years,male,61
Finland,25-34 years,male,110
Finland,35-54 years,male,207
Finland,55-74 years,male,157
