country,age,sex,suicides_no
France,75+ years,male,1522
France,55-74 years,male,2363
France,35-54 years,male,2752
France,25-34 years,male,1492
France,75+ years,female,670
France,55-74 years,female,1218
France,15-24 years,male,740
France,35-54 years,female,1065
France,25-34 years,female,447
France,15-24 years,female,197
France,5-14 years,male,29
France,5-14 years,female,6
France,75+ years,male,1465
France,55-74 years,male,2382
France,35-54 years,male,2847
France,25-34 years,male,1448
France,75+ years,female,694
France,55-74 years,female,1203
France,35-54 years,female,1137
France,15-24 years,male,695
France,25-34 years,female,424
France,15-24 years,female,193
France,5-14 years,male,35
France,5-14 years,female,6
France,75+ years,male,1491
France,55-74 years,male,2198
France,35-54 years,male,2855
France,25-34 years,male,1369
France,75+ years,female,730
France,55-74 years,female,1122
France,35-54 years,female,1124
France,15-24 years,male,641
France,25-34 years,female,414
France,15-24 years,female,175
France,5-14 years,male,33
France,5-14 years,female,9
France,75+ years,male,1470
France,55-74 years,male,2012
France,35-54 years,male,2752
France,25-34 years,male,1371
France,75+ years,female,652
France,55-74 years,female,1063
France,35-54 years,female,1087
France,15-24 years,male,606
France,25-34 years,female,380
France,15-24 years,female,178
France,5-14 years,male,23
France,5-14 years,female,5
France,75+ years,male,1476
France,55-74 years,male,2066
France,35-54 years,male,2731
France,25-34 years,male,1366
France,75+ years,female,677
France,55-74 years,female,1063
France,15-24 years,male,681
France,35-54 years,female,1043
France,25-34 years,female,391
France,15-24 years,female,190
France,5-14 years,male,23
France,5-14 years,female,8
France,75+ years,male,1441
France,55-74 years,male,1986
France,35-54 years,male,2816
France,25-34 years,male,1314
France,75+ years,female,661
France,55-74 years,female,1002
France,15-24 years,male,607
France,35-54 years,female,981
France,25-34 years,female,392
France,15-24 years,female,184
France,5-14 years,male,14
France,5-14 years,female,5
France,75+ years,male,1309
France,55-74 years,male,2048
France,35-54 years,male,2870
France,25-34 years,male,1346
France,75+ years,female,645
France,55-74 years,female,1041
France,15-24 years,male,639
France,35-54 years,female,1058
France,25-34 years,female,366
France,15-24 years,female,167
France,5-14 years,male,9
France,5-14 years,female,4
France,75+ years,male,1328
France,55-74 years,male,2077
France,35-54 years,male,3029
France,25-34 years,male,1400
France,75+ years,female,599
France,55-74 years,female,981
France,35-54 years,female,1058
France,15-24 years,male,589
France,25-34 years,female,386
France,15-24 years,female,175
France,5-14 years,male,19
France,5-14 years,female,3
France,75+ years,male,1311
France,35-54 years,male,3210
France,55-74 years,male,2100
France,25-34 years,male,1458
France,75+ years,female,624
France,15-24 years,male,756
France,55-74 years,female,983
France,35-54 years,female,1153
France,25-34 years,female,415
France,15-24 years,female,210
France,5-14 years,male,26
France,5-14 years,female,5
France,75+ years,male,1234
France,55-74 years,male,2194
France,35-54 years,male,3310
France,25-34 years,male,1456
France,75+ years,female,536
France,55-74 years,female,964
France,15-24 years,male,663
France,35-54 years,female,1102
France,25-34 years,female,390
France,15-24 years,female,171
France,5-14 years,male,15
France,5-14 years,female,6
France,75+ years,male,1299
France,55-74 years,male,2067
France,35-54 years,male,3198
France,25-34 years,male,1397
France,75+ years,female,543
France,55-74 years,female,1002
France,15-24 years,male,622
