country,generation,age,suicides_no
Albania,G.I. Generation,75+ years,1
Albania,G.I. Generation,75+ years,1
Albania,G.I. Generation,55-74 years,1
Albania,G.I. Generation,55-74 years,0
Albania,G.I. Generation,75+ years,2
Albania,G.I. Generation,75+ years,1
Albania,G.I. Generation,55-74 years,4
Albania,G.I. Generation,55-74 years,3
Albania,G.I. Generation,75+ years,2
Albania,G.I. Generation,55-74 years,6
Albania,G.I. Generation,55-74 years,1
Albania,G.I. Generation,75+ years,0
Albania,G.I. Generation,75+ years,0
Albania,G.I. Generation,75+ years,0
Albania,G.I. Generation,75+ years,1
Albania,G.I. Generation,75+ years,0
Albania,G.I. Generation,75+ years,2
Albania,G.I. Generation,75+ years,2
Albania,G.I. Generation,75+ years,2
Albania,G.I. Generation,75+ years,1
Albania,G.I. Generation,75+ years,2
Albania,G.I. Generation,75+ years,2
Albania,G.I. Generation,75+ years,3
Albania,G.I. Generation,75+ years,2
Albania,G.I. Generation,75+ years,3
Albania,G.I. Generation,75+ years,0
Albania,G.I. Generation,75+ years,3
Albania,G.I. Generation,75+ years,4
Albania,G.I. Generation,75+ years,2
Albania,G.I. Generation,75+ years,1
Antigua and Barbuda,G.I. Generation,55-74 years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,55-74 years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,55-74 years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,55-74 years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,55-74 years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,55-74 years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,55-74 years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,55-74 years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,55-74 years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,55-74 years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,55-74 years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,55-74 years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Antigua and Barbuda,G.I. Generation,75+ years,0
Argentina,G.I. Generation,75+ years,202
Argentina,G.I. Generation,55-74 years,485
Argentina,G.I. Generation,55-74 years,210
Argentina,G.I. Generation,75+ years,41
Argentina,G.I. Generation,75+ years,230
Argentina,G.I. Generation,55-74 years,530
Argentina,G.I. Generation,75+ years,48
Argentina,G.I. Generation,55-74 years,201
Argentina,G.I. Generation,75+ years,200
Argentina,G.I. Generation,55-74 years,532
Argentina,G.I. Generation,75+ years,57
Argentina,G.I. Generation,55-74 years,224
Argentina,G.I. Generation,75+ years,216
Argentina,G.I. Generation,55-74 years,550
Argentina,G.I. Generation,75+ years,61
Argentina,G.I. Generation,55-74 years,233
Argentina,G.I. Generation,75+ years,208
Argentina,G.I. Generation,55-74 years,548
Argentina,G.I. Generation,75+ years,65
Argentina,G.I. Generation,55-74 years,201
Argentina,G.I. Generation,75+ years,226
Argentina,G.I. Generation,55-74 years,502
Argentina,G.I. Generation,75+ years,61
Argentina,G.I. Generation,55-74 years,190
Argentina,G.I. Generation,75+ years,184
Argentina,G.I. Generation,75+ years,50
Argentina,G.I. Generation,75+ years,194
Argentina,G.I. Generation,75+ years,46
Argentina,G.I. Generation,75+ years,229
Argentina,G.I. Generation,75+ years,58
Argentina,G.I. Generation,75+ years,192
Argentina,G.I. Generation,75+ years,34
Argentina,G.I. Generation,75+ years,190
Argentina,G.I. Generation,75+ years,49
Argentina,G.I. Generation,75+ years,189
Argentina,G.I. Generation,75+ years,59
Argentina,G.I. Generation,75+ years,195
Argentina,G.I. Generation,75+ years,47
Argentina,G.I. Generation,75+ years,201
Argentina,G.I. Generation,75+ years,53
Argentina,G.I. Generation,75+ years,204
Argentina,G.I. Generation,75+ years,44
Argentina,G.I. Generation,75+ years,232
Argentina,G.I. Generation,75+ years,43
Armenia,G.I. Generation,75+ years,2
Armenia,G.I. Generation,55-74 years,11
Armenia,G.I. Generation,55-74 years,6
Armenia,G.I. Generation,75+ years,1
Armenia,G.I. Generation,75+ years,5
Armenia,G.I. Generation,75+ years,2
Armenia,G.I. Generation,75+ years,3
Armenia,G.I. Generation,75+ years,2
Armenia,G.I. Generation,75+ years,6
Armenia,G.I. Generation,75+ years,2
Armenia,G.I. Generation,75+ years,7
Armenia,G.I. Generation,75+ years,5
Armenia,G.I. Generation,75+ years,2
Armenia,G.I. Generation,75+ years,2
Armenia,G.I. Generation,75+ years,3
Armenia,G.I. Generation,75+ years,0
Armenia,G.I. Generation,75+ years,3
Armenia,G.I. Generation,75+ years,1
Armenia,G.I. Generation,75+ years,2
Armenia,G.I. Generation,75+ years,1
Armenia,G.I. Generation,75+ years,3
Armenia,G.I. Generation,75+ years,0
Armenia,G.I. Generation,75+ years,4
Armenia,G.I. Generation,75+ years,5
Aruba,G.I. Generation,75+ years,2
Aruba,G.I. Generation,75+ years,0
Aruba,G.I. Generation,75+ years,0
Aruba,G.I. Generation,75+ years,0
Aruba,G.I. Generation,75+ years,2
Aruba,G.I. Generation,75+ years,1
Australia,G.I. Generation,75+ years,67
Australia,G.I. Generation,55-74 years,282
Australia,G.I. Generation,75+ years,36
Australia,G.I. Generation,55-74 years,109
Australia,G.I. Generation,75+ years,89
Australia,G.I. Generation,55-74 years,324
Australia,G.I. Generation,55-74 years,105
Australia,G.I. Generation,75+ years,23
Australia,G.I. Generation,75+ years,111
Australia,G.I. Generation,55-74 years,328
Australia,G.I. Generation,75+ years,38
Australia,G.I. Generation,55-74 years,110
Australia,G.I. Generation,75+ years,93
Australia,G.I. Generation,55-74 years,317
Australia,G.I. Generation,75+ years,40
Australia,G.I. Generation,55-74 years,103
Australia,G.I. Generation,75+ years,91
Australia,G.I. Generation,55-74 years,309
Australia,G.I. Generation,55-74 years,124
Australia,G.I. Generation,75+ years,31
Australia,G.I. Generation,75+ years,87
Australia,G.I. Generation,55-74 years,325
Australia,G.I. Generation,75+ years,37
Australia,G.I. Generation,55-74 years,98
Australia,G.I. Generation,75+ years,114
Australia,G.I. Generation,75+ years,39
Australia,G.I. Generation,75+ years,87
Australia,G.I. Generation,75+ years,45
Australia,G.I. Generation,75+ years,95
Australia,G.I. Generation,75+ years,34
Australia,G.I. Generation,75+ years,100
Australia,G.I. Generation,75+ years,33
Australia,G.I. Generation,75+ years,88
Australia,G.I. Generation,75+ years,28
Australia,G.I. Generation,75+ years,122
Australia,G.I. Generation,75+ years,28
Australia,G.I. Generation,75+ years,123
Australia,G.I. Generation,75+ years,40
Australia,G.I. Generation,75+ years,96
Australia,G.I. Generation,75+ years,40
Australia,G.I. Generation,75+ years,119
Australia,G.I. Generation,75+ years,21
Australia,G.I. Generation,75+ years,115
Australia,G.I. Generation,75+ years,33
Austria,G.I. Generation,75+ years,152
Austria,G.I. Generation,55-74 years,355
Austria,G.I. Generation,75+ years,110
Austria,G.I. Generation,55-74 years,220
Austria,G.I. Generation,75+ years,173
Austria,G.I. Generation,55-74 years,355
Austria,G.I. Generation,75+ years,110
Austria,G.I. Generation,55-74 years,195
Austria,G.I. Generation,75+ years,208
Austria,G.I. Generation,55-74 years,332
Austria,G.I. Generation,75+ years,126
Austria,G.I. Generation,55-74 years,230
Austria,G.I. Generation,75+ years,183
Austria,G.I. Generation,55-74 years,309
Austria,G.I. Generation,75+ years,108
Austria,G.I. Generation,55-74 years,186
Austria,G.I. Generation,75+ years,166
Austria,G.I. Generation,55-74 years,358
Austria,G.I. Generation,75+ years,134
Austria,G.I. Generation,55-74 years,182
Austria,G.I. Generation,75+ years,186
Austria,G.I. Generation,55-74 years,320
Austria,G.I. Generation,75+ years,132
Austria,G.I. Generation,55-74 years,173
Austria,G.I. Generation,75+ years,209
Austria,G.I. Generation,75+ years,98
Austria,G.I. Generation,75+ years,179
Austria,G.I. Generation,75+ years,98
Austria,G.I. Generation,75+ years,200
Austria,G.I. Generation,75+ years,88
Austria,G.I. Generation,75+ years,174
Austria,G.I. Generation,75+ years,93
Austria,G.I. Generation,75+ years,184
Austria,G.I. Generation,75+ years,100
Austria,G.I. Generation,75+ years,188
Austria,G.I. Generation,75+ years,112
Austria,G.I. Generation,75+ years,159
Austria,G.I. Generation,75+ years,83
Austria,G.I. Generation,75+ years,165
Austria,G.I. Generation,75+ years,79
Austria,G.I. Generation,75+ years,149
Austria,G.I. Generation,75+ years,108
Austria,G.I. Generation,75+ years,172
Austria,G.I. Generation,75+ years,92
Azerbaijan,G.I. Generation,55-74 years,11
Azerbaijan,G.I. Generation,75+ years,1
Azerbaijan,G.I. Generation,75+ years,2
Azerbaijan,G.I. Generation,55-74 years,6
Azerbaijan,G.I. Generation,75+ years,3
Azerbaijan,G.I. Generation,75+ years,1
Azerbaijan,G.I. Generation,75+ years,5
Azerbaijan,G.I. Generation,75+ years,2
Azerbaijan,G.I. Generation,75+ years,3
Azerbaijan,G.I. Generation,75+ years,4
Azerbaijan,G.I. Generation,75+ years,1
Azerbaijan,G.I. Generation,75+ years,1
Azerbaijan,G.I. Generation,75+ years,2
Azerbaijan,G.I. Generation,75+ years,1
Azerbaijan,G.I. Generation,75+ years,3
Azerbaijan,G.I. Generation,75+ years,1
Azerbaijan,G.I. Generation,75+ years,0
Azerbaijan,G.I. Generation,75+ years,0
