country,generation,age,suicides_no
Albania,Generation X,15-24 years,21
Albania,Generation X,15-24 years,14
Albania,Generation X,5-14 years,0
Albania,Generation X,5-14 years,0
Albania,Generation X,15-24 years,17
Albania,Generation X,15-24 years,8
Albania,Generation X,5-14 years,0
Albania,Generation X,5-14 years,0
Albania,Generation X,15-24 years,12
Albania,Generation X,15-24 years,5
Albania,Generation X,5-14 years,0
Albania,Generation X,5-14 years,0
Albania,Generation X,15-24 years,9
Albania,Generation X,15-24 years,7
Albania,Generation X,15-24 years,18
Albania,Generation X,15-24 years,10
Albania,Generation X,15-24 years,6
Albania,Generation X,15-24 years,6
Albania,Generation X,25-34 years,13
Albania,Generation X,15-24 years,13
Albania,Generation X,15-24 years,11
Albania,Generation X,25-34 years,7
Albania,Generation X,15-24 years,17
Albania,Generation X,25-34 years,14
Albania,Generation X,15-24 years,16
Albania,Generation X,25-34 years,10
Albania,Generation X,25-34 years,36
Albania,Generation X,15-24 years,33
Albania,Generation X,15-24 years,21
Albania,Generation X,25-34 years,16
Albania,Generation X,15-24 years,27
Albania,Generation X,15-24 years,32
Albania,Generation X,25-34 years,26
Albania,Generation X,25-34 years,10
Albania,Generation X,15-24 years,24
Albania,Generation X,25-34 years,19
Albania,Generation X,15-24 years,19
Albania,Generation X,25-34 years,13
Albania,Generation X,25-34 years,17
Albania,Generation X,15-24 years,6
Albania,Generation X,15-24 years,5
Albania,Generation X,25-34 years,3
Albania,Generation X,25-34 years,22
Albania,Generation X,25-34 years,4
Albania,Generation X,25-34 years,23
Albania,Generation X,25-34 years,7
Albania,Generation X,25-34 years,9
Albania,Generation X,25-34 years,9
Albania,Generation X,25-34 years,16
Albania,Generation X,25-34 years,11
Albania,Generation X,25-34 years,0
Albania,Generation X,25-34 years,0
Albania,Generation X,25-34 years,0
Albania,Generation X,25-34 years,0
Albania,Generation X,25-34 years,9
Albania,Generation X,25-34 years,8
Albania,Generation X,25-34 years,21
Albania,Generation X,25-34 years,9
Albania,Generation X,25-34 years,0
Albania,Generation X,25-34 years,0
Albania,Generation X,35-54 years,20
Albania,Generation X,25-34 years,9
Albania,Generation X,25-34 years,6
Albania,Generation X,35-54 years,12
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,5-14 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,5-14 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,5-14 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,5-14 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,5-14 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,5-14 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,5-14 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,5-14 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,5-14 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,5-14 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,5-14 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,5-14 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,15-24 years,0
