country,generation,age,suicides_no
Albania,Generation Z,5-14 years,4
Albania,Generation Z,5-14 years,0
Albania,Generation Z,5-14 years,7
Albania,Generation Z,5-14 years,1
Albania,Generation Z,5-14 years,0
Albania,Generation Z,5-14 years,0
Albania,Generation Z,5-14 years,2
Albania,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Antigua and Barbuda,Generation Z,5-14 years,0
Argentina,Generation Z,5-14 years,45
Argentina,Generation Z,5-14 years,34
Argentina,Generation Z,5-14 years,39
Argentina,Generation Z,5-14 years,20
Argentina,Generation Z,5-14 years,34
Argentina,Generation Z,5-14 years,28
Argentina,Generation Z,5-14 years,33
Argentina,Generation Z,5-14 years,20
Argentina,Generation Z,5-14 years,29
Argentina,Generation Z,5-14 years,28
Argentina,Generation Z,5-14 years,29
Argentina,Generation Z,5-14 years,17
Argentina,Generation Z,5-14 years,32
Argentina,Generation Z,5-14 years,33
Argentina,Generation Z,5-14 years,35
Argentina,Generation Z,5-14 years,34
Argentina,Generation Z,5-14 years,39
Argentina,Generation Z,5-14 years,19
Armenia,Generation Z,5-14 years,1
Armenia,Generation Z,5-14 years,0
Armenia,Generation Z,5-14 years,1
Armenia,Generation Z,5-14 years,1
Armenia,Generation Z,5-14 years,0
Armenia,Generation Z,5-14 years,0
Armenia,Generation Z,5-14 years,2
Armenia,Generation Z,5-14 years,2
Armenia,Generation Z,5-14 years,0
Armenia,Generation Z,5-14 years,0
Armenia,Generation Z,5-14 years,1
Armenia,Generation Z,5-14 years,0
Armenia,Generation Z,5-14 years,1
Armenia,Generation Z,5-14 years,0
Armenia,Generation Z,5-14 years,1
Armenia,Generation Z,5-14 years,0
Armenia,Generation Z,5-14 years,0
Armenia,Generation Z,5-14 years,0
Aruba,Generation Z,5-14 years,0
Aruba,Generation Z,5-14 years,0
Aruba,Generation Z,5-14 years,0
Aruba,Generation Z,5-14 years,0
Aruba,Generation Z,5-14 years,0
Aruba,Generation Z,5-14 years,0
Aruba,Generation Z,5-14 years,0
Aruba,Generation Z,5-14 years,0
Aruba,Generation Z,5-14 years,0
Aruba,Generation Z,5-14 years,0
Australia,Generation Z,5-14 years,8
Australia,Generation Z,5-14 years,4
Australia,Generation Z,5-14 years,8
Australia,Generation Z,5-14 years,3
Australia,Generation Z,5-14 years,3
Australia,Generation Z,5-14 years,0
Australia,Generation Z,5-14 years,7
Australia,Generation Z,5-14 years,4
Australia,Generation Z,5-14 years,9
Australia,Generation Z,5-14 years,7
Australia,Generation Z,5-14 years,10
Australia,Generation Z,5-14 years,6
Australia,Generation Z,5-14 years,16
Australia,Generation Z,5-14 years,6
Australia,Generation Z,5-14 years,15
Australia,Generation Z,5-14 years,6
Australia,Generation Z,5-14 years,8
Australia,Generation Z,5-14 years,6
Austria,Generation Z,5-14 years,2
Austria,Generation Z,5-14 years,0
Austria,Generation Z,5-14 years,2
Austria,Generation Z,5-14 years,2
Austria,Generation Z,5-14 years,5
Austria,Generation Z,5-14 years,3
Austria,Generation Z,5-14 years,2
Austria,Generation Z,5-14 years,1
Austria,Generation Z,5-14 years,3
Austria,Generation Z,5-14 years,1
Austria,Generation Z,5-14 years,3
Austria,Generation Z,5-14 years,1
Austria,Generation Z,5-14 years,3
Austria,Generation Z,5-14 years,1
Austria,Generation Z,5-14 years,2
Austria,Generation Z,5-14 years,0
Austria,Generation Z,5-14 years,1
Austria,Generation Z,5-14 years,1
Azerbaijan,Generation Z,5-14 years,4
Azerbaijan,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,1
Bahamas,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,0
Bahamas,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,2
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,1
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,0
Bahrain,Generation Z,5-14 years,0
Barbados,Generation Z,5-14 years,0
Barbados,Generation Z,5-14 years,0
Barbados,Generation Z,5-14 years,0
Barbados,Generation Z,5-14 years,0
Barbados,Generation Z,5-14 years,0
Barbados,Generation Z,5-14 years,0
Barbados,Generation Z,5-14 years,0
