country,age,sex,suicides_no
Germany,75+ years,male,1516
Germany,55-74 years,male,2406
Germany,35-54 years,male,3302
Germany,75+ years,female,1174
Germany,25-34 years,male,1488
Germany,55-74 years,female,1417
Germany,15-24 years,male,800
Germany,35-54 years,female,1128
Germany,25-34 years,female,434
Germany,15-24 years,female,228
Germany,5-14 years,male,22
Germany,5-14 years,female,9
Germany,75+ years,male,1459
Germany,55-74 years,male,2445
Germany,35-54 years,male,3427
Germany,75+ years,female,1153
Germany,25-34 years,male,1523
Germany,55-74 years,female,1400
Germany,15-24 years,male,775
Germany,35-54 years,female,1200
Germany,25-34 years,female,411
Germany,15-24 years,female,185
Germany,5-14 years,male,27
Germany,5-14 years,female,5
Germany,75+ years,male,1395
Germany,55-74 years,male,2405
Germany,75+ years,female,1105
Germany,35-54 years,male,3250
Germany,25-34 years,male,1576
Germany,55-74 years,female,1375
Germany,15-24 years,male,674
Germany,35-54 years,female,1093
Germany,25-34 years,female,384
Germany,15-24 years,female,163
Germany,5-14 years,male,26
Germany,5-14 years,female,12
Germany,75+ years,male,1296
Germany,55-74 years,male,2485
Germany,35-54 years,male,3033
Germany,75+ years,female,884
Germany,25-34 years,male,1467
Germany,55-74 years,female,1296
Germany,15-24 years,male,632
Germany,35-54 years,female,1009
Germany,25-34 years,female,371
Germany,15-24 years,female,157
Germany,5-14 years,male,47
Germany,5-14 years,female,13
Germany,75+ years,male,1196
Germany,55-74 years,male,2527
Germany,35-54 years,male,3154
Germany,75+ years,female,819
Germany,25-34 years,male,1541
Germany,15-24 years,male,682
Germany,55-74 years,female,1261
Germany,35-54 years,female,971
Germany,25-34 years,female,350
Germany,15-24 years,female,170
Germany,5-14 years,male,30
Germany,5-14 years,female,17
Germany,75+ years,male,1254
Germany,55-74 years,male,2597
Germany,35-54 years,male,3251
Germany,75+ years,female,884
Germany,25-34 years,male,1452
Germany,15-24 years,male,630
Germany,55-74 years,female,1266
Germany,35-54 years,female,983
Germany,25-34 years,female,343
Germany,15-24 years,female,176
Germany,5-14 years,male,38
