country,age,sex,suicides_no
Greece,75+ years,male,35
Greece,55-74 years,male,85
Greece,35-54 years,male,82
Greece,25-34 years,male,40
Greece,75+ years,female,15
Greece,55-74 years,female,47
Greece,15-24 years,male,35
Greece,25-34 years,female,18
Greece,35-54 years,female,35
Greece,15-24 years,female,13
Greece,5-14 years,female,0
Greece,5-14 years,male,0
Greece,75+ years,male,47
Greece,55-74 years,male,86
Greece,25-34 years,male,53
Greece,15-24 years,male,43
Greece,75+ years,female,17
Greece,35-54 years,male,63
Greece,55-74 years,female,33
Greece,35-54 years,female,28
Greece,15-24 years,female,13
Greece,25-34 years,female,10
Greece,5-14 years,female,0
Greece,5-14 years,male,0
Greece,75+ years,male,54
Greece,55-74 years,male,78
Greece,25-34 years,male,46
Greece,35-54 years,male,81
Greece,15-24 years,male,34
Greece,75+ years,female,14
Greece,55-74 years,female,43
Greece,35-54 years,female,35
Greece,15-24 years,female,12
Greece,25-34 years,female,9
Greece,5-14 years,male,3
Greece,5-14 years,female,1
Greece,75+ years,male,44
Greece,55-74 years,male,83
Greece,25-34 years,male,52
Greece,75+ years,female,21
Greece,35-54 years,male,72
Greece,15-24 years,male,37
Greece,55-74 years,female,50
Greece,35-54 years,female,29
Greece,25-34 years,female,11
Greece,15-24 years,female,4
Greece,5-14 years,female,0
Greece,5-14 years,male,0
Greece,75+ years,male,39
Greece,25-34 years,male,53
Greece,55-74 years,male,70
Greece,35-54 years,male,80
Greece,15-24 years,male,32
Greece,75+ years,female,14
Greece,55-74 years,female,40
Greece,25-34 years,female,16
Greece,35-54 years,female,28
Greece,15-24 years,female,7
Greece,5-14 years,male,4
Greece,5-14 years,female,0
Greece,75+ years,male,46
Greece,55-74 years,male,68
Greece,25-34 years,male,46
Greece,35-54 years,male,68
Greece,15-24 years,male,40
Greece,75+ years,female,9
Greece,55-74 years,female,25
Greece,35-54 years,female,25
Greece,25-34 years,female,11
Greece,15-24 years,female,8
Greece,5-14 years,male,3
Greece,5-14 years,female,0
Greece,75+ years,male,48
Greece,55-74 years,male,95
Greece,35-54 years,male,81
Greece,25-34 years,male,38
Greece,75+ years,female,15
Greece,15-24 years,male,31
Greece,55-74 years,female,26
Greece,35-54 years,female,28
Greece,25-34 years,female,10
Greece,15-24 years,female,5
Greece,5-14 years,male,4
Greece,5-14 years,female,0
Greece,75+ years,male,44
Greece,55-74 years,male,90
Greece,35-54 years,male,83
Greece,25-34 years,male,39
Greece,75+ years,female,12
Greece,15-24 years,male,21
Greece,55-74 years,female,28
Greece,35-54 years,female,18
Greece,25-34 years,female,10
Greece,15-24 years,female,4
Greece,5-14 years,male,2
Greece,5-14 years,female,0
Greece,75+ years,male,36
Greece,55-74 years,male,95
Greece,35-54 years,male,97
Greece,25-34 years,male,49
Greece,75+ years,female,17
Greece,15-24 years,male,29
Greece,55-74 years,female,37
Greece,35-54 years,female,29
Greece,25-34 years,female,14
Greece,15-24 years,female,6
Greece,5-14 years,male,2
Greece,5-14 years,female,1
Greece,75+ years,male,38
Greece,55-74 years,male,88
Greece,25-34 years,male,44
Greece,35-54 years,male,76
Greece,15-24 years,male,33
Greece,75+ years,female,11
Greece,55-74 years,female,33
Greece,35-54 years,female,18
Greece,25-34 years,female,9
Greece,15-24 years,female,3
Greece,5-14 years,male,2
Greece,5-14 years,female,0
Greece,75+ years,male,47
Greece,25-34 years,male,58
Greece,55-74 years,male,75
Greece,35-54 years,male,91
Greece,15-24 years,male,35
Greece,55-74 years,female,26
Greece,75+ years,female,6
Greece,25-34 years,female,11
Greece,35-54 years,female,15
Greece,15-24 years,female,6
Greece,5-14 years,female,0
Greece,5-14 years,male,0
Greece,75+ years,male,32
Greece,55-74 years,male,92
Greece,25-34 years,male,61
Greece,35-54 years,male,87
Greece,75+ years,female,15
Greece,15-24 years,male,22
Greece,55-74 years,female,19
Greece,25-34 years,female,9
Greece,35-54 years,female,14
Greece,15-24 years,female,5
Greece,5-14 years,female,0
Greece,5-14 years,male,0
Greece,75+ years,male,38
Greece,25-34 years,male,68
Greece,35-54 years,male,95
Greece,55-74 years,male,72
Greece,15-24 years,male,44
Greece,75+ years,female,10
Greece,55-74 years,female,19
Greece,35-54 years,female,15
Greece,15-24 years,female,6
Greece,25-34 years,female,5
Greece,5-14 years,male,2
Greece,5-14 years,female,0
Greece,75+ years,male,39
Greece,55-74 years,male,105
Greece,25-34 years,male,60
Greece,35-54 years,male,87
Greece,55-74 years,female,37
Greece,15-24 years,male,24
Greece,25-34 years,female,17
Greece,35-54 years,female,26
Greece,75+ years,female,4
Greece,15-24 years,female,3
Greece,5-14 years,female,1
Greece,5-14 years,male,0
Greece,75+ years,male,34
Greece,55-74 years,male,83
Greece,25-34 years,male,59
Greece,35-54 years,male,91
Greece,15-24 years,male,29
Greece,75+ years,female,10
Greece,55-74 years,female,28
Greece,25-34 years,female,16
Greece,35-54 years,female,24
Greece,15-24 years,female,7
Greece,5-14 years,female,0
Greece,5-14 years,male,0
Greece,75+ years,male,30
Greece,55-74 years,male,81
Greece,35-54 years,male,97
Greece,25-34 years,male,57
Greece,15-24 years,male,31
Greece,75+ years,female,12
Greece,55-74 years,female,23
Greece,35-54 years,female,25
Greece,25-34 years,female,14
Greece,15-24 years,female,10
Greece,5-14 years,male,2
Greece,5-14 years,female,0
Greece,75+ years,male,30
Greece,55-74 years,male,84
Greece,35-54 years,male,99
Greece,25-34 years,male,48
Greece,15-24 years,male,23
Greece,75+ years,female,10
Greece,35-54 years,female,19
Greece,55-74 years,female,11
Greece,25-34 years,female,5
Greece,5-14 years,male,2
Greece,15-24 years,female,2
Greece,5-14 years,female,1
Greece,75+ years,male,34
Greece,55-74 years,male,87
Greece,35-54 years,male,76
Greece,25-34 years,male,34
Greece,15-24 years,male,26
Greece,75+ years,female,11
Greece,55-74 years,female,23
Greece,25-34 years,female,11
Greece,35-54 years,female,17
Greece,15-24 years,female,4
Greece,5-14 years,female,0
Greece,5-14 years,male,0
Greece,75+ years,male,33
Greece,35-54 years,male,118
Greece,55-74 years,male,85
Greece,25-34 years,male,46
Greece,15-24 years,male,24
Greece,35-54 years,female,24
Greece,55-74 years,female,20
Greece,25-34 years,female,11
Greece,75+ years,female,5
Greece,15-24 years,female,7
Greece,5-14 years,female,2
Greece,5-14 years,male,0
