country,age,sex,suicides_no
Guatemala,25-34 years,male,46
Guatemala,75+ years,male,3
Guatemala,15-24 years,male,65
Guatemala,55-74 years,male,19
Guatemala,35-54 years,male,32
Guatemala,15-24 years,female,17
Guatemala,35-54 years,female,9
Guatemala,25-34 years,female,8
Guatemala,5-14 years,female,2
Guatemala,5-14 years,male,2
Guatemala,55-74 years,female,0
Guatemala,75+ years,female,0
Guatemala,75+ years,male,5
Guatemala,25-34 years,male,63
Guatemala,35-54 years,male,49
Guatemala,55-74 years,male,16
Guatemala,15-24 years,male,45
Guatemala,75+ years,female,2
Guatemala,25-34 years,female,16
Guatemala,15-24 years,female,21
Guatemala,35-54 years,female,13
Guatemala,55-74 years,female,3
Guatemala,5-14 years,male,6
Guatemala,5-14 years,female,2
Guatemala,75+ years,male,8
Guatemala,35-54 years,male,43
Guatemala,25-34 years,male,38
Guatemala,15-24 years,male,41
Guatemala,55-74 years,male,10
Guatemala,15-24 years,female,14
Guatemala,25-34 years,female,8
Guatemala,35-54 years,female,6
Guatemala,55-74 years,female,1
Guatemala,5-14 years,male,3
Guatemala,5-14 years,female,2
Guatemala,75+ years,female,0
Guatemala,75+ years,male,4
Guatemala,25-34 years,male,36
Guatemala,55-74 years,male,18
Guatemala,35-54 years,male,31
Guatemala,15-24 years,male,31
Guatemala,25-34 years,female,12
Guatemala,35-54 years,female,8
Guatemala,15-24 years,female,6
Guatemala,5-14 years,female,4
Guatemala,5-14 years,male,2
Guatemala,55-74 years,female,0
Guatemala,75+ years,female,0
Guatemala,75+ years,male,4
Guatemala,25-34 years,male,45
Guatemala,35-54 years,male,37
Guatemala,15-24 years,male,34
Guatemala,55-74 years,male,9
Guatemala,35-54 years,female,8
Guatemala,15-24 years,female,10
Guatemala,25-34 years,female,6
Guatemala,55-74 years,female,1
Guatemala,5-14 years,female,2
Guatemala,5-14 years,male,2
Guatemala,75+ years,female,0
Guatemala,75+ years,male,4
Guatemala,35-54 years,male,45
Guatemala,25-34 years,male,36
Guatemala,55-74 years,male,11
Guatemala,15-24 years,male,24
Guatemala,15-24 years,female,15
Guatemala,55-74 years,female,4
Guatemala,35-54 years,female,7
Guatemala,25-34 years,female,6
Guatemala,5-14 years,male,4
Guatemala,5-14 years,female,0
Guatemala,75+ years,female,0
Guatemala,75+ years,male,5
Guatemala,35-54 years,male,52
Guatemala,15-24 years,male,43
Guatemala,55-74 years,male,13
Guatemala,25-34 years,male,22
Guatemala,35-54 years,female,14
Guatemala,75+ years,female,1
Guatemala,25-34 years,female,8
Guatemala,15-24 years,female,12
Guatemala,55-74 years,female,3
Guatemala,5-14 years,female,0
Guatemala,5-14 years,male,0
Guatemala,25-34 years,male,40
Guatemala,75+ years,male,3
Guatemala,35-54 years,male,41
Guatemala,55-74 years,male,14
Guatemala,15-24 years,male,32
Guatemala,55-74 years,female,4
Guatemala,15-24 years,female,10
Guatemala,35-54 years,female,7
Guatemala,25-34 years,female,5
Guatemala,5-14 years,male,5
Guatemala,5-14 years,female,4
Guatemala,75+ years,female,0
Guatemala,75+ years,male,3
Guatemala,25-34 years,male,30
Guatemala,35-54 years,male,32
Guatemala,15-24 years,male,42
Guatemala,55-74 years,male,10
Guatemala,15-24 years,female,11
Guatemala,55-74 years,female,3
Guatemala,25-34 years,female,4
Guatemala,5-14 years,male,5
Guatemala,35-54 years,female,1
Guatemala,5-14 years,female,1
Guatemala,75+ years,female,0
Guatemala,25-34 years,male,43
Guatemala,35-54 years,male,47
Guatemala,15-24 years,male,56
Guatemala,75+ years,male,2
Guatemala,55-74 years,male,13
Guatemala,15-24 years,female,18
Guatemala,75+ years,female,1
Guatemala,35-54 years,female,13
Guatemala,25-34 years,female,9
Guatemala,55-74 years,female,2
Guatemala,5-14 years,female,4
Guatemala,5-14 years,male,3
Guatemala,75+ years,male,4
Guatemala,25-34 years,male,41
Guatemala,35-54 years,male,35
Guatemala,55-74 years,male,17
Guatemala,15-24 years,male,25
Guatemala,15-24 years,female,17
Guatemala,25-34 years,female,7
Guatemala,35-54 years,female,6
Guatemala,55-74 years,female,2
Guatemala,5-14 years,male,2
Guatemala,5-14 years,female,1
Guatemala,75+ years,female,0
Guatemala,35-54 years,male,40
Guatemala,25-34 years,male,29
Guatemala,15-24 years,male,48
Guatemala,55-74 years,male,13
Guatemala,75+ years,male,2
Guatemala,15-24 years,female,22
Guatemala,35-54 years,female,11
Guatemala,25-34 years,female,6
Guatemala,55-74 years,female,2
Guatemala,5-14 years,female,3
Guatemala,5-14 years,male,3
Guatemala,75+ years,female,0
Guatemala,75+ years,male,6
Guatemala,25-34 years,male,41
Guatemala,35-54 years,male,36
Guatemala,15-24 years,male,54
Guatemala,55-74 years,male,14
Guatemala,75+ years,female,2
Guatemala,15-24 years,female,24
Guatemala,35-54 years,female,10
Guatemala,55-74 years,female,2
Guatemala,25-34 years,female,3
Guatemala,5-14 years,male,5
Guatemala,5-14 years,female,4
Guatemala,75+ years,male,5
Guatemala,25-34 years,male,54
Guatemala,35-54 years,male,55
Guatemala,15-24 years,male,59
Guatemala,55-74 years,male,14
Guatemala,15-24 years,female,18
Guatemala,35-54 years,female,10
Guatemala,25-34 years,female,7
Guatemala,55-74 years,female,2
Guatemala,5-14 years,female,5
Guatemala,5-14 years,male,5
Guatemala,75+ years,female,0
Guatemala,25-34 years,male,45
Guatemala,55-74 years,male,21
Guatemala,75+ years,male,3
Guatemala,15-24 years,male,49
Guatemala,35-54 years,male,19
Guatemala,15-24 years,female,20
Guatemala,25-34 years,female,8
Guatemala,35-54 years,female,7
Guatemala,55-74 years,female,2
Guatemala,5-14 years,male,5
Guatemala,5-14 years,female,3
Guatemala,75+ years,female,0
Guatemala,75+ years,male,5
Guatemala,35-54 years,male,39
Guatemala,25-34 years,male,35
Guatemala,55-74 years,male,17
Guatemala,15-24 years,male,52
Guatemala,15-24 years,female,30
Guatemala,25-34 years,female,9
Guatemala,55-74 years,female,3
Guatemala,35-54 years,female,6
Guatemala,5-14 years,female,4
Guatemala,5-14 years,male,2
Guatemala,75+ years,female,0
Guatemala,55-74 years,male,26
Guatemala,25-34 years,male,47
Guatemala,35-54 years,male,50
Guatemala,75+ years,male,4
Guatemala,15-24 years,male,60
Guatemala,75+ years,female,4
Guatemala,15-24 years,female,28
Guatemala,55-74 years,female,8
Guatemala,25-34 years,female,14
Guatemala,35-54 years,female,9
Guatemala,5-14 years,male,7
Guatemala,5-14 years,female,1
Guatemala,75+ years,male,8
Guatemala,25-34 years,male,51
Guatemala,35-54 years,male,51
Guatemala,15-24 years,male,67
Guatemala,55-74 years,male,17
Guatemala,15-24 years,female,24
Guatemala,35-54 years,female,11
Guatemala,55-74 years,female,4
Guatemala,25-34 years,female,7
Guatemala,5-14 years,female,7
Guatemala,5-14 years,male,6
Guatemala,75+ years,female,0
Guatemala,25-34 years,male,48
Guatemala,15-24 years,male,72
Guatemala,55-74 years,male,18
Guatemala,35-54 years,male,37
Guatemala,75+ years,male,3
Guatemala,15-24 years,female,28
Guatemala,35-54 years,female,15
Guatemala,25-34 years,female,12
Guatemala,55-74 years,female,3
Guatemala,5-14 years,female,8
Guatemala,5-14 years,male,6
Guatemala,75+ years,female,0
Guatemala,75+ years,male,8
Guatemala,25-34 years,male,42
Guatemala,35-54 years,male,43
Guatemala,15-24 years,male,61
Guatemala,55-74 years,male,17
Guatemala,15-24 years,female,40
Guatemala,25-34 years,female,11
Guatemala,35-54 years,female,4
Guatemala,5-14 years,male,6
Guatemala,5-14 years,female,5
Guatemala,55-74 years,female,1
Guatemala,75+ years,female,0
Guatemala,75+ years,male,10
Guatemala,25-34 years,male,54
Guatemala,35-54 years,male,55
Guatemala,15-24 years,male,81
Guatemala,55-74 years,male,23
Guatemala,15-24 years,female,30
Guatemala,75+ years,female,2
Guatemala,25-34 years,female,17
Guatemala,35-54 years,female,14
Guatemala,55-74 years,female,3
Guatemala,5-14 years,female,5
Guatemala,5-14 years,male,4
Guatemala,35-54 years,male,74
Guatemala,25-34 years,male,69
Guatemala,75+ years,male,7
Guatemala,55-74 years,male,26
Guatemala,15-24 years,male,84
Guatemala,15-24 years,female,34
Guatemala,35-54 years,female,12
Guatemala,75+ years,female,1
Guatemala,25-34 years,female,7
Guatemala,55-74 years,female,3
Guatemala,5-14 years,female,7
Guatemala,5-14 years,male,3
Guatemala,25-34 years,male,92
Guatemala,35-54 years,male,91
Guatemala,15-24 years,male,132
Guatemala,55-74 years,male,39
Guatemala,75+ years,male,9
Guatemala,15-24 years,female,57
Guatemala,35-54 years,female,25
Guatemala,25-34 years,female,22
Guatemala,5-14 years,female,16
Guatemala,5-14 years,male,8
Guatemala,55-74 years,female,1
Guatemala,75+ years,female,0
Guatemala,75+ years,male,12
Guatemala,35-54 years,male,109
Guatemala,55-74 years,male,38
Guatemala,25-34 years,male,82
Guatemala,15-24 years,male,118
Guatemala,15-24 years,female,69
Guatemala,25-34 years,female,38
Guatemala,35-54 years,female,25
Guatemala,55-74 years,female,3
Guatemala,5-14 years,female,10
Guatemala,5-14 years,male,7
Guatemala,75+ years,female,0
Guatemala,25-34 years,male,76
Guatemala,35-54 years,male,69
Guatemala,15-24 years,male,91
Guatemala,55-74 years,male,23
Guatemala,75+ years,male,5
Guatemala,15-24 years,female,43
Guatemala,25-34 years,female,21
Guatemala,35-54 years,female,8
Guatemala,55-74 years,female,3
Guatemala,5-14 years,female,7
Guatemala,5-14 years,male,6
Guatemala,75+ years,female,0
Guatemala,15-24 years,male,105
Guatemala,25-34 years,male,58
Guatemala,35-54 years,male,55
Guatemala,55-74 years,male,23
Guatemala,75+ years,male,5
Guatemala,15-24 years,female,59
Guatemala,25-34 years,female,23
Guatemala,55-74 years,female,5
Guatemala,75+ years,female,1
Guatemala,5-14 years,female,12
Guatemala,35-54 years,female,8
Guatemala,5-14 years,male,5
Guatemala,15-24 years,male,118
Guatemala,55-74 years,male,34
Guatemala,35-54 years,male,77
Guatemala,75+ years,male,8
Guatemala,25-34 years,male,61
Guatemala,15-24 years,female,63
Guatemala,25-34 years,female,20
Guatemala,35-54 years,female,12
Guatemala,55-74 years,female,5
Guatemala,75+ years,female,1
Guatemala,5-14 years,male,12
Guatemala,5-14 years,female,9
Guatemala,15-24 years,male,124
Guatemala,35-54 years,male,83
Guatemala,25-34 years,male,79
Guatemala,55-74 years,male,31
Guatemala,75+ years,male,6
Guatemala,15-24 years,female,73
Guatemala,25-34 years,female,26
Guatemala,35-54 years,female,12
Guatemala,5-14 years,female,10
Guatemala,55-74 years,female,3
Guatemala,5-14 years,male,8
Guatemala,75+ years,female,0
Guatemala,35-54 years,male,101
Guatemala,55-74 years,male,39
Guatemala,25-34 years,male,87
Guatemala,15-24 years,male,116
Guatemala,75+ years,male,7
Guatemala,15-24 years,female,85
Guatemala,25-34 years,female,32
Guatemala,55-74 years,female,8
Guatemala,35-54 years,female,18
Guatemala,5-14 years,female,13
Guatemala,5-14 years,male,6
Guatemala,75+ years,female,0
Guatemala,15-24 years,male,125
Guatemala,25-34 years,male,86
Guatemala,35-54 years,male,87
Guatemala,75+ years,male,9
Guatemala,55-74 years,male,32
Guatemala,15-24 years,female,83
Guatemala,75+ years,female,3
Guatemala,25-34 years,female,19
Guatemala,35-54 years,female,20
Guatemala,55-74 years,female,6
Guatemala,5-14 years,female,13
Guatemala,5-14 years,male,11
