country,age,sex,suicides_no
Guyana,25-34 years,male,15
Guyana,35-54 years,male,12
Guyana,15-24 years,male,12
Guyana,55-74 years,male,3
Guyana,15-24 years,female,10
Guyana,55-74 years,female,1
Guyana,25-34 years,female,2
Guyana,35-54 years,female,1
Guyana,5-14 years,female,0
Guyana,75+ years,female,0
Guyana,5-14 years,male,0
Guyana,75+ years,male,0
Guyana,25-34 years,male,20
Guyana,55-74 years,male,8
Guyana,35-54 years,male,17
Guyana,15-24 years,male,20
Guyana,75+ years,male,1
Guyana,15-24 years,female,15
Guyana,55-74 years,female,3
Guyana,25-34 years,female,5
Guyana,35-54 years,female,2
Guyana,5-14 years,male,2
Guyana,5-14 years,female,1
Guyana,75+ years,female,0
Guyana,25-34 years,male,23
Guyana,55-74 years,male,7
Guyana,75+ years,male,1
Guyana,15-24 years,male,18
Guyana,35-54 years,male,13
Guyana,15-24 years,female,12
Guyana,55-74 years,female,3
Guyana,35-54 years,female,4
Guyana,25-34 years,female,4
Guyana,5-14 years,male,2
Guyana,5-14 years,female,2
Guyana,75+ years,female,0
Guyana,75+ years,male,3
Guyana,35-54 years,male,22
Guyana,25-34 years,male,20
Guyana,15-24 years,male,25
Guyana,15-24 years,female,20
Guyana,55-74 years,male,4
Guyana,55-74 years,female,2
Guyana,35-54 years,female,4
Guyana,25-34 years,female,3
Guyana,5-14 years,male,2
Guyana,5-14 years,female,0
Guyana,75+ years,female,0
Guyana,55-74 years,male,10
Guyana,35-54 years,male,20
Guyana,25-34 years,male,16
Guyana,75+ years,male,1
Guyana,75+ years,female,1
Guyana,15-24 years,male,12
Guyana,15-24 years,female,8
Guyana,25-34 years,female,4
Guyana,35-54 years,female,3
Guyana,55-74 years,female,1
Guyana,5-14 years,female,1
Guyana,5-14 years,male,1
Guyana,25-34 years,male,19
Guyana,35-54 years,male,16
Guyana,15-24 years,male,18
Guyana,55-74 years,male,4
Guyana,25-34 years,female,5
Guyana,15-24 years,female,4
Guyana,35-54 years,female,3
Guyana,55-74 years,female,1
Guyana,5-14 years,female,2
Guyana,75+ years,female,0
Guyana,5-14 years,male,0
Guyana,75+ years,male,0
Guyana,25-34 years,male,19
Guyana,15-24 years,male,21
Guyana,75+ years,male,1
Guyana,35-54 years,male,14
Guyana,55-74 years,male,4
Guyana,15-24 years,female,9
Guyana,55-74 years,female,3
Guyana,25-34 years,female,6
Guyana,35-54 years,female,6
Guyana,5-14 years,female,3
Guyana,75+ years,female,0
Guyana,5-14 years,male,0
Guyana,75+ years,male,2
Guyana,35-54 years,male,32
Guyana,25-34 years,male,20
Guyana,55-74 years,male,7
Guyana,15-24 years,male,16
Guyana,15-24 years,female,10
Guyana,35-54 years,female,7
Guyana,25-34 years,female,4
Guyana,55-74 years,female,1
Guyana,5-14 years,female,0
Guyana,75+ years,female,0
Guyana,5-14 years,male,0
Guyana,25-34 years,male,18
Guyana,75+ years,male,1
Guyana,55-74 years,male,5
Guyana,15-24 years,male,14
Guyana,35-54 years,male,13
Guyana,55-74 years,female,3
Guyana,15-24 years,female,4
Guyana,25-34 years,female,1
Guyana,35-54 years,female,1
Guyana,5-14 years,female,0
Guyana,75+ years,female,0
Guyana,5-14 years,male,0
Guyana,25-34 years,male,14
Guyana,75+ years,female,1
Guyana,35-54 years,male,10
Guyana,15-24 years,male,9
Guyana,55-74 years,male,3
Guyana,25-34 years,female,2
Guyana,5-14 years,female,1
Guyana,15-24 years,female,0
Guyana,35-54 years,female,0
Guyana,55-74 years,female,0
Guyana,5-14 years,male,0
Guyana,75+ years,male,0
Guyana,55-74 years,male,6
Guyana,35-54 years,male,13
Guyana,25-34 years,male,8
Guyana,15-24 years,male,4
Guyana,5-14 years,female,2
Guyana,15-24 years,female,1
Guyana,35-54 years,female,1
Guyana,25-34 years,female,0
Guyana,55-74 years,female,0
Guyana,75+ years,female,0
Guyana,5-14 years,male,0
Guyana,75+ years,male,0
Guyana,25-34 years,male,41
Guyana,35-54 years,male,38
