country,age,sex,suicides_no
Hungary,75+ years,male,333
Hungary,35-54 years,male,1271
Hungary,55-74 years,male,751
Hungary,75+ years,female,263
Hungary,25-34 years,male,364
Hungary,55-74 years,female,382
Hungary,35-54 years,female,341
Hungary,15-24 years,male,154
Hungary,25-34 years,female,85
Hungary,15-24 years,female,40
Hungary,5-14 years,male,7
Hungary,5-14 years,female,2
Hungary,75+ years,male,317
Hungary,35-54 years,male,1281
Hungary,55-74 years,male,766
Hungary,75+ years,female,212
Hungary,25-34 years,male,364
Hungary,55-74 years,female,384
Hungary,15-24 years,male,202
Hungary,35-54 years,female,346
Hungary,25-34 years,female,73
Hungary,15-24 years,female,44
Hungary,5-14 years,male,9
Hungary,5-14 years,female,2
Hungary,75+ years,male,300
Hungary,55-74 years,male,736
Hungary,35-54 years,male,1189
Hungary,75+ years,female,198
Hungary,25-34 years,male,326
Hungary,55-74 years,female,354
Hungary,35-54 years,female,320
Hungary,15-24 years,male,157
Hungary,25-34 years,female,63
Hungary,15-24 years,female,43
Hungary,5-14 years,male,7
Hungary,5-14 years,female,1
Hungary,75+ years,male,292
Hungary,55-74 years,male,765
Hungary,35-54 years,male,1194
Hungary,75+ years,female,217
Hungary,25-34 years,male,302
Hungary,55-74 years,female,272
Hungary,35-54 years,female,310
Hungary,15-24 years,male,167
Hungary,25-34 years,female,57
Hungary,15-24 years,female,41
Hungary,5-14 years,male,7
Hungary,5-14 years,female,1
Hungary,75+ years,male,282
Hungary,35-54 years,male,1114
Hungary,55-74 years,male,668
Hungary,75+ years,female,202
Hungary,25-34 years,male,244
Hungary,55-74 years,female,320
Hungary,15-24 years,male,159
Hungary,35-54 years,female,284
Hungary,25-34 years,female,55
Hungary,15-24 years,female,30
Hungary,5-14 years,male,8
Hungary,5-14 years,female,0
Hungary,75+ years,male,254
Hungary,55-74 years,male,718
Hungary,35-54 years,male,1146
Hungary,75+ years,female,224
Hungary,25-34 years,male,253
Hungary,55-74 years,female,332
Hungary,35-54 years,female,281
Hungary,15-24 years,male,147
Hungary,25-34 years,female,49
Hungary,15-24 years,female,29
Hungary,5-14 years,male,2
Hungary,5-14 years,female,1
Hungary,75+ years,male,296
Hungary,55-74 years,male,657
Hungary,35-54 years,male,1039
Hungary,75+ years,female,199
Hungary,25-34 years,male,255
Hungary,55-74 years,female,303
Hungary,35-54 years,female,249
Hungary,15-24 years,male,131
Hungary,25-34 years,female,40
Hungary,15-24 years,female,32
Hungary,5-14 years,male,5
Hungary,5-14 years,female,2
Hungary,75+ years,male,238
Hungary,35-54 years,male,1185
Hungary,55-74 years,male,620
Hungary,75+ years,female,185
Hungary,25-34 years,male,275
Hungary,55-74 years,female,241
Hungary,35-54 years,female,268
Hungary,15-24 years,male,145
Hungary,25-34 years,female,54
Hungary,15-24 years,female,29
Hungary,5-14 years,male,5
Hungary,5-14 years,female,0
Hungary,75+ years,male,302
