country,age,sex,suicides_no
Ireland,55-74 years,male,65
Ireland,25-34 years,male,47
Ireland,15-24 years,male,48
Ireland,35-54 years,male,51
Ireland,55-74 years,female,21
Ireland,75+ years,male,4
Ireland,35-54 years,female,24
Ireland,25-34 years,female,11
Ireland,75+ years,female,1
Ireland,15-24 years,female,3
Ireland,5-14 years,male,1
Ireland,5-14 years,female,0
Ireland,55-74 years,male,62
Ireland,25-34 years,male,47
Ireland,35-54 years,male,56
Ireland,15-24 years,male,44
Ireland,75+ years,male,5
Ireland,35-54 years,female,25
Ireland,55-74 years,female,18
Ireland,25-34 years,female,13
Ireland,15-24 years,female,10
Ireland,75+ years,female,1
Ireland,5-14 years,male,1
Ireland,5-14 years,female,0
Ireland,55-74 years,male,58
Ireland,25-34 years,male,39
Ireland,35-54 years,male,54
Ireland,15-24 years,male,29
Ireland,75+ years,male,5
Ireland,75+ years,female,6
Ireland,55-74 years,female,17
Ireland,35-54 years,female,21
Ireland,25-34 years,female,8
Ireland,15-24 years,female,7
Ireland,5-14 years,female,1
Ireland,5-14 years,male,0
Ireland,75+ years,male,15
Ireland,25-34 years,male,50
Ireland,55-74 years,male,47
Ireland,15-24 years,male,47
Ireland,35-54 years,male,36
Ireland,35-54 years,female,32
Ireland,55-74 years,female,18
Ireland,25-34 years,female,13
Ireland,75+ years,female,2
Ireland,15-24 years,female,6
Ireland,5-14 years,female,0
Ireland,5-14 years,male,0
Ireland,35-54 years,male,77
Ireland,75+ years,male,11
Ireland,25-34 years,male,42
Ireland,55-74 years,male,42
Ireland,15-24 years,male,41
Ireland,55-74 years,female,24
Ireland,35-54 years,female,21
Ireland,75+ years,female,5
Ireland,25-34 years,female,8
Ireland,15-24 years,female,7
Ireland,5-14 years,female,0
Ireland,5-14 years,male,0
Ireland,55-74 years,male,58
Ireland,25-34 years,male,51
Ireland,35-54 years,male,85
Ireland,75+ years,male,9
Ireland,15-24 years,male,44
Ireland,25-34 years,female,20
Ireland,55-74 years,female,20
Ireland,35-54 years,female,29
Ireland,15-24 years,female,12
Ireland,75+ years,female,2
Ireland,5-14 years,male,4
Ireland,5-14 years,female,0
Ireland,25-34 years,male,69
Ireland,35-54 years,male,91
