country,age,sex,suicides_no
Israel,75+ years,male,24
Israel,55-74 years,male,48
Israel,75+ years,female,10
Israel,35-54 years,male,41
Israel,55-74 years,female,28
Israel,25-34 years,male,27
Israel,15-24 years,male,19
Israel,35-54 years,female,19
Israel,25-34 years,female,11
Israel,15-24 years,female,7
Israel,5-14 years,female,0
Israel,5-14 years,male,0
Israel,75+ years,male,28
Israel,55-74 years,male,56
Israel,75+ years,female,14
Israel,35-54 years,male,47
Israel,55-74 years,female,32
Israel,25-34 years,male,25
Israel,15-24 years,male,25
Israel,35-54 years,female,22
Israel,15-24 years,female,16
Israel,25-34 years,female,12
Israel,5-14 years,male,1
Israel,5-14 years,female,0
Israel,75+ years,male,32
Israel,55-74 years,male,57
Israel,75+ years,female,18
Israel,35-54 years,male,45
Israel,25-34 years,male,33
Israel,55-74 years,female,24
Israel,15-24 years,male,26
Israel,25-34 years,female,13
Israel,35-54 years,female,16
Israel,15-24 years,female,7
Israel,5-14 years,female,0
Israel,5-14 years,male,0
Israel,75+ years,male,23
Israel,55-74 years,male,51
Israel,75+ years,female,14
Israel,35-54 years,male,62
Israel,25-34 years,male,41
Israel,55-74 years,female,30
Israel,15-24 years,male,36
Israel,35-54 years,female,29
Israel,25-34 years,female,8
Israel,15-24 years,female,8
Israel,5-14 years,male,1
Israel,5-14 years,female,0
Israel,75+ years,male,45
Israel,55-74 years,male,71
Israel,75+ years,female,25
Israel,35-54 years,male,62
Israel,25-34 years,male,43
Israel,55-74 years,female,33
Israel,15-24 years,male,25
Israel,25-34 years,female,17
Israel,15-24 years,female,14
Israel,35-54 years,female,15
Israel,5-14 years,male,2
Israel,5-14 years,female,1
Israel,75+ years,male,29
Israel,55-74 years,male,52
Israel,25-34 years,male,48
Israel,35-54 years,male,61
Israel,75+ years,female,12
Israel,55-74 years,female,23
Israel,15-24 years,male,28
Israel,35-54 years,female,22
Israel,25-34 years,female,14
Israel,15-24 years,female,13
Israel,5-14 years,male,2
Israel,5-14 years,female,0
Israel,75+ years,male,35
Israel,55-74 years,male,60
Israel,75+ years,female,20
Israel,35-54 years,male,74
Israel,25-34 years,male,41
Israel,15-24 years,male,49
Israel,55-74 years,female,32
Israel,35-54 years,female,27
Israel,25-34 years,female,9
Israel,15-24 years,female,9
Israel,5-14 years,male,3
Israel,5-14 years,female,0
Israel,75+ years,male,27
Israel,55-74 years,male,77
Israel,35-54 years,male,74
Israel,75+ years,female,14
Israel,15-24 years,male,54
Israel,25-34 years,male,42
Israel,55-74 years,female,36
Israel,25-34 years,female,17
Israel,35-54 years,female,24
Israel,15-24 years,female,11
Israel,5-14 years,male,4
Israel,5-14 years,female,1
Israel,75+ years,male,38
Israel,55-74 years,male,64
Israel,75+ years,female,18
Israel,25-34 years,male,47
Israel,35-54 years,male,69
Israel,15-24 years,male,54
