country,age,sex,suicides_no
Italy,75+ years,male,542
Italy,55-74 years,male,1307
Italy,35-54 years,male,902
Italy,75+ years,female,239
Italy,55-74 years,female,596
Italy,25-34 years,male,361
Italy,15-24 years,male,249
Italy,35-54 years,female,382
Italy,25-34 years,female,106
Italy,15-24 years,female,60
Italy,5-14 years,male,10
Italy,5-14 years,female,5
Italy,75+ years,male,568
Italy,55-74 years,male,1164
Italy,35-54 years,male,929
Italy,75+ years,female,247
Italy,55-74 years,female,582
Italy,25-34 years,male,380
Italy,35-54 years,female,397
Italy,15-24 years,male,237
Italy,25-34 years,female,97
Italy,15-24 years,female,72
Italy,5-14 years,male,15
Italy,5-14 years,female,3
Italy,75+ years,male,563
Italy,55-74 years,male,1146
Italy,35-54 years,male,873
Italy,75+ years,female,248
Italy,25-34 years,male,425
Italy,55-74 years,female,496
Italy,15-24 years,male,245
Italy,35-54 years,female,343
Italy,25-34 years,female,99
Italy,15-24 years,female,63
Italy,5-14 years,male,11
Italy,5-14 years,female,4
Italy,75+ years,male,591
Italy,55-74 years,male,1073
Italy,75+ years,female,244
Italy,35-54 years,male,799
Italy,25-34 years,male,385
Italy,55-74 years,female,512
Italy,15-24 years,male,237
Italy,35-54 years,female,346
Italy,25-34 years,female,115
Italy,15-24 years,female,65
Italy,5-14 years,male,10
Italy,5-14 years,female,4
Italy,75+ years,male,564
Italy,55-74 years,male,1048
Italy,35-54 years,male,826
Italy,25-34 years,male,433
Italy,75+ years,female,217
Italy,55-74 years,female,462
Italy,15-24 years,male,243
Italy,35-54 years,female,321
Italy,25-34 years,female,138
Italy,15-24 years,female,73
Italy,5-14 years,male,10
Italy,5-14 years,female,7
Italy,75+ years,male,670
Italy,55-74 years,male,980
Italy,35-54 years,male,802
Italy,25-34 years,male,443
Italy,75+ years,female,224
Italy,55-74 years,female,452
Italy,15-24 years,male,275
Italy,35-54 years,female,317
Italy,25-34 years,female,132
Italy,15-24 years,female,90
Italy,5-14 years,male,11
Italy,5-14 years,female,6
Italy,75+ years,male,572
Italy,55-74 years,male,1074
Italy,35-54 years,male,846
Italy,25-34 years,male,448
Italy,75+ years,female,231
Italy,55-74 years,female,466
Italy,15-24 years,male,258
Italy,35-54 years,female,336
Italy,25-34 years,female,142
Italy,15-24 years,female,70
Italy,5-14 years,male,8
Italy,5-14 years,female,2
Italy,75+ years,male,564
Italy,55-74 years,male,1062
Italy,35-54 years,male,917
Italy,25-34 years,male,486
Italy,75+ years,female,209
Italy,55-74 years,female,466
Italy,15-24 years,male,298
Italy,35-54 years,female,338
Italy,25-34 years,female,111
