country,age,sex,suicides_no
Jamaica,75+ years,male,1
Jamaica,75+ years,female,1
Jamaica,15-24 years,male,3
Jamaica,25-34 years,male,1
Jamaica,35-54 years,male,1
Jamaica,35-54 years,female,1
Jamaica,15-24 years,female,0
Jamaica,25-34 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,5-14 years,male,0
Jamaica,55-74 years,male,0
Jamaica,35-54 years,male,1
Jamaica,15-24 years,female,0
Jamaica,25-34 years,female,0
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,15-24 years,male,0
Jamaica,25-34 years,male,0
Jamaica,5-14 years,male,0
Jamaica,55-74 years,male,0
Jamaica,75+ years,male,0
Jamaica,55-74 years,male,4
Jamaica,15-24 years,male,5
Jamaica,25-34 years,male,1
Jamaica,25-34 years,female,1
Jamaica,35-54 years,female,1
Jamaica,5-14 years,female,1
Jamaica,15-24 years,female,0
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,35-54 years,male,0
Jamaica,5-14 years,male,0
Jamaica,75+ years,male,0
Jamaica,75+ years,female,1
Jamaica,15-24 years,male,2
Jamaica,35-54 years,male,1
Jamaica,25-34 years,female,1
Jamaica,15-24 years,female,0
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,25-34 years,male,0
Jamaica,5-14 years,male,0
Jamaica,55-74 years,male,0
Jamaica,75+ years,male,0
Jamaica,15-24 years,female,0
Jamaica,25-34 years,female,0
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,15-24 years,male,0
Jamaica,25-34 years,male,0
Jamaica,35-54 years,male,0
Jamaica,5-14 years,male,0
Jamaica,55-74 years,male,0
Jamaica,75+ years,male,0
Jamaica,15-24 years,male,2
Jamaica,35-54 years,male,1
Jamaica,15-24 years,female,0
Jamaica,25-34 years,female,0
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,25-34 years,male,0
Jamaica,5-14 years,male,0
Jamaica,55-74 years,male,0
Jamaica,75+ years,male,0
Jamaica,55-74 years,male,1
Jamaica,15-24 years,female,0
Jamaica,25-34 years,female,0
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,15-24 years,male,0
Jamaica,25-34 years,male,0
Jamaica,35-54 years,male,0
Jamaica,5-14 years,male,0
Jamaica,75+ years,male,0
Jamaica,35-54 years,male,2
Jamaica,15-24 years,male,1
Jamaica,15-24 years,female,0
Jamaica,25-34 years,female,0
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,25-34 years,male,0
Jamaica,5-14 years,male,0
Jamaica,55-74 years,male,0
Jamaica,75+ years,male,0
Jamaica,55-74 years,male,2
Jamaica,25-34 years,male,1
Jamaica,15-24 years,female,1
Jamaica,35-54 years,male,1
Jamaica,25-34 years,female,0
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,15-24 years,male,0
Jamaica,5-14 years,male,0
Jamaica,75+ years,male,0
Jamaica,35-54 years,male,2
Jamaica,15-24 years,female,0
Jamaica,25-34 years,female,0
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,15-24 years,male,0
Jamaica,25-34 years,male,0
Jamaica,5-14 years,male,0
Jamaica,55-74 years,male,0
Jamaica,75+ years,male,0
Jamaica,25-34 years,male,1
Jamaica,15-24 years,female,1
Jamaica,25-34 years,female,0
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,15-24 years,male,0
Jamaica,35-54 years,male,0
Jamaica,5-14 years,male,0
Jamaica,55-74 years,male,0
Jamaica,75+ years,male,0
Jamaica,55-74 years,male,1
Jamaica,15-24 years,female,0
Jamaica,25-34 years,female,0
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,15-24 years,male,0
Jamaica,25-34 years,male,0
Jamaica,35-54 years,male,0
Jamaica,5-14 years,male,0
Jamaica,75+ years,male,0
Jamaica,25-34 years,male,13
Jamaica,55-74 years,male,7
Jamaica,35-54 years,male,14
Jamaica,75+ years,male,2
Jamaica,15-24 years,male,6
Jamaica,35-54 years,female,5
Jamaica,25-34 years,female,1
Jamaica,15-24 years,female,1
Jamaica,5-14 years,female,1
Jamaica,5-14 years,male,1
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,15-24 years,female,0
Jamaica,25-34 years,female,0
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,15-24 years,male,0
Jamaica,25-34 years,male,0
Jamaica,35-54 years,male,0
Jamaica,5-14 years,male,0
Jamaica,55-74 years,male,0
Jamaica,75+ years,male,0
Jamaica,75+ years,male,3
Jamaica,25-34 years,male,9
Jamaica,55-74 years,male,6
Jamaica,35-54 years,male,9
Jamaica,15-24 years,male,5
Jamaica,55-74 years,female,1
Jamaica,25-34 years,female,1
Jamaica,15-24 years,female,1
Jamaica,5-14 years,male,1
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,75+ years,female,0
Jamaica,25-34 years,male,1
Jamaica,5-14 years,male,1
Jamaica,35-54 years,male,1
Jamaica,15-24 years,female,0
Jamaica,25-34 years,female,0
Jamaica,35-54 years,female,0
Jamaica,5-14 years,female,0
Jamaica,55-74 years,female,0
Jamaica,75+ years,female,0
Jamaica,15-24 years,male,0
Jamaica,55-74 years,male,0
Jamaica,75+ years,male,0
Jamaica,75+ years,male,4
Jamaica,55-74 years,male,11
Jamaica,35-54 years,male,14
Jamaica,25-34 years,male,7
Jamaica,15-24 years,male,5
