country,age,sex,suicides_no
Japan,75+ years,male,1340
Japan,75+ years,female,1553
Japan,55-74 years,male,3763
Japan,35-54 years,male,6962
Japan,25-34 years,male,1982
Japan,55-74 years,female,2543
Japan,35-54 years,female,2582
Japan,15-24 years,male,1139
Japan,25-34 years,female,817
Japan,15-24 years,female,491
Japan,5-14 years,male,59
Japan,5-14 years,female,26
Japan,75+ years,male,1488
Japan,75+ years,female,1801
Japan,55-74 years,male,4171
Japan,35-54 years,male,7298
Japan,55-74 years,female,2877
Japan,25-34 years,male,2057
Japan,35-54 years,female,2787
Japan,15-24 years,male,1263
Japan,25-34 years,female,936
Japan,15-24 years,female,680
Japan,5-14 years,male,73
Japan,5-14 years,female,53
Japan,75+ years,male,1446
Japan,75+ years,female,1718
Japan,55-74 years,male,3988
Japan,35-54 years,male,6688
Japan,55-74 years,female,2938
Japan,25-34 years,male,1904
Japan,35-54 years,female,2496
Japan,15-24 years,male,1065
Japan,25-34 years,female,782
Japan,15-24 years,female,569
Japan,5-14 years,male,52
Japan,5-14 years,female,17
Japan,75+ years,male,1490
Japan,75+ years,female,1865
Japan,55-74 years,male,3851
Japan,35-54 years,male,6087
Japan,55-74 years,female,2853
Japan,25-34 years,male,1736
Japan,35-54 years,female,2438
Japan,15-24 years,male,973
Japan,25-34 years,female,721
Japan,15-24 years,female,583
Japan,5-14 years,male,49
Japan,5-14 years,female,30
Japan,75+ years,male,1463
Japan,75+ years,female,1844
Japan,55-74 years,male,3676
Japan,35-54 years,male,5161
Japan,55-74 years,female,2786
Japan,25-34 years,male,1582
Japan,35-54 years,female,2306
Japan,15-24 years,male,928
Japan,25-34 years,female,725
Japan,15-24 years,female,479
Japan,5-14 years,male,36
Japan,5-14 years,female,27
Japan,75+ years,male,1405
Japan,75+ years,female,1814
Japan,55-74 years,male,3654
Japan,35-54 years,male,4822
Japan,55-74 years,female,2607
Japan,25-34 years,male,1462
Japan,35-54 years,female,2184
Japan,15-24 years,male,875
Japan,25-34 years,female,698
Japan,15-24 years,female,434
Japan,5-14 years,male,30
Japan,5-14 years,female,17
Japan,75+ years,male,1354
Japan,75+ years,female,1687
Japan,55-74 years,male,3779
Japan,35-54 years,male,4935
Japan,55-74 years,female,2561
Japan,25-34 years,male,1419
Japan,35-54 years,female,2039
Japan,15-24 years,male,891
Japan,25-34 years,female,637
Japan,15-24 years,female,442
Japan,5-14 years,male,22
Japan,5-14 years,female,14
Japan,75+ years,male,1423
Japan,75+ years,female,1702
Japan,55-74 years,male,4155
Japan,35-54 years,male,5269
Japan,55-74 years,female,2555
Japan,25-34 years,male,1501
Japan,35-54 years,female,1998
Japan,15-24 years,male,996
Japan,25-34 years,female,633
Japan,15-24 years,female,440
Japan,5-14 years,male,52
Japan,5-14 years,female,32
Japan,75+ years,male,1258
Japan,75+ years,female,1566
Japan,55-74 years,male,4185
Japan,35-54 years,male,5472
Japan,25-34 years,male,1473
Japan,55-74 years,female,2418
Japan,35-54 years,female,1955
Japan,15-24 years,male,974
Japan,25-34 years,female,598
Japan,15-24 years,female,404
Japan,5-14 years,male,32
Japan,5-14 years,female,18
Japan,75+ years,male,1364
Japan,55-74 years,male,4256
Japan,75+ years,female,1538
Japan,35-54 years,male,5439
Japan,25-34 years,male,1631
Japan,55-74 years,female,2314
Japan,15-24 years,male,1147
Japan,35-54 years,female,1846
Japan,25-34 years,female,670
Japan,15-24 years,female,463
Japan,5-14 years,male,55
Japan,5-14 years,female,21
Japan,75+ years,male,1358
Japan,55-74 years,male,4429
Japan,75+ years,female,1582
Japan,35-54 years,male,5507
Japan,25-34 years,male,1692
Japan,55-74 years,female,2426
Japan,15-24 years,male,1050
Japan,35-54 years,female,1984
Japan,25-34 years,female,667
Japan,15-24 years,female,488
Japan,5-14 years,male,43
Japan,5-14 years,female,23
Japan,75+ years,male,1339
Japan,55-74 years,male,4870
Japan,75+ years,female,1614
Japan,35-54 years,male,5725
Japan,25-34 years,male,1690
Japan,55-74 years,female,2513
Japan,15-24 years,male,1036
Japan,35-54 years,female,1944
Japan,25-34 years,female,698
Japan,15-24 years,female,474
Japan,5-14 years,male,41
Japan,5-14 years,female,23
Japan,75+ years,male,1429
Japan,55-74 years,male,5435
Japan,35-54 years,male,5984
