country,age,sex,suicides_no
Kazakhstan,75+ years,male,82
Kazakhstan,35-54 years,male,925
Kazakhstan,55-74 years,male,356
Kazakhstan,25-34 years,male,602
Kazakhstan,75+ years,female,85
Kazakhstan,15-24 years,male,375
Kazakhstan,55-74 years,female,188
Kazakhstan,15-24 years,female,170
Kazakhstan,35-54 years,female,225
Kazakhstan,25-34 years,female,104
Kazakhstan,5-14 years,male,53
Kazakhstan,5-14 years,female,7
Kazakhstan,75+ years,male,74
Kazakhstan,35-54 years,male,866
Kazakhstan,55-74 years,male,354
Kazakhstan,25-34 years,male,621
Kazakhstan,75+ years,female,91
Kazakhstan,15-24 years,male,405
Kazakhstan,55-74 years,female,166
Kazakhstan,15-24 years,female,139
Kazakhstan,35-54 years,female,185
Kazakhstan,25-34 years,female,104
Kazakhstan,5-14 years,male,66
Kazakhstan,5-14 years,female,11
Kazakhstan,75+ years,male,64
Kazakhstan,35-54 years,male,925
Kazakhstan,55-74 years,male,390
Kazakhstan,25-34 years,male,676
Kazakhstan,15-24 years,male,453
Kazakhstan,75+ years,female,84
Kazakhstan,55-74 years,female,194
Kazakhstan,35-54 years,female,217
Kazakhstan,15-24 years,female,144
Kazakhstan,25-34 years,female,132
Kazakhstan,5-14 years,male,63
Kazakhstan,5-14 years,female,14
Kazakhstan,75+ years,male,77
Kazakhstan,55-74 years,male,545
Kazakhstan,35-54 years,male,1146
Kazakhstan,25-34 years,male,772
Kazakhstan,15-24 years,male,574
Kazakhstan,75+ years,female,69
Kazakhstan,55-74 years,female,229
Kazakhstan,15-24 years,female,173
Kazakhstan,35-54 years,female,219
Kazakhstan,25-34 years,female,119
Kazakhstan,5-14 years,male,76
Kazakhstan,5-14 years,female,20
Kazakhstan,75+ years,male,94
Kazakhstan,55-74 years,male,599
Kazakhstan,35-54 years,male,1246
Kazakhstan,25-34 years,male,735
Kazakhstan,15-24 years,male,520
Kazakhstan,75+ years,female,91
Kazakhstan,55-74 years,female,198
Kazakhstan,15-24 years,female,149
Kazakhstan,35-54 years,female,198
Kazakhstan,25-34 years,female,128
Kazakhstan,5-14 years,male,50
Kazakhstan,5-14 years,female,16
Kazakhstan,75+ years,male,76
Kazakhstan,55-74 years,male,737
Kazakhstan,35-54 years,male,1523
Kazakhstan,25-34 years,male,887
Kazakhstan,15-24 years,male,622
Kazakhstan,75+ years,female,86
Kazakhstan,55-74 years,female,208
Kazakhstan,35-54 years,female,216
Kazakhstan,15-24 years,female,145
Kazakhstan,25-34 years,female,130
Kazakhstan,5-14 years,male,61
Kazakhstan,5-14 years,female,15
Kazakhstan,35-54 years,male,1630
Kazakhstan,55-74 years,male,731
Kazakhstan,75+ years,male,64
Kazakhstan,25-34 years,male,879
Kazakhstan,15-24 years,male,635
Kazakhstan,75+ years,female,54
Kazakhstan,55-74 years,female,211
Kazakhstan,35-54 years,female,223
Kazakhstan,15-24 years,female,158
Kazakhstan,25-34 years,female,121
Kazakhstan,5-14 years,male,57
Kazakhstan,5-14 years,female,10
Kazakhstan,55-74 years,male,740
Kazakhstan,35-54 years,male,1577
Kazakhstan,25-34 years,male,810
Kazakhstan,75+ years,male,50
Kazakhstan,15-24 years,male,651
Kazakhstan,75+ years,female,59
Kazakhstan,55-74 years,female,164
Kazakhstan,15-24 years,female,175
Kazakhstan,35-54 years,female,216
Kazakhstan,25-34 years,female,131
Kazakhstan,5-14 years,male,53
Kazakhstan,5-14 years,female,16
Kazakhstan,55-74 years,male,692
Kazakhstan,35-54 years,male,1459
Kazakhstan,75+ years,male,58
Kazakhstan,25-34 years,male,727
Kazakhstan,15-24 years,male,594
Kazakhstan,75+ years,female,63
Kazakhstan,55-74 years,female,160
Kazakhstan,25-34 years,female,138
Kazakhstan,15-24 years,female,152
Kazakhstan,35-54 years,female,205
