country,age,sex,suicides_no
Kiribati,15-24 years,male,5
Kiribati,55-74 years,male,1
Kiribati,25-34 years,male,1
Kiribati,35-54 years,male,1
Kiribati,25-34 years,female,1
Kiribati,15-24 years,female,1
Kiribati,35-54 years,female,0
Kiribati,5-14 years,female,0
Kiribati,55-74 years,female,0
Kiribati,75+ years,female,0
Kiribati,5-14 years,male,0
Kiribati,75+ years,male,0
Kiribati,55-74 years,female,1
Kiribati,15-24 years,male,2
Kiribati,35-54 years,male,1
Kiribati,15-24 years,female,0
Kiribati,25-34 years,female,0
Kiribati,35-54 years,female,0
Kiribati,5-14 years,female,0
Kiribati,75+ years,female,0
Kiribati,25-34 years,male,0
Kiribati,5-14 years,male,0
Kiribati,55-74 years,male,0
Kiribati,75+ years,male,0
Kiribati,35-54 years,male,3
Kiribati,15-24 years,male,3
Kiribati,55-74 years,male,1
Kiribati,25-34 years,male,2
Kiribati,15-24 years,female,1
Kiribati,5-14 years,female,1
Kiribati,5-14 years,male,1
Kiribati,25-34 years,female,0
Kiribati,35-54 years,female,0
Kiribati,55-74 years,female,0
Kiribati,75+ years,female,0
Kiribati,75+ years,male,0
Kiribati,35-54 years,male,3
Kiribati,15-24 years,male,3
Kiribati,25-34 years,male,2
Kiribati,15-24 years,female,1
Kiribati,5-14 years,female,1
Kiribati,25-34 years,female,0
Kiribati,35-54 years,female,0
Kiribati,55-74 years,female,0
Kiribati,75+ years,female,0
Kiribati,5-14 years,male,0
Kiribati,55-74 years,male,0
Kiribati,75+ years,male,0
Kiribati,55-74 years,male,1
Kiribati,15-24 years,male,1
Kiribati,15-24 years,female,0
Kiribati,25-34 years,female,0
Kiribati,35-54 years,female,0
Kiribati,5-14 years,female,0
Kiribati,55-74 years,female,0
Kiribati,75+ years,female,0
Kiribati,25-34 years,male,0
Kiribati,35-54 years,male,0
Kiribati,5-14 years,male,0
Kiribati,75+ years,male,0
Kiribati,5-14 years,male,2
Kiribati,25-34 years,female,1
Kiribati,15-24 years,female,1
Kiribati,15-24 years,male,1
Kiribati,35-54 years,female,1
Kiribati,5-14 years,female,0
Kiribati,55-74 years,female,0
Kiribati,75+ years,female,0
Kiribati,25-34 years,male,0
Kiribati,35-54 years,male,0
Kiribati,55-74 years,male,0
Kiribati,75+ years,male,0
Kiribati,25-34 years,male,2
Kiribati,15-24 years,male,2
Kiribati,35-54 years,male,1
Kiribati,15-24 years,female,0
Kiribati,25-34 years,female,0
Kiribati,35-54 years,female,0
Kiribati,5-14 years,female,0
Kiribati,55-74 years,female,0
Kiribati,75+ years,female,0
Kiribati,5-14 years,male,0
Kiribati,55-74 years,male,0
Kiribati,75+ years,male,0
Kiribati,15-24 years,male,2
Kiribati,35-54 years,male,1
Kiribati,5-14 years,male,1
Kiribati,15-24 years,female,0
Kiribati,25-34 years,female,0
Kiribati,35-54 years,female,0
Kiribati,5-14 years,female,0
Kiribati,55-74 years,female,0
Kiribati,75+ years,female,0
Kiribati,25-34 years,male,0
Kiribati,55-74 years,male,0
Kiribati,75+ years,male,0
Kiribati,15-24 years,female,0
Kiribati,25-34 years,female,0
Kiribati,35-54 years,female,0
Kiribati,5-14 years,female,0
Kiribati,55-74 years,female,0
Kiribati,75+ years,female,0
Kiribati,15-24 years,male,0
Kiribati,25-34 years,male,0
Kiribati,35-54 years,male,0
Kiribati,5-14 years,male,0
Kiribati,55-74 years,male,0
Kiribati,75+ years,male,0
Kiribati,15-24 years,female,0
Kiribati,25-34 years,female,0
Kiribati,35-54 years,female,0
Kiribati,5-14 years,female,0
Kiribati,55-74 years,female,0
Kiribati,75+ years,female,0
Kiribati,15-24 years,male,0
Kiribati,25-34 years,male,0
Kiribati,35-54 years,male,0
Kiribati,5-14 years,male,0
Kiribati,55-74 years,male,0
Kiribati,75+ years,male,0
Kiribati,15-24 years,female,0
Kiribati,25-34 years,female,0
Kiribati,35-54 years,female,0
Kiribati,5-14 years,female,0
Kiribati,55-74 years,female,0
Kiribati,75+ years,female,0
Kiribati,15-24 years,male,0
Kiribati,25-34 years,male,0
Kiribati,35-54 years,male,0
Kiribati,5-14 years,male,0
Kiribati,55-74 years,male,0
Kiribati,75+ years,male,0
