country,age,sex,suicides_no
Kuwait,55-74 years,male,1
Kuwait,35-54 years,male,6
Kuwait,25-34 years,male,5
Kuwait,25-34 years,female,2
Kuwait,15-24 years,male,2
Kuwait,35-54 years,female,1
Kuwait,15-24 years,female,0
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
Kuwait,15-24 years,male,4
Kuwait,25-34 years,female,3
Kuwait,25-34 years,male,5
Kuwait,35-54 years,male,3
Kuwait,35-54 years,female,1
Kuwait,15-24 years,female,0
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,55-74 years,male,0
Kuwait,75+ years,male,0
Kuwait,55-74 years,female,1
Kuwait,25-34 years,male,6
Kuwait,35-54 years,male,4
Kuwait,35-54 years,female,2
Kuwait,25-34 years,female,1
Kuwait,15-24 years,female,1
Kuwait,15-24 years,male,1
Kuwait,5-14 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,55-74 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,female,4
Kuwait,25-34 years,male,6
Kuwait,55-74 years,male,1
Kuwait,35-54 years,male,4
Kuwait,35-54 years,female,2
Kuwait,15-24 years,male,1
Kuwait,15-24 years,female,0
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,female,7
Kuwait,35-54 years,female,5
Kuwait,25-34 years,male,8
Kuwait,35-54 years,male,7
Kuwait,55-74 years,male,1
Kuwait,15-24 years,male,2
Kuwait,15-24 years,female,0
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
Kuwait,15-24 years,male,5
Kuwait,25-34 years,male,9
Kuwait,35-54 years,male,7
Kuwait,35-54 years,female,2
Kuwait,25-34 years,female,2
Kuwait,15-24 years,female,1
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,55-74 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,female,8
Kuwait,55-74 years,male,2
Kuwait,25-34 years,male,10
Kuwait,15-24 years,female,3
Kuwait,35-54 years,male,6
Kuwait,15-24 years,male,1
Kuwait,35-54 years,female,0
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,female,7
Kuwait,15-24 years,female,5
Kuwait,35-54 years,female,5
Kuwait,25-34 years,male,10
Kuwait,55-74 years,male,1
Kuwait,15-24 years,male,2
Kuwait,35-54 years,male,3
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,female,6
Kuwait,35-54 years,female,6
Kuwait,25-34 years,male,10
Kuwait,15-24 years,female,3
Kuwait,35-54 years,male,8
Kuwait,55-74 years,male,1
Kuwait,15-24 years,male,1
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,male,16
Kuwait,25-34 years,female,7
Kuwait,35-54 years,male,14
Kuwait,35-54 years,female,5
Kuwait,15-24 years,male,2
Kuwait,15-24 years,female,1
Kuwait,5-14 years,male,1
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,55-74 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,female,10
Kuwait,25-34 years,male,11
Kuwait,15-24 years,male,3
Kuwait,55-74 years,male,1
Kuwait,15-24 years,female,2
Kuwait,35-54 years,male,5
Kuwait,35-54 years,female,2
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
Kuwait,35-54 years,male,15
Kuwait,25-34 years,male,8
Kuwait,25-34 years,female,3
Kuwait,15-24 years,male,2
Kuwait,35-54 years,female,2
Kuwait,15-24 years,female,0
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,55-74 years,male,0
Kuwait,75+ years,male,0
Kuwait,35-54 years,male,18
Kuwait,25-34 years,male,11
Kuwait,15-24 years,male,5
Kuwait,25-34 years,female,5
Kuwait,35-54 years,female,4
Kuwait,15-24 years,female,2
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,55-74 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,female,9
Kuwait,35-54 years,male,17
Kuwait,25-34 years,male,11
Kuwait,35-54 years,female,3
Kuwait,15-24 years,female,2
Kuwait,15-24 years,male,2
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,55-74 years,male,0
Kuwait,75+ years,male,0
Kuwait,35-54 years,male,17
Kuwait,25-34 years,female,7
Kuwait,35-54 years,female,7
Kuwait,15-24 years,male,5
Kuwait,25-34 years,male,6
Kuwait,15-24 years,female,3
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,55-74 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,male,21
Kuwait,35-54 years,male,17
Kuwait,25-34 years,female,7
Kuwait,15-24 years,female,3
Kuwait,55-74 years,male,1
Kuwait,15-24 years,male,2
Kuwait,35-54 years,female,1
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,male,18
Kuwait,35-54 years,male,14
Kuwait,25-34 years,female,5
Kuwait,55-74 years,female,1
Kuwait,35-54 years,female,3
Kuwait,15-24 years,female,2
Kuwait,15-24 years,male,2
Kuwait,5-14 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,55-74 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,male,21
Kuwait,25-34 years,female,7
Kuwait,55-74 years,male,2
Kuwait,15-24 years,male,5
Kuwait,35-54 years,female,6
Kuwait,35-54 years,male,9
Kuwait,15-24 years,female,1
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,male,13
Kuwait,35-54 years,male,14
Kuwait,15-24 years,male,5
Kuwait,25-34 years,female,6
Kuwait,55-74 years,female,1
Kuwait,35-54 years,female,5
Kuwait,55-74 years,male,1
Kuwait,15-24 years,female,2
Kuwait,5-14 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,female,11
Kuwait,35-54 years,male,22
Kuwait,25-34 years,male,14
Kuwait,35-54 years,female,6
Kuwait,15-24 years,male,4
Kuwait,55-74 years,female,1
Kuwait,15-24 years,female,3
Kuwait,5-14 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,55-74 years,male,0
Kuwait,75+ years,male,0
Kuwait,55-74 years,male,3
Kuwait,25-34 years,female,8
Kuwait,25-34 years,male,13
Kuwait,35-54 years,male,9
Kuwait,15-24 years,female,2
Kuwait,35-54 years,female,3
Kuwait,15-24 years,male,1
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,female,6
Kuwait,55-74 years,male,2
Kuwait,15-24 years,male,4
Kuwait,25-34 years,male,9
Kuwait,5-14 years,female,3
Kuwait,35-54 years,male,9
Kuwait,35-54 years,female,4
Kuwait,15-24 years,female,2
Kuwait,5-14 years,male,2
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,75+ years,male,0
Kuwait,15-24 years,male,10
Kuwait,55-74 years,female,2
Kuwait,25-34 years,female,8
Kuwait,35-54 years,male,17
Kuwait,15-24 years,female,4
Kuwait,25-34 years,male,8
Kuwait,35-54 years,female,5
Kuwait,55-74 years,male,1
Kuwait,5-14 years,male,1
Kuwait,5-14 years,female,0
Kuwait,75+ years,female,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,male,16
Kuwait,55-74 years,male,3
Kuwait,25-34 years,female,5
Kuwait,15-24 years,female,3
Kuwait,35-54 years,female,5
Kuwait,35-54 years,male,7
Kuwait,15-24 years,male,2
Kuwait,5-14 years,female,0
Kuwait,55-74 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
Kuwait,25-34 years,male,22
Kuwait,15-24 years,male,7
Kuwait,15-24 years,female,5
Kuwait,35-54 years,male,18
Kuwait,55-74 years,male,3
Kuwait,35-54 years,female,8
Kuwait,55-74 years,female,1
Kuwait,25-34 years,female,4
Kuwait,5-14 years,female,0
Kuwait,75+ years,female,0
Kuwait,5-14 years,male,0
Kuwait,75+ years,male,0
