country,age,sex,suicides_no
Kyrgyzstan,75+ years,male,14
Kyrgyzstan,35-54 years,male,149
Kyrgyzstan,55-74 years,male,68
Kyrgyzstan,25-34 years,male,99
Kyrgyzstan,75+ years,female,15
Kyrgyzstan,55-74 years,female,38
Kyrgyzstan,15-24 years,male,54
Kyrgyzstan,35-54 years,female,36
Kyrgyzstan,15-24 years,female,31
Kyrgyzstan,25-34 years,female,23
Kyrgyzstan,5-14 years,male,16
Kyrgyzstan,5-14 years,female,4
Kyrgyzstan,75+ years,male,14
Kyrgyzstan,55-74 years,male,73
Kyrgyzstan,35-54 years,male,138
Kyrgyzstan,25-34 years,male,120
Kyrgyzstan,75+ years,female,14
Kyrgyzstan,55-74 years,female,38
Kyrgyzstan,15-24 years,male,49
Kyrgyzstan,15-24 years,female,36
Kyrgyzstan,35-54 years,female,26
Kyrgyzstan,25-34 years,female,16
Kyrgyzstan,5-14 years,male,16
Kyrgyzstan,5-14 years,female,3
Kyrgyzstan,75+ years,male,14
Kyrgyzstan,55-74 years,male,74
Kyrgyzstan,35-54 years,male,135
Kyrgyzstan,25-34 years,male,86
Kyrgyzstan,15-24 years,male,65
Kyrgyzstan,75+ years,female,7
Kyrgyzstan,55-74 years,female,25
Kyrgyzstan,15-24 years,female,30
Kyrgyzstan,35-54 years,female,21
Kyrgyzstan,25-34 years,female,19
Kyrgyzstan,5-14 years,male,11
Kyrgyzstan,5-14 years,female,4
Kyrgyzstan,75+ years,male,13
Kyrgyzstan,35-54 years,male,168
Kyrgyzstan,55-74 years,male,85
Kyrgyzstan,75+ years,female,16
Kyrgyzstan,25-34 years,male,92
Kyrgyzstan,15-24 years,male,73
Kyrgyzstan,55-74 years,female,34
Kyrgyzstan,35-54 years,female,31
Kyrgyzstan,25-34 years,female,21
Kyrgyzstan,15-24 years,female,16
Kyrgyzstan,5-14 years,male,11
Kyrgyzstan,5-14 years,female,3
Kyrgyzstan,75+ years,male,12
Kyrgyzstan,55-74 years,male,102
Kyrgyzstan,35-54 years,male,174
Kyrgyzstan,25-34 years,male,116
Kyrgyzstan,15-24 years,male,78
Kyrgyzstan,75+ years,female,8
Kyrgyzstan,55-74 years,female,28
Kyrgyzstan,35-54 years,female,25
Kyrgyzstan,15-24 years,female,12
Kyrgyzstan,25-34 years,female,10
Kyrgyzstan,5-14 years,male,11
Kyrgyzstan,5-14 years,female,5
Kyrgyzstan,35-54 years,male,180
Kyrgyzstan,55-74 years,male,88
Kyrgyzstan,75+ years,male,9
Kyrgyzstan,25-34 years,male,100
Kyrgyzstan,15-24 years,male,85
Kyrgyzstan,55-74 years,female,32
Kyrgyzstan,75+ years,female,6
Kyrgyzstan,15-24 years,female,41
Kyrgyzstan,35-54 years,female,35
Kyrgyzstan,25-34 years,female,21
Kyrgyzstan,5-14 years,male,5
Kyrgyzstan,5-14 years,female,3
Kyrgyzstan,55-74 years,male,81
Kyrgyzstan,75+ years,male,8
Kyrgyzstan,35-54 years,male,142
Kyrgyzstan,25-34 years,male,84
Kyrgyzstan,75+ years,female,12
Kyrgyzstan,15-24 years,male,71
Kyrgyzstan,55-74 years,female,17
Kyrgyzstan,25-34 years,female,21
Kyrgyzstan,15-24 years,female,18
Kyrgyzstan,35-54 years,female,17
Kyrgyzstan,5-14 years,male,6
Kyrgyzstan,5-14 years,female,3
Kyrgyzstan,55-74 years,male,72
Kyrgyzstan,75+ years,male,7
Kyrgyzstan,35-54 years,male,143
Kyrgyzstan,25-34 years,male,83
Kyrgyzstan,15-24 years,male,90
Kyrgyzstan,75+ years,female,7
Kyrgyzstan,55-74 years,female,21
Kyrgyzstan,35-54 years,female,24
Kyrgyzstan,25-34 years,female,17
Kyrgyzstan,15-24 years,female,17
Kyrgyzstan,5-14 years,male,14
Kyrgyzstan,5-14 years,female,1
Kyrgyzstan,55-74 years,male,79
Kyrgyzstan,75+ years,male,7
Kyrgyzstan,35-54 years,male,127
Kyrgyzstan,25-34 years,male,101
Kyrgyzstan,15-24 years,male,89
Kyrgyzstan,55-74 years,female,16
