country,age,sex,suicides_no
Latvia,55-74 years,male,239
Latvia,35-54 years,male,339
Latvia,75+ years,male,33
Latvia,25-34 years,male,146
Latvia,75+ years,female,34
Latvia,15-24 years,male,65
Latvia,35-54 years,female,81
Latvia,55-74 years,female,61
Latvia,25-34 years,female,12
Latvia,15-24 years,female,10
Latvia,5-14 years,male,3
Latvia,5-14 years,female,1
Latvia,55-74 years,male,219
Latvia,75+ years,male,31
Latvia,35-54 years,male,305
Latvia,25-34 years,male,116
Latvia,15-24 years,male,66
Latvia,75+ years,female,24
Latvia,35-54 years,female,72
Latvia,55-74 years,female,61
Latvia,25-34 years,female,18
Latvia,15-24 years,female,6
Latvia,5-14 years,male,4
Latvia,5-14 years,female,0
Latvia,75+ years,male,35
Latvia,55-74 years,male,201
Latvia,35-54 years,male,295
Latvia,25-34 years,male,108
Latvia,15-24 years,male,65
Latvia,75+ years,female,30
Latvia,55-74 years,female,63
Latvia,35-54 years,female,57
Latvia,25-34 years,female,18
Latvia,15-24 years,female,9
Latvia,5-14 years,female,3
Latvia,5-14 years,male,2
Latvia,35-54 years,male,309
Latvia,75+ years,male,27
Latvia,55-74 years,male,174
Latvia,25-34 years,male,105
Latvia,15-24 years,male,58
Latvia,75+ years,female,24
Latvia,35-54 years,female,61
Latvia,55-74 years,female,47
Latvia,15-24 years,female,14
Latvia,25-34 years,female,14
Latvia,5-14 years,male,5
Latvia,5-14 years,female,1
Latvia,75+ years,male,31
Latvia,55-74 years,male,172
Latvia,35-54 years,male,255
Latvia,25-34 years,male,94
Latvia,75+ years,female,29
Latvia,15-24 years,male,40
Latvia,55-74 years,female,56
Latvia,35-54 years,female,61
Latvia,15-24 years,female,13
Latvia,25-34 years,female,11
Latvia,5-14 years,male,1
Latvia,5-14 years,female,0
Latvia,75+ years,male,37
Latvia,35-54 years,male,265
Latvia,55-74 years,male,175
Latvia,25-34 years,male,83
Latvia,75+ years,female,31
Latvia,15-24 years,male,53
Latvia,55-74 years,female,58
Latvia,35-54 years,female,39
Latvia,25-34 years,female,15
Latvia,15-24 years,female,8
Latvia,5-14 years,male,5
Latvia,5-14 years,female,1
Latvia,55-74 years,male,165
Latvia,35-54 years,male,252
Latvia,75+ years,male,22
Latvia,25-34 years,male,85
Latvia,75+ years,female,29
Latvia,15-24 years,male,44
Latvia,55-74 years,female,47
Latvia,35-54 years,female,42
Latvia,25-34 years,female,13
Latvia,15-24 years,female,6
Latvia,5-14 years,male,3
Latvia,5-14 years,female,0
Latvia,35-54 years,male,229
Latvia,75+ years,male,24
Latvia,55-74 years,male,140
Latvia,25-34 years,male,71
Latvia,15-24 years,male,53
Latvia,75+ years,female,26
Latvia,55-74 years,female,59
Latvia,35-54 years,female,43
Latvia,25-34 years,female,14
Latvia,15-24 years,female,7
Latvia,5-14 years,male,4
Latvia,5-14 years,female,0
Latvia,75+ years,male,34
Latvia,35-54 years,male,204
Latvia,55-74 years,male,125
Latvia,25-34 years,male,72
Latvia,15-24 years,male,44
Latvia,75+ years,female,22
Latvia,55-74 years,female,41
Latvia,35-54 years,female,35
Latvia,25-34 years,female,14
Latvia,15-24 years,female,9
Latvia,5-14 years,male,3
Latvia,5-14 years,female,1
Latvia,75+ years,male,28
Latvia,55-74 years,male,136
Latvia,35-54 years,male,191
Latvia,25-34 years,male,60
Latvia,75+ years,female,25
Latvia,15-24 years,male,40
Latvia,55-74 years,female,38
Latvia,25-34 years,female,13
Latvia,35-54 years,female,23
Latvia,15-24 years,female,7
Latvia,5-14 years,male,2
Latvia,5-14 years,female,0
Latvia,35-54 years,male,182
Latvia,55-74 years,male,114
Latvia,25-34 years,male,81
Latvia,75+ years,male,19
Latvia,75+ years,female,31
Latvia,15-24 years,male,45
Latvia,55-74 years,female,44
Latvia,35-54 years,female,32
