country,age,sex,suicides_no
Lithuania,35-54 years,male,632
Lithuania,75+ years,male,67
Lithuania,55-74 years,male,325
Lithuania,25-34 years,male,226
Lithuania,15-24 years,male,134
Lithuania,75+ years,female,37
Lithuania,55-74 years,female,101
Lithuania,35-54 years,female,113
Lithuania,25-34 years,female,33
Lithuania,15-24 years,female,20
Lithuania,5-14 years,male,4
Lithuania,5-14 years,female,2
Lithuania,35-54 years,male,664
Lithuania,55-74 years,male,336
Lithuania,75+ years,male,40
Lithuania,25-34 years,male,196
Lithuania,15-24 years,male,147
Lithuania,75+ years,female,39
Lithuania,55-74 years,female,118
Lithuania,35-54 years,female,129
Lithuania,25-34 years,female,27
Lithuania,15-24 years,female,20
Lithuania,5-14 years,male,5
Lithuania,5-14 years,female,1
Lithuania,35-54 years,male,637
Lithuania,55-74 years,male,294
Lithuania,25-34 years,male,231
Lithuania,75+ years,male,39
Lithuania,15-24 years,male,144
Lithuania,75+ years,female,29
Lithuania,55-74 years,female,94
Lithuania,35-54 years,female,109
Lithuania,25-34 years,female,31
Lithuania,15-24 years,female,17
Lithuania,5-14 years,female,4
Lithuania,5-14 years,male,3
Lithuania,35-54 years,male,557
Lithuania,55-74 years,male,345
Lithuania,75+ years,male,47
Lithuania,25-34 years,male,222
Lithuania,15-24 years,male,112
Lithuania,75+ years,female,40
Lithuania,35-54 years,female,107
Lithuania,55-74 years,female,80
Lithuania,15-24 years,female,22
Lithuania,25-34 years,female,18
Lithuania,5-14 years,male,2
Lithuania,5-14 years,female,1
Lithuania,35-54 years,male,592
Lithuania,55-74 years,male,284
Lithuania,75+ years,male,48
Lithuania,25-34 years,male,224
Lithuania,15-24 years,male,129
Lithuania,75+ years,female,37
Lithuania,55-74 years,female,84
Lithuania,35-54 years,female,97
Lithuania,15-24 years,female,24
Lithuania,25-34 years,female,22
Lithuania,5-14 years,male,8
Lithuania,5-14 years,female,1
Lithuania,35-54 years,male,595
Lithuania,55-74 years,male,324
Lithuania,25-34 years,male,221
Lithuania,75+ years,male,40
Lithuania,15-24 years,male,131
Lithuania,75+ years,female,36
Lithuania,55-74 years,female,101
Lithuania,35-54 years,female,121
Lithuania,25-34 years,female,31
Lithuania,15-24 years,female,25
Lithuania,5-14 years,male,6
Lithuania,5-14 years,female,0
Lithuania,35-54 years,male,559
Lithuania,55-74 years,male,322
Lithuania,75+ years,male,57
Lithuania,25-34 years,male,190
Lithuania,15-24 years,male,119
Lithuania,75+ years,female,40
Lithuania,35-54 years,female,113
Lithuania,55-74 years,female,87
Lithuania,25-34 years,female,19
Lithuania,15-24 years,female,18
Lithuania,5-14 years,male,8
Lithuania,5-14 years,female,1
Lithuania,35-54 years,male,613
Lithuania,55-74 years,male,285
Lithuania,75+ years,male,47
Lithuania,25-34 years,male,204
Lithuania,15-24 years,male,156
Lithuania,75+ years,female,39
Lithuania,55-74 years,female,85
Lithuania,35-54 years,female,74
Lithuania,25-34 years,female,28
Lithuania,15-24 years,female,15
Lithuania,5-14 years,male,4
Lithuania,5-14 years,female,1
