country,age,sex,suicides_no
Maldives,15-24 years,female,0
Maldives,25-34 years,female,0
Maldives,35-54 years,female,0
Maldives,5-14 years,female,0
Maldives,55-74 years,female,0
Maldives,75+ years,female,0
Maldives,15-24 years,male,0
Maldives,25-34 years,male,0
Maldives,35-54 years,male,0
Maldives,5-14 years,male,0
Maldives,55-74 years,male,0
Maldives,75+ years,male,0
Maldives,75+ years,female,1
Maldives,25-34 years,male,1
Maldives,15-24 years,male,1
Maldives,15-24 years,female,0
Maldives,25-34 years,female,0
Maldives,35-54 years,female,0
Maldives,5-14 years,female,0
Maldives,55-74 years,female,0
Maldives,35-54 years,male,0
Maldives,5-14 years,male,0
Maldives,55-74 years,male,0
Maldives,75+ years,male,0
Maldives,35-54 years,male,1
Maldives,15-24 years,female,1
Maldives,15-24 years,male,1
Maldives,25-34 years,female,0
Maldives,35-54 years,female,0
Maldives,5-14 years,female,0
Maldives,55-74 years,female,0
Maldives,75+ years,female,0
Maldives,25-34 years,male,0
Maldives,5-14 years,male,0
Maldives,55-74 years,male,0
Maldives,75+ years,male,0
Maldives,35-54 years,male,3
Maldives,35-54 years,female,1
Maldives,15-24 years,female,0
Maldives,25-34 years,female,0
Maldives,5-14 years,female,0
Maldives,55-74 years,female,0
Maldives,75+ years,female,0
Maldives,15-24 years,male,0
Maldives,25-34 years,male,0
Maldives,5-14 years,male,0
Maldives,55-74 years,male,0
Maldives,75+ years,male,0
Maldives,35-54 years,female,1
Maldives,15-24 years,female,0
Maldives,25-34 years,female,0
Maldives,5-14 years,female,0
Maldives,55-74 years,female,0
Maldives,75+ years,female,0
Maldives,15-24 years,male,0
Maldives,25-34 years,male,0
Maldives,35-54 years,male,0
Maldives,5-14 years,male,0
Maldives,55-74 years,male,0
Maldives,75+ years,male,0
Maldives,5-14 years,male,1
Maldives,15-24 years,female,0
Maldives,25-34 years,female,0
Maldives,35-54 years,female,0
Maldives,5-14 years,female,0
Maldives,55-74 years,female,0
Maldives,75+ years,female,0
Maldives,15-24 years,male,0
Maldives,25-34 years,male,0
Maldives,35-54 years,male,0
Maldives,55-74 years,male,0
Maldives,75+ years,male,0
Maldives,25-34 years,male,2
Maldives,25-34 years,female,1
Maldives,15-24 years,female,1
Maldives,15-24 years,male,1
Maldives,35-54 years,female,0
Maldives,5-14 years,female,0
Maldives,55-74 years,female,0
Maldives,75+ years,female,0
Maldives,35-54 years,male,0
Maldives,5-14 years,male,0
Maldives,55-74 years,male,0
Maldives,75+ years,male,0
Maldives,15-24 years,female,0
Maldives,25-34 years,female,0
Maldives,35-54 years,female,0
Maldives,5-14 years,female,0
Maldives,55-74 years,female,0
Maldives,75+ years,female,0
Maldives,15-24 years,male,0
Maldives,25-34 years,male,0
Maldives,35-54 years,male,0
Maldives,5-14 years,male,0
Maldives,55-74 years,male,0
Maldives,75+ years,male,0
Maldives,15-24 years,male,1
Maldives,15-24 years,female,0
Maldives,25-34 years,female,0
Maldives,35-54 years,female,0
Maldives,5-14 years,female,0
Maldives,55-74 years,female,0
Maldives,75+ years,female,0
Maldives,25-34 years,male,0
Maldives,35-54 years,male,0
Maldives,5-14 years,male,0
Maldives,55-74 years,male,0
Maldives,75+ years,male,0
Maldives,5-14 years,male,1
Maldives,25-34 years,male,1
Maldives,15-24 years,female,0
Maldives,25-34 years,female,0
Maldives,35-54 years,female,0
Maldives,5-14 years,female,0
Maldives,55-74 years,female,0
Maldives,75+ years,female,0
Maldives,15-24 years,male,0
Maldives,35-54 years,male,0
Maldives,55-74 years,male,0
Maldives,75+ years,male,0
