country,age,sex,suicides_no
Malta,55-74 years,male,1
Malta,15-24 years,male,1
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,35-54 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,75+ years,female,0
Malta,25-34 years,male,0
Malta,35-54 years,male,0
Malta,5-14 years,male,0
Malta,75+ years,male,0
Malta,25-34 years,female,1
Malta,15-24 years,female,0
Malta,35-54 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,75+ years,female,0
Malta,15-24 years,male,0
Malta,25-34 years,male,0
Malta,35-54 years,male,0
Malta,5-14 years,male,0
Malta,55-74 years,male,0
Malta,75+ years,male,0
Malta,75+ years,male,1
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,35-54 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,75+ years,female,0
Malta,15-24 years,male,0
Malta,25-34 years,male,0
Malta,35-54 years,male,0
Malta,5-14 years,male,0
Malta,55-74 years,male,0
Malta,25-34 years,male,3
Malta,15-24 years,male,2
Malta,35-54 years,male,3
Malta,25-34 years,female,1
Malta,15-24 years,female,0
Malta,35-54 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,55-74 years,male,0
Malta,75+ years,male,0
Malta,15-24 years,male,5
Malta,75+ years,male,1
Malta,55-74 years,male,4
Malta,25-34 years,male,4
Malta,35-54 years,male,4
Malta,25-34 years,female,2
Malta,35-54 years,female,3
Malta,15-24 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,35-54 years,male,4
Malta,15-24 years,male,2
Malta,55-74 years,male,1
Malta,25-34 years,male,1
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,35-54 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,75+ years,male,0
Malta,15-24 years,male,3
Malta,25-34 years,male,3
Malta,35-54 years,male,3
Malta,35-54 years,female,1
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,55-74 years,male,0
Malta,75+ years,male,0
Malta,75+ years,male,2
Malta,25-34 years,male,4
Malta,55-74 years,male,3
Malta,55-74 years,female,3
Malta,15-24 years,male,2
Malta,35-54 years,female,3
Malta,35-54 years,male,1
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,5-14 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,25-34 years,male,4
Malta,35-54 years,female,4
Malta,55-74 years,male,2
Malta,55-74 years,female,2
Malta,35-54 years,male,2
Malta,25-34 years,female,1
Malta,15-24 years,male,1
Malta,15-24 years,female,0
Malta,5-14 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,75+ years,male,0
Malta,75+ years,male,1
Malta,75+ years,female,1
Malta,25-34 years,male,3
Malta,15-24 years,male,3
Malta,35-54 years,male,5
Malta,35-54 years,female,2
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,5-14 years,male,0
Malta,55-74 years,male,0
Malta,15-24 years,male,4
Malta,35-54 years,male,4
Malta,35-54 years,female,4
Malta,55-74 years,male,2
Malta,25-34 years,female,1
Malta,25-34 years,male,1
Malta,55-74 years,female,1
Malta,15-24 years,female,0
Malta,5-14 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,75+ years,male,0
Malta,75+ years,male,1
Malta,25-34 years,male,3
Malta,15-24 years,male,3
Malta,25-34 years,female,1
Malta,55-74 years,male,1
Malta,35-54 years,male,1
Malta,15-24 years,female,0
Malta,35-54 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,75+ years,male,2
Malta,15-24 years,male,3
Malta,25-34 years,female,2
Malta,25-34 years,male,2
Malta,35-54 years,male,4
Malta,15-24 years,female,1
Malta,55-74 years,female,1
Malta,35-54 years,female,0
Malta,5-14 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,55-74 years,male,0
Malta,55-74 years,male,4
Malta,35-54 years,male,6
Malta,25-34 years,male,1
Malta,35-54 years,female,1
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,75+ years,female,0
Malta,15-24 years,male,0
Malta,5-14 years,male,0
Malta,75+ years,male,0
Malta,25-34 years,male,6
Malta,35-54 years,male,11
Malta,75+ years,male,1
Malta,55-74 years,male,3
Malta,75+ years,female,1
Malta,55-74 years,female,2
Malta,15-24 years,female,1
Malta,15-24 years,male,1
Malta,35-54 years,female,1
Malta,25-34 years,female,0
Malta,5-14 years,female,0
Malta,5-14 years,male,0
Malta,75+ years,male,2
Malta,35-54 years,male,10
Malta,25-34 years,female,2
Malta,25-34 years,male,2
Malta,55-74 years,male,2
Malta,35-54 years,female,3
Malta,15-24 years,male,1
Malta,55-74 years,female,1
Malta,15-24 years,female,0
Malta,5-14 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,55-74 years,male,7
Malta,35-54 years,male,9
Malta,15-24 years,male,4
Malta,25-34 years,male,3
Malta,75+ years,female,1
Malta,35-54 years,female,3
Malta,25-34 years,female,1
Malta,15-24 years,female,1
Malta,55-74 years,female,1
Malta,5-14 years,female,0
Malta,5-14 years,male,0
Malta,75+ years,male,0
Malta,25-34 years,male,3
Malta,55-74 years,male,3
Malta,35-54 years,male,5
Malta,75+ years,female,1
Malta,25-34 years,female,2
Malta,55-74 years,female,3
Malta,35-54 years,female,2
Malta,15-24 years,female,0
Malta,5-14 years,female,0
Malta,15-24 years,male,0
Malta,5-14 years,male,0
Malta,75+ years,male,0
Malta,75+ years,male,2
Malta,25-34 years,male,6
Malta,55-74 years,male,4
Malta,35-54 years,male,4
Malta,25-34 years,female,1
Malta,15-24 years,male,1
Malta,55-74 years,female,1
Malta,35-54 years,female,1
Malta,15-24 years,female,0
Malta,5-14 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,75+ years,male,2
Malta,75+ years,female,2
Malta,55-74 years,male,4
Malta,35-54 years,male,6
Malta,35-54 years,female,4
Malta,15-24 years,female,2
Malta,15-24 years,male,2
Malta,55-74 years,female,2
Malta,25-34 years,female,0
Malta,5-14 years,female,0
Malta,25-34 years,male,0
Malta,5-14 years,male,0
Malta,75+ years,male,3
Malta,35-54 years,male,8
Malta,55-74 years,male,4
Malta,35-54 years,female,2
Malta,25-34 years,male,1
Malta,55-74 years,female,1
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,5-14 years,female,0
Malta,75+ years,female,0
Malta,15-24 years,male,0
Malta,5-14 years,male,0
Malta,75+ years,male,3
Malta,35-54 years,male,8
Malta,15-24 years,male,3
Malta,25-34 years,male,3
Malta,55-74 years,male,4
Malta,35-54 years,female,3
Malta,55-74 years,female,2
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,5-14 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,35-54 years,male,12
Malta,25-34 years,male,5
Malta,55-74 years,male,5
Malta,75+ years,male,1
Malta,15-24 years,male,2
Malta,75+ years,female,1
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,35-54 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,5-14 years,male,0
Malta,75+ years,male,1
Malta,55-74 years,male,4
Malta,35-54 years,male,5
Malta,35-54 years,female,2
Malta,15-24 years,male,1
Malta,25-34 years,male,1
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,25-34 years,male,9
Malta,75+ years,male,2
Malta,55-74 years,male,9
Malta,35-54 years,male,10
Malta,15-24 years,male,3
Malta,25-34 years,female,2
Malta,15-24 years,female,1
Malta,35-54 years,female,0
Malta,5-14 years,female,0
Malta,55-74 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,35-54 years,male,17
Malta,75+ years,male,2
Malta,15-24 years,male,3
Malta,25-34 years,male,3
Malta,55-74 years,male,4
Malta,55-74 years,female,2
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,35-54 years,female,0
Malta,5-14 years,female,0
Malta,75+ years,female,0
Malta,5-14 years,male,0
Malta,35-54 years,male,9
Malta,25-34 years,male,4
Malta,15-24 years,male,3
Malta,55-74 years,male,4
Malta,15-24 years,female,0
Malta,25-34 years,female,0
Malta,35-54 years,female,0
