country,age,sex,suicides_no
Mauritius,75+ years,female,2
Mauritius,25-34 years,male,19
Mauritius,35-54 years,male,18
Mauritius,55-74 years,male,9
Mauritius,15-24 years,male,21
Mauritius,15-24 years,female,18
Mauritius,55-74 years,female,4
Mauritius,25-34 years,female,6
Mauritius,35-54 years,female,6
Mauritius,5-14 years,male,1
Mauritius,5-14 years,female,0
Mauritius,75+ years,male,0
Mauritius,25-34 years,male,7
Mauritius,35-54 years,male,7
Mauritius,15-24 years,female,6
Mauritius,15-24 years,male,5
Mauritius,25-34 years,female,2
Mauritius,55-74 years,male,1
Mauritius,35-54 years,female,0
Mauritius,5-14 years,female,0
Mauritius,55-74 years,female,0
Mauritius,75+ years,female,0
Mauritius,5-14 years,male,0
Mauritius,75+ years,male,0
Mauritius,35-54 years,male,36
Mauritius,15-24 years,female,28
Mauritius,25-34 years,male,21
Mauritius,15-24 years,male,24
Mauritius,75+ years,female,2
Mauritius,55-74 years,male,6
Mauritius,25-34 years,female,10
Mauritius,55-74 years,female,3
Mauritius,35-54 years,female,6
Mauritius,5-14 years,female,4
Mauritius,5-14 years,male,0
Mauritius,75+ years,male,0
Mauritius,75+ years,male,3
Mauritius,35-54 years,male,44
Mauritius,55-74 years,male,14
Mauritius,25-34 years,male,28
Mauritius,15-24 years,female,21
Mauritius,15-24 years,male,21
Mauritius,25-34 years,female,19
Mauritius,35-54 years,female,11
Mauritius,55-74 years,female,3
Mauritius,5-14 years,female,2
Mauritius,5-14 years,male,1
Mauritius,75+ years,female,0
Mauritius,25-34 years,male,41
Mauritius,75+ years,male,2
Mauritius,35-54 years,male,37
Mauritius,75+ years,female,2
Mauritius,15-24 years,male,19
Mauritius,55-74 years,male,8
Mauritius,15-24 years,female,11
Mauritius,55-74 years,female,5
Mauritius,25-34 years,female,9
Mauritius,5-14 years,female,5
Mauritius,35-54 years,female,5
Mauritius,5-14 years,male,0
Mauritius,35-54 years,male,33
Mauritius,55-74 years,male,13
Mauritius,25-34 years,male,26
Mauritius,15-24 years,female,23
Mauritius,25-34 years,female,18
Mauritius,15-24 years,male,18
Mauritius,55-74 years,female,4
Mauritius,35-54 years,female,8
Mauritius,5-14 years,female,3
Mauritius,5-14 years,male,1
Mauritius,75+ years,female,0
Mauritius,75+ years,male,0
Mauritius,75+ years,male,3
Mauritius,25-34 years,male,37
Mauritius,55-74 years,male,12
Mauritius,35-54 years,male,27
Mauritius,15-24 years,female,15
Mauritius,15-24 years,male,15
Mauritius,25-34 years,female,11
Mauritius,55-74 years,female,5
Mauritius,35-54 years,female,9
Mauritius,5-14 years,female,3
Mauritius,75+ years,female,0
Mauritius,5-14 years,male,0
Mauritius,75+ years,male,3
Mauritius,35-54 years,male,47
Mauritius,25-34 years,male,24
Mauritius,15-24 years,male,17
Mauritius,55-74 years,male,8
Mauritius,15-24 years,female,13
Mauritius,35-54 years,female,14
Mauritius,25-34 years,female,11
Mauritius,75+ years,female,1
Mauritius,55-74 years,female,3
Mauritius,5-14 years,female,4
Mauritius,5-14 years,male,1
Mauritius,75+ years,male,2
Mauritius,25-34 years,male,30
Mauritius,35-54 years,male,33
Mauritius,55-74 years,male,13
Mauritius,15-24 years,female,16
Mauritius,25-34 years,female,16
Mauritius,15-24 years,male,13
Mauritius,35-54 years,female,8
Mauritius,55-74 years,female,3
Mauritius,5-14 years,female,2
Mauritius,5-14 years,male,2
Mauritius,75+ years,female,0
Mauritius,25-34 years,male,41
Mauritius,15-24 years,male,25
Mauritius,55-74 years,male,12
Mauritius,35-54 years,male,28
Mauritius,75+ years,male,1
Mauritius,15-24 years,female,9
Mauritius,25-34 years,female,8
Mauritius,75+ years,female,1
Mauritius,35-54 years,female,3
Mauritius,5-14 years,female,1
Mauritius,55-74 years,female,0
Mauritius,5-14 years,male,0
Mauritius,35-54 years,male,49
Mauritius,25-34 years,male,34
Mauritius,75+ years,male,2
Mauritius,55-74 years,male,13
Mauritius,15-24 years,male,16
Mauritius,15-24 years,female,11
Mauritius,55-74 years,female,6
Mauritius,75+ years,female,1
Mauritius,35-54 years,female,8
Mauritius,25-34 years,female,4
Mauritius,5-14 years,female,2
Mauritius,5-14 years,male,1
Mauritius,25-34 years,male,33
Mauritius,55-74 years,male,16
Mauritius,35-54 years,male,41
Mauritius,15-24 years,male,27
Mauritius,25-34 years,female,12
