country,age,sex,suicides_no
Mexico,75+ years,male,44
Mexico,55-74 years,male,145
Mexico,25-34 years,male,340
Mexico,35-54 years,male,327
Mexico,15-24 years,male,375
Mexico,15-24 years,female,107
Mexico,75+ years,female,7
Mexico,25-34 years,female,61
Mexico,35-54 years,female,55
Mexico,55-74 years,female,15
Mexico,5-14 years,male,48
Mexico,5-14 years,female,20
Mexico,75+ years,male,70
Mexico,55-74 years,male,176
Mexico,25-34 years,male,388
Mexico,35-54 years,male,361
Mexico,15-24 years,male,408
Mexico,15-24 years,female,117
Mexico,25-34 years,female,70
Mexico,35-54 years,female,51
Mexico,75+ years,female,4
Mexico,55-74 years,female,12
Mexico,5-14 years,male,42
Mexico,5-14 years,female,15
Mexico,75+ years,male,54
Mexico,25-34 years,male,382
Mexico,55-74 years,male,161
Mexico,35-54 years,male,378
Mexico,15-24 years,male,405
Mexico,15-24 years,female,113
Mexico,25-34 years,female,64
Mexico,35-54 years,female,68
Mexico,55-74 years,female,20
Mexico,75+ years,female,4
Mexico,5-14 years,male,36
Mexico,5-14 years,female,16
Mexico,75+ years,male,60
Mexico,55-74 years,male,185
Mexico,25-34 years,male,361
Mexico,35-54 years,male,353
Mexico,15-24 years,male,418
Mexico,15-24 years,female,118
Mexico,75+ years,female,7
Mexico,25-34 years,female,59
Mexico,35-54 years,female,60
Mexico,55-74 years,female,21
Mexico,5-14 years,male,46
Mexico,5-14 years,female,15
Mexico,75+ years,male,83
Mexico,55-74 years,male,212
Mexico,35-54 years,male,404
Mexico,25-34 years,male,369
Mexico,15-24 years,male,472
Mexico,35-54 years,female,79
Mexico,15-24 years,female,96
Mexico,25-34 years,female,64
Mexico,55-74 years,female,27
Mexico,75+ years,female,5
Mexico,5-14 years,male,40
Mexico,5-14 years,female,14
Mexico,75+ years,male,87
Mexico,55-74 years,male,224
Mexico,35-54 years,male,437
Mexico,25-34 years,male,387
Mexico,15-24 years,male,472
Mexico,15-24 years,female,114
Mexico,55-74 years,female,34
Mexico,25-34 years,female,57
Mexico,35-54 years,female,58
Mexico,75+ years,female,5
Mexico,5-14 years,male,41
Mexico,5-14 years,female,10
Mexico,75+ years,male,73
Mexico,55-74 years,male,240
Mexico,25-34 years,male,430
Mexico,35-54 years,male,440
Mexico,15-24 years,male,560
Mexico,75+ years,female,8
Mexico,15-24 years,female,113
Mexico,25-34 years,female,72
Mexico,35-54 years,female,75
Mexico,55-74 years,female,28
Mexico,5-14 years,male,46
Mexico,5-14 years,female,18
Mexico,75+ years,male,95
Mexico,55-74 years,male,243
Mexico,25-34 years,male,484
Mexico,35-54 years,male,482
Mexico,15-24 years,male,554
Mexico,15-24 years,female,126
Mexico,25-34 years,female,84
Mexico,75+ years,female,8
Mexico,55-74 years,female,33
Mexico,35-54 years,female,66
Mexico,5-14 years,male,41
Mexico,5-14 years,female,21
Mexico,75+ years,male,95
Mexico,55-74 years,male,255
Mexico,25-34 years,male,488
Mexico,35-54 years,male,546
Mexico,15-24 years,male,582
Mexico,15-24 years,female,126
Mexico,35-54 years,female,83
Mexico,55-74 years,female,32
Mexico,25-34 years,female,64
Mexico,75+ years,female,6
Mexico,5-14 years,male,45
Mexico,5-14 years,female,20
Mexico,75+ years,male,100
Mexico,55-74 years,male,299
Mexico,25-34 years,male,550
Mexico,35-54 years,male,554
Mexico,15-24 years,male,646
Mexico,15-24 years,female,168
Mexico,75+ years,female,12
Mexico,35-54 years,female,88
Mexico,25-34 years,female,71
Mexico,55-74 years,female,28
Mexico,5-14 years,male,46
Mexico,5-14 years,female,26
Mexico,75+ years,male,111
Mexico,55-74 years,male,298
Mexico,25-34 years,male,640
Mexico,15-24 years,male,755
Mexico,35-54 years,male,580
Mexico,15-24 years,female,198
Mexico,25-34 years,female,87
Mexico,35-54 years,female,89
Mexico,75+ years,female,8
Mexico,55-74 years,female,34
Mexico,5-14 years,male,50
Mexico,5-14 years,female,27
Mexico,75+ years,male,115
Mexico,55-74 years,male,309
Mexico,25-34 years,male,620
Mexico,35-54 years,male,638
Mexico,15-24 years,male,771
Mexico,15-24 years,female,217
Mexico,25-34 years,female,108
Mexico,35-54 years,female,103
Mexico,55-74 years,female,33
Mexico,5-14 years,male,61
Mexico,75+ years,female,4
Mexico,5-14 years,female,29
Mexico,75+ years,male,109
Mexico,25-34 years,male,721
Mexico,15-24 years,male,931
Mexico,55-74 years,male,280
Mexico,35-54 years,male,689
Mexico,15-24 years,female,255
Mexico,25-34 years,female,118
Mexico,35-54 years,female,97
Mexico,55-74 years,female,35
Mexico,5-14 years,male,81
Mexico,75+ years,female,4
Mexico,5-14 years,female,30
Mexico,75+ years,male,117
Mexico,25-34 years,male,774
Mexico,15-24 years,male,860
Mexico,55-74 years,male,288
Mexico,35-54 years,male,676
Mexico,15-24 years,female,227
Mexico,25-34 years,female,113
Mexico,35-54 years,female,95
Mexico,75+ years,female,10
Mexico,5-14 years,male,87
Mexico,55-74 years,female,29
Mexico,5-14 years,female,36
Mexico,75+ years,male,109
Mexico,15-24 years,male,940
Mexico,25-34 years,male,726
Mexico,55-74 years,male,317
Mexico,35-54 years,male,668
Mexico,15-24 years,female,211
Mexico,35-54 years,female,114
Mexico,25-34 years,female,100
Mexico,75+ years,female,9
Mexico,55-74 years,female,34
Mexico,5-14 years,male,59
Mexico,5-14 years,female,40
Mexico,75+ years,male,105
