country,generation,age,suicides_no
Albania,Millenials,5-14 years,0
Albania,Millenials,5-14 years,0
Albania,Millenials,5-14 years,1
Albania,Millenials,5-14 years,1
Albania,Millenials,5-14 years,1
Albania,Millenials,5-14 years,0
Albania,Millenials,5-14 years,6
Albania,Millenials,5-14 years,2
Albania,Millenials,5-14 years,2
Albania,Millenials,5-14 years,1
Albania,Millenials,5-14 years,6
Albania,Millenials,5-14 years,4
Albania,Millenials,5-14 years,2
Albania,Millenials,5-14 years,1
Albania,Millenials,5-14 years,1
Albania,Millenials,5-14 years,0
Albania,Millenials,5-14 years,1
Albania,Millenials,5-14 years,0
Albania,Millenials,15-24 years,10
Albania,Millenials,15-24 years,9
Albania,Millenials,5-14 years,6
Albania,Millenials,5-14 years,2
Albania,Millenials,15-24 years,15
Albania,Millenials,15-24 years,14
Albania,Millenials,5-14 years,1
Albania,Millenials,5-14 years,1
Albania,Millenials,15-24 years,15
Albania,Millenials,15-24 years,14
Albania,Millenials,5-14 years,4
Albania,Millenials,5-14 years,0
Albania,Millenials,15-24 years,20
Albania,Millenials,15-24 years,19
Albania,Millenials,5-14 years,3
Albania,Millenials,5-14 years,1
Albania,Millenials,15-24 years,0
Albania,Millenials,5-14 years,0
Albania,Millenials,15-24 years,0
Albania,Millenials,5-14 years,0
Albania,Millenials,15-24 years,0
Albania,Millenials,5-14 years,0
Albania,Millenials,15-24 years,0
Albania,Millenials,5-14 years,0
Albania,Millenials,15-24 years,13
Albania,Millenials,15-24 years,13
Albania,Millenials,15-24 years,20
Albania,Millenials,15-24 years,11
Albania,Millenials,15-24 years,0
Albania,Millenials,15-24 years,0
Albania,Millenials,15-24 years,10
Albania,Millenials,15-24 years,6
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,5-14 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,25-34 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,25-34 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,25-34 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,25-34 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,25-34 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,25-34 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,25-34 years,0
Antigua and Barbuda,Millenials,15-24 years,0
Antigua and Barbuda,Millenials,25-34 years,0
Argentina,Millenials,5-14 years,28
Argentina,Millenials,5-14 years,9
Argentina,Millenials,5-14 years,22
Argentina,Millenials,5-14 years,13
Argentina,Millenials,5-14 years,25
Argentina,Millenials,5-14 years,16
Argentina,Millenials,5-14 years,27
Argentina,Millenials,5-14 years,11
Argentina,Millenials,5-14 years,19
Argentina,Millenials,5-14 years,15
Argentina,Millenials,5-14 years,14
Argentina,Millenials,5-14 years,9
Argentina,Millenials,5-14 years,19
Argentina,Millenials,5-14 years,11
Argentina,Millenials,5-14 years,20
Argentina,Millenials,5-14 years,16
Argentina,Millenials,5-14 years,21
Argentina,Millenials,5-14 years,20
Argentina,Millenials,5-14 years,21
Argentina,Millenials,5-14 years,18
Argentina,Millenials,15-24 years,518
Argentina,Millenials,15-24 years,166
Argentina,Millenials,5-14 years,29
Argentina,Millenials,5-14 years,24
Argentina,Millenials,15-24 years,542
Argentina,Millenials,15-24 years,158
Argentina,Millenials,5-14 years,37
Argentina,Millenials,5-14 years,23
Argentina,Millenials,15-24 years,638
Argentina,Millenials,15-24 years,179
Argentina,Millenials,5-14 years,37
Argentina,Millenials,5-14 years,25
Argentina,Millenials,15-24 years,653
Argentina,Millenials,15-24 years,159
Argentina,Millenials,5-14 years,43
Argentina,Millenials,5-14 years,25
Argentina,Millenials,15-24 years,638
Argentina,Millenials,15-24 years,148
Argentina,Millenials,5-14 years,52
Argentina,Millenials,5-14 years,21
Argentina,Millenials,15-24 years,656
Argentina,Millenials,15-24 years,175
Argentina,Millenials,5-14 years,39
Argentina,Millenials,5-14 years,26
Argentina,Millenials,15-24 years,577
Argentina,Millenials,15-24 years,146
Argentina,Millenials,15-24 years,625
Argentina,Millenials,15-24 years,180
Argentina,Millenials,15-24 years,609
Argentina,Millenials,15-24 years,164
Argentina,Millenials,15-24 years,683
Argentina,Millenials,15-24 years,150
Argentina,Millenials,15-24 years,693
Argentina,Millenials,25-34 years,510
Argentina,Millenials,15-24 years,172
Argentina,Millenials,25-34 years,102
Argentina,Millenials,15-24 years,745
Argentina,Millenials,25-34 years,616
Argentina,Millenials,15-24 years,204
Argentina,Millenials,25-34 years,102
Argentina,Millenials,15-24 years,696
Argentina,Millenials,25-34 years,499
Argentina,Millenials,15-24 years,167
Argentina,Millenials,25-34 years,102
Argentina,Millenials,15-24 years,738
Argentina,Millenials,25-34 years,531
Argentina,Millenials,15-24 years,204
Argentina,Millenials,25-34 years,118
Argentina,Millenials,15-24 years,656
Argentina,Millenials,25-34 years,465
Argentina,Millenials,15-24 years,153
Argentina,Millenials,25-34 years,114
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,2
Armenia,Millenials,5-14 years,1
Armenia,Millenials,5-14 years,1
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,1
Armenia,Millenials,5-14 years,1
Armenia,Millenials,5-14 years,1
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,1
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,0
Armenia,Millenials,15-24 years,4
Armenia,Millenials,5-14 years,3
Armenia,Millenials,15-24 years,0
Armenia,Millenials,5-14 years,0
Armenia,Millenials,15-24 years,5
Armenia,Millenials,5-14 years,1
Armenia,Millenials,15-24 years,1
Armenia,Millenials,5-14 years,0
Armenia,Millenials,5-14 years,1
Armenia,Millenials,15-24 years,1
Armenia,Millenials,15-24 years,0
Armenia,Millenials,5-14 years,0
Armenia,Millenials,15-24 years,10
Armenia,Millenials,5-14 years,1
Armenia,Millenials,15-24 years,0
Armenia,Millenials,5-14 years,0
Armenia,Millenials,15-24 years,7
Armenia,Millenials,15-24 years,3
Armenia,Millenials,15-24 years,3
Armenia,Millenials,15-24 years,1
Armenia,Millenials,15-24 years,5
Armenia,Millenials,15-24 years,1
Armenia,Millenials,15-24 years,8
Armenia,Millenials,15-24 years,2
Armenia,Millenials,25-34 years,8
Armenia,Millenials,15-24 years,7
Armenia,Millenials,15-24 years,4
Armenia,Millenials,25-34 years,0
Armenia,Millenials,25-34 years,11
Armenia,Millenials,15-24 years,5
Armenia,Millenials,25-34 years,4
Armenia,Millenials,15-24 years,2
Armenia,Millenials,25-34 years,9
Armenia,Millenials,15-24 years,2
Armenia,Millenials,15-24 years,1
Armenia,Millenials,25-34 years,0
Armenia,Millenials,25-34 years,6
Armenia,Millenials,15-24 years,3
Armenia,Millenials,15-24 years,2
Armenia,Millenials,25-34 years,0
Armenia,Millenials,25-34 years,10
Armenia,Millenials,15-24 years,3
Armenia,Millenials,15-24 years,2
Armenia,Millenials,25-34 years,2
Armenia,Millenials,15-24 years,5
Armenia,Millenials,25-34 years,4
Armenia,Millenials,25-34 years,2
Armenia,Millenials,15-24 years,1
Aruba,Millenials,5-14 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,15-24 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,15-24 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,15-24 years,1
Aruba,Millenials,15-24 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,15-24 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,15-24 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,15-24 years,1
Aruba,Millenials,5-14 years,0
Aruba,Millenials,15-24 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,15-24 years,1
Aruba,Millenials,5-14 years,0
Aruba,Millenials,15-24 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,15-24 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,15-24 years,0
Aruba,Millenials,5-14 years,0
Aruba,Millenials,15-24 years,1
Aruba,Millenials,15-24 years,0
Aruba,Millenials,15-24 years,0
Aruba,Millenials,15-24 years,0
Aruba,Millenials,15-24 years,0
Aruba,Millenials,15-24 years,0
