country,age,sex,suicides_no
Montenegro,15-24 years,female,0
Montenegro,25-34 years,female,0
Montenegro,35-54 years,female,0
Montenegro,5-14 years,female,0
Montenegro,55-74 years,female,0
Montenegro,75+ years,female,0
Montenegro,15-24 years,male,0
Montenegro,25-34 years,male,0
Montenegro,35-54 years,male,0
Montenegro,5-14 years,male,0
Montenegro,55-74 years,male,0
Montenegro,75+ years,male,0
Montenegro,15-24 years,female,0
Montenegro,25-34 years,female,0
Montenegro,35-54 years,female,0
Montenegro,5-14 years,female,0
Montenegro,55-74 years,female,0
Montenegro,75+ years,female,0
Montenegro,15-24 years,male,0
Montenegro,25-34 years,male,0
Montenegro,35-54 years,male,0
Montenegro,5-14 years,male,0
Montenegro,55-74 years,male,0
Montenegro,75+ years,male,0
Montenegro,15-24 years,female,0
Montenegro,25-34 years,female,0
Montenegro,35-54 years,female,0
Montenegro,5-14 years,female,0
Montenegro,55-74 years,female,0
Montenegro,75+ years,female,0
Montenegro,15-24 years,male,0
Montenegro,25-34 years,male,0
Montenegro,35-54 years,male,0
Montenegro,5-14 years,male,0
Montenegro,55-74 years,male,0
Montenegro,75+ years,male,0
Montenegro,15-24 years,female,0
Montenegro,25-34 years,female,0
Montenegro,35-54 years,female,0
Montenegro,5-14 years,female,0
Montenegro,55-74 years,female,0
Montenegro,75+ years,female,0
Montenegro,15-24 years,male,0
Montenegro,25-34 years,male,0
Montenegro,35-54 years,male,0
Montenegro,5-14 years,male,0
Montenegro,55-74 years,male,0
Montenegro,75+ years,male,0
Montenegro,15-24 years,female,0
Montenegro,25-34 years,female,0
Montenegro,35-54 years,female,0
Montenegro,5-14 years,female,0
Montenegro,55-74 years,female,0
Montenegro,75+ years,female,0
Montenegro,15-24 years,male,0
Montenegro,25-34 years,male,0
Montenegro,35-54 years,male,0
Montenegro,5-14 years,male,0
Montenegro,55-74 years,male,0
Montenegro,75+ years,male,0
Montenegro,75+ years,male,6
Montenegro,55-74 years,male,29
Montenegro,75+ years,female,6
Montenegro,25-34 years,male,16
Montenegro,35-54 years,male,29
Montenegro,55-74 years,female,16
Montenegro,35-54 years,female,9
Montenegro,25-34 years,female,3
Montenegro,15-24 years,female,2
Montenegro,15-24 years,male,2
Montenegro,5-14 years,female,0
Montenegro,5-14 years,male,0
Montenegro,15-24 years,female,0
Montenegro,25-34 years,female,0
Montenegro,35-54 years,female,0
Montenegro,5-14 years,female,0
Montenegro,55-74 years,female,0
Montenegro,75+ years,female,0
Montenegro,15-24 years,male,0
Montenegro,25-34 years,male,0
Montenegro,35-54 years,male,0
Montenegro,5-14 years,male,0
Montenegro,55-74 years,male,0
Montenegro,75+ years,male,0
Montenegro,75+ years,male,15
Montenegro,55-74 years,male,29
Montenegro,75+ years,female,7
Montenegro,35-54 years,male,27
Montenegro,25-34 years,male,12
Montenegro,55-74 years,female,12
Montenegro,35-54 years,female,10
Montenegro,15-24 years,male,5
Montenegro,25-34 years,female,3
Montenegro,5-14 years,male,1
Montenegro,15-24 years,female,0
Montenegro,5-14 years,female,0
Montenegro,75+ years,male,9
Montenegro,55-74 years,male,30
Montenegro,75+ years,female,10
Montenegro,35-54 years,male,22
Montenegro,55-74 years,female,15
Montenegro,25-34 years,male,9
Montenegro,35-54 years,female,15
Montenegro,15-24 years,male,7
Montenegro,25-34 years,female,5
Montenegro,5-14 years,male,3
Montenegro,15-24 years,female,1
Montenegro,5-14 years,female,0
Montenegro,75+ years,male,15
Montenegro,55-74 years,male,23
Montenegro,35-54 years,male,34
Montenegro,75+ years,female,5
Montenegro,55-74 years,female,12
Montenegro,35-54 years,female,10
Montenegro,15-24 years,male,3
Montenegro,25-34 years,female,2
Montenegro,5-14 years,male,1
Montenegro,15-24 years,female,1
Montenegro,25-34 years,male,1
Montenegro,5-14 years,female,0
