country,age,sex,suicides_no
Netherlands,75+ years,male,106
Netherlands,55-74 years,male,256
Netherlands,35-54 years,male,333
Netherlands,25-34 years,male,212
Netherlands,55-74 years,female,195
Netherlands,35-54 years,female,197
Netherlands,75+ years,female,51
Netherlands,15-24 years,male,136
Netherlands,25-34 years,female,107
Netherlands,15-24 years,female,38
Netherlands,5-14 years,male,5
Netherlands,5-14 years,female,2
Netherlands,75+ years,male,112
Netherlands,55-74 years,male,267
Netherlands,35-54 years,male,327
Netherlands,25-34 years,male,185
Netherlands,55-74 years,female,171
Netherlands,75+ years,female,63
Netherlands,35-54 years,female,220
Netherlands,25-34 years,female,107
Netherlands,15-24 years,male,104
Netherlands,15-24 years,female,44
Netherlands,5-14 years,male,3
Netherlands,5-14 years,female,1
Netherlands,75+ years,male,111
Netherlands,55-74 years,male,246
Netherlands,35-54 years,male,329
Netherlands,25-34 years,male,189
Netherlands,55-74 years,female,189
Netherlands,75+ years,female,66
Netherlands,35-54 years,female,210
Netherlands,25-34 years,female,111
Netherlands,15-24 years,male,117
Netherlands,15-24 years,female,44
Netherlands,5-14 years,male,3
Netherlands,5-14 years,female,1
Netherlands,75+ years,male,112
Netherlands,55-74 years,male,235
Netherlands,25-34 years,male,202
Netherlands,35-54 years,male,309
Netherlands,55-74 years,female,180
Netherlands,75+ years,female,55
Netherlands,35-54 years,female,192
Netherlands,25-34 years,female,100
Netherlands,15-24 years,male,102
Netherlands,15-24 years,female,29
Netherlands,5-14 years,male,5
Netherlands,5-14 years,female,2
Netherlands,75+ years,male,80
Netherlands,55-74 years,male,236
Netherlands,35-54 years,male,330
Netherlands,25-34 years,male,195
Netherlands,55-74 years,female,173
Netherlands,75+ years,female,57
Netherlands,35-54 years,female,196
Netherlands,15-24 years,male,109
Netherlands,25-34 years,female,88
Netherlands,15-24 years,female,52
Netherlands,5-14 years,male,3
Netherlands,5-14 years,female,1
Netherlands,75+ years,male,95
Netherlands,25-34 years,male,204
Netherlands,55-74 years,male,185
Netherlands,35-54 years,male,322
Netherlands,75+ years,female,80
Netherlands,55-74 years,female,145
Netherlands,35-54 years,female,184
Netherlands,15-24 years,male,98
Netherlands,25-34 years,female,89
Netherlands,15-24 years,female,41
Netherlands,5-14 years,male,5
Netherlands,5-14 years,female,2
Netherlands,75+ years,male,119
Netherlands,55-74 years,male,225
Netherlands,35-54 years,male,374
Netherlands,25-34 years,male,198
Netherlands,55-74 years,female,179
Netherlands,75+ years,female,62
Netherlands,15-24 years,male,114
Netherlands,35-54 years,female,190
Netherlands,25-34 years,female,107
Netherlands,15-24 years,female,40
Netherlands,5-14 years,male,3
Netherlands,5-14 years,female,0
Netherlands,75+ years,male,106
Netherlands,55-74 years,male,242
Netherlands,35-54 years,male,381
Netherlands,25-34 years,male,208
Netherlands,75+ years,female,68
Netherlands,35-54 years,female,214
Netherlands,55-74 years,female,137
Netherlands,15-24 years,male,103
Netherlands,25-34 years,female,84
Netherlands,15-24 years,female,41
Netherlands,5-14 years,female,2
Netherlands,5-14 years,male,1
Netherlands,75+ years,male,86
Netherlands,55-74 years,male,239
Netherlands,35-54 years,male,361
Netherlands,25-34 years,male,216
Netherlands,75+ years,female,70
Netherlands,15-24 years,male,115
Netherlands,55-74 years,female,141
Netherlands,35-54 years,female,195
Netherlands,25-34 years,female,90
Netherlands,15-24 years,female,37
Netherlands,5-14 years,male,3
Netherlands,5-14 years,female,2
Netherlands,75+ years,male,98
Netherlands,55-74 years,male,254
Netherlands,35-54 years,male,415
Netherlands,25-34 years,male,216
Netherlands,75+ years,female,53
Netherlands,35-54 years,female,198
Netherlands,15-24 years,male,98
Netherlands,55-74 years,female,122
Netherlands,25-34 years,female,84
Netherlands,15-24 years,female,42
Netherlands,5-14 years,male,3
Netherlands,5-14 years,female,1
Netherlands,75+ years,male,76
Netherlands,55-74 years,male,226
Netherlands,35-54 years,male,404
Netherlands,25-34 years,male,194
Netherlands,75+ years,female,57
Netherlands,15-24 years,male,95
Netherlands,55-74 years,female,127
Netherlands,35-54 years,female,198
Netherlands,25-34 years,female,84
Netherlands,15-24 years,female,44
Netherlands,5-14 years,male,5
Netherlands,5-14 years,female,1
Netherlands,75+ years,male,102
Netherlands,35-54 years,male,419
Netherlands,25-34 years,male,226
Netherlands,55-74 years,male,207
Netherlands,75+ years,female,64
Netherlands,55-74 years,female,147
Netherlands,35-54 years,female,195
Netherlands,15-24 years,male,85
Netherlands,25-34 years,female,89
Netherlands,15-24 years,female,38
Netherlands,5-14 years,male,4
Netherlands,5-14 years,female,1
Netherlands,75+ years,male,106
Netherlands,35-54 years,male,398
Netherlands,55-74 years,male,206
Netherlands,25-34 years,male,210
Netherlands,75+ years,female,70
Netherlands,15-24 years,male,111
Netherlands,55-74 years,female,136
Netherlands,35-54 years,female,195
Netherlands,25-34 years,female,87
Netherlands,15-24 years,female,42
Netherlands,5-14 years,male,11
Netherlands,5-14 years,female,0
Netherlands,75+ years,male,101
Netherlands,25-34 years,male,226
Netherlands,55-74 years,male,205
Netherlands,35-54 years,male,375
Netherlands,75+ years,female,65
Netherlands,55-74 years,female,139
Netherlands,15-24 years,male,89
Netherlands,35-54 years,female,211
Netherlands,25-34 years,female,78
Netherlands,15-24 years,female,21
Netherlands,5-14 years,male,6
Netherlands,5-14 years,female,3
Netherlands,75+ years,male,89
Netherlands,35-54 years,male,427
Netherlands,55-74 years,male,218
Netherlands,25-34 years,male,193
Netherlands,75+ years,female,58
Netherlands,55-74 years,female,123
Netherlands,15-24 years,male,82
Netherlands,35-54 years,female,196
Netherlands,25-34 years,female,80
Netherlands,15-24 years,female,41
Netherlands,5-14 years,male,7
Netherlands,5-14 years,female,5
Netherlands,75+ years,male,95
Netherlands,35-54 years,male,440
Netherlands,55-74 years,male,208
Netherlands,25-34 years,male,162
Netherlands,55-74 years,female,146
Netherlands,15-24 years,male,90
Netherlands,35-54 years,female,221
Netherlands,75+ years,female,49
Netherlands,25-34 years,female,67
Netherlands,15-24 years,female,18
Netherlands,5-14 years,male,5
Netherlands,5-14 years,female,0
Netherlands,75+ years,male,95
Netherlands,35-54 years,male,452
Netherlands,25-34 years,male,183
Netherlands,55-74 years,male,208
Netherlands,35-54 years,female,209
Netherlands,75+ years,female,54
Netherlands,15-24 years,male,71
Netherlands,55-74 years,female,106
Netherlands,25-34 years,female,61
Netherlands,15-24 years,female,32
Netherlands,5-14 years,female,2
Netherlands,5-14 years,male,1
Netherlands,75+ years,male,90
Netherlands,35-54 years,male,482
Netherlands,55-74 years,male,227
Netherlands,25-34 years,male,179
Netherlands,55-74 years,female,148
Netherlands,35-54 years,female,218
Netherlands,75+ years,female,56
Netherlands,15-24 years,male,80
Netherlands,25-34 years,female,57
Netherlands,15-24 years,female,26
Netherlands,5-14 years,male,5
Netherlands,5-14 years,female,2
