country,age,sex,suicides_no
New Zealand,75+ years,male,18
New Zealand,55-74 years,male,60
New Zealand,25-34 years,male,51
New Zealand,15-24 years,male,60
New Zealand,35-54 years,male,64
New Zealand,55-74 years,female,26
New Zealand,35-54 years,female,22
New Zealand,15-24 years,female,15
New Zealand,25-34 years,female,13
New Zealand,75+ years,female,4
New Zealand,5-14 years,female,3
New Zealand,5-14 years,male,2
New Zealand,75+ years,male,18
New Zealand,35-54 years,male,100
New Zealand,55-74 years,male,60
New Zealand,15-24 years,male,68
New Zealand,25-34 years,male,53
New Zealand,75+ years,female,9
New Zealand,55-74 years,female,27
New Zealand,35-54 years,female,31
New Zealand,15-24 years,female,23
New Zealand,25-34 years,female,21
New Zealand,5-14 years,female,2
New Zealand,5-14 years,male,2
New Zealand,75+ years,male,28
New Zealand,15-24 years,male,93
New Zealand,25-34 years,male,79
New Zealand,55-74 years,male,64
New Zealand,35-54 years,male,92
New Zealand,75+ years,female,9
New Zealand,25-34 years,female,24
New Zealand,35-54 years,female,28
New Zealand,15-24 years,female,20
New Zealand,55-74 years,female,18
New Zealand,5-14 years,male,7
New Zealand,5-14 years,female,1
New Zealand,75+ years,male,20
New Zealand,15-24 years,male,106
New Zealand,55-74 years,male,79
New Zealand,25-34 years,male,72
New Zealand,35-54 years,male,102
New Zealand,75+ years,female,10
New Zealand,25-34 years,female,29
New Zealand,55-74 years,female,25
New Zealand,15-24 years,female,25
New Zealand,35-54 years,female,14
New Zealand,5-14 years,male,2
New Zealand,5-14 years,female,0
New Zealand,15-24 years,male,111
New Zealand,75+ years,male,21
New Zealand,25-34 years,male,79
New Zealand,35-54 years,male,96
New Zealand,55-74 years,male,57
New Zealand,55-74 years,female,24
New Zealand,25-34 years,female,22
New Zealand,15-24 years,female,20
New Zealand,35-54 years,female,25
New Zealand,5-14 years,male,8
New Zealand,75+ years,female,2
New Zealand,5-14 years,female,0
New Zealand,15-24 years,male,111
New Zealand,75+ years,male,21
New Zealand,25-34 years,male,72
New Zealand,35-54 years,male,99
New Zealand,55-74 years,male,58
New Zealand,25-34 years,female,21
New Zealand,35-54 years,female,29
New Zealand,15-24 years,female,19
New Zealand,55-74 years,female,17
New Zealand,75+ years,female,6
New Zealand,5-14 years,male,2
New Zealand,5-14 years,female,0
New Zealand,15-24 years,male,109
New Zealand,25-34 years,male,95
New Zealand,75+ years,male,17
New Zealand,35-54 years,male,110
New Zealand,55-74 years,male,45
New Zealand,35-54 years,female,40
New Zealand,55-74 years,female,18
New Zealand,25-34 years,female,19
New Zealand,15-24 years,female,16
New Zealand,5-14 years,male,4
New Zealand,75+ years,female,1
New Zealand,5-14 years,female,0
New Zealand,15-24 years,male,112
New Zealand,25-34 years,male,98
New Zealand,55-74 years,male,67
New Zealand,75+ years,male,15
New Zealand,35-54 years,male,101
New Zealand,55-74 years,female,22
New Zealand,35-54 years,female,35
