country,age,sex,suicides_no
Nicaragua,75+ years,male,8
Nicaragua,25-34 years,male,82
Nicaragua,35-54 years,male,73
Nicaragua,15-24 years,male,83
Nicaragua,55-74 years,male,23
Nicaragua,15-24 years,female,33
Nicaragua,25-34 years,female,15
Nicaragua,35-54 years,female,18
Nicaragua,55-74 years,female,4
Nicaragua,5-14 years,female,7
Nicaragua,5-14 years,male,5
Nicaragua,75+ years,female,0
Nicaragua,25-34 years,male,82
Nicaragua,75+ years,male,7
Nicaragua,15-24 years,male,88
Nicaragua,55-74 years,male,29
Nicaragua,35-54 years,male,61
Nicaragua,15-24 years,female,54
Nicaragua,25-34 years,female,13
Nicaragua,55-74 years,female,6
Nicaragua,35-54 years,female,11
Nicaragua,5-14 years,female,9
Nicaragua,5-14 years,male,9
Nicaragua,75+ years,female,0
Nicaragua,25-34 years,male,74
Nicaragua,15-24 years,male,73
Nicaragua,55-74 years,male,24
Nicaragua,35-54 years,male,53
Nicaragua,75+ years,male,4
Nicaragua,15-24 years,female,42
Nicaragua,25-34 years,female,17
Nicaragua,35-54 years,female,12
Nicaragua,55-74 years,female,4
Nicaragua,75+ years,female,1
Nicaragua,5-14 years,female,6
Nicaragua,5-14 years,male,6
Nicaragua,25-34 years,male,83
Nicaragua,55-74 years,male,33
Nicaragua,15-24 years,male,85
Nicaragua,35-54 years,male,68
Nicaragua,75+ years,male,6
Nicaragua,15-24 years,female,38
Nicaragua,35-54 years,female,15
Nicaragua,25-34 years,female,10
Nicaragua,5-14 years,female,10
Nicaragua,55-74 years,female,2
Nicaragua,5-14 years,male,1
Nicaragua,75+ years,female,0
Nicaragua,25-34 years,male,73
Nicaragua,55-74 years,male,29
Nicaragua,35-54 years,male,67
Nicaragua,15-24 years,male,65
Nicaragua,75+ years,male,4
Nicaragua,15-24 years,female,31
Nicaragua,25-34 years,female,16
Nicaragua,75+ years,female,2
Nicaragua,55-74 years,female,6
Nicaragua,5-14 years,female,12
Nicaragua,5-14 years,male,3
Nicaragua,35-54 years,female,3
Nicaragua,75+ years,male,7
Nicaragua,25-34 years,male,65
Nicaragua,15-24 years,male,68
Nicaragua,35-54 years,male,67
Nicaragua,55-74 years,male,18
Nicaragua,15-24 years,female,41
Nicaragua,25-34 years,female,19
Nicaragua,35-54 years,female,14
Nicaragua,55-74 years,female,4
Nicaragua,5-14 years,female,7
Nicaragua,5-14 years,male,5
Nicaragua,75+ years,female,0
