country,age,sex,suicides_no
Norway,35-54 years,male,137
Norway,25-34 years,male,86
Norway,55-74 years,male,101
Norway,15-24 years,male,69
Norway,75+ years,male,19
Norway,35-54 years,female,67
Norway,55-74 years,female,56
Norway,75+ years,female,10
Norway,25-34 years,female,15
Norway,15-24 years,female,12
Norway,5-14 years,male,7
Norway,5-14 years,female,0
Norway,75+ years,male,35
Norway,55-74 years,male,125
Norway,25-34 years,male,94
Norway,35-54 years,male,149
Norway,15-24 years,male,80
Norway,55-74 years,female,54
Norway,35-54 years,female,60
Norway,25-34 years,female,29
Norway,15-24 years,female,12
Norway,75+ years,female,6
Norway,5-14 years,male,3
Norway,5-14 years,female,2
Norway,75+ years,male,36
Norway,25-34 years,male,102
Norway,35-54 years,male,163
Norway,55-74 years,male,113
Norway,15-24 years,male,91
Norway,35-54 years,female,70
Norway,55-74 years,female,55
Norway,25-34 years,female,36
Norway,75+ years,female,14
Norway,15-24 years,female,21
Norway,5-14 years,male,5
Norway,5-14 years,female,2
Norway,75+ years,male,41
Norway,35-54 years,male,162
Norway,55-74 years,male,106
Norway,15-24 years,male,88
Norway,25-34 years,male,83
Norway,55-74 years,female,55
Norway,25-34 years,female,34
Norway,35-54 years,female,53
Norway,75+ years,female,15
Norway,15-24 years,female,20
Norway,5-14 years,female,2
Norway,5-14 years,male,1
Norway,55-74 years,male,125
Norway,75+ years,male,34
Norway,35-54 years,male,159
Norway,25-34 years,male,92
Norway,15-24 years,male,74
Norway,55-74 years,female,55
Norway,35-54 years,female,62
Norway,75+ years,female,15
Norway,15-24 years,female,20
Norway,25-34 years,female,19
Norway,5-14 years,male,4
Norway,5-14 years,female,0
Norway,55-74 years,male,120
Norway,35-54 years,male,162
Norway,75+ years,male,31
Norway,25-34 years,male,92
Norway,15-24 years,male,90
Norway,55-74 years,female,60
Norway,35-54 years,female,57
Norway,75+ years,female,19
Norway,25-34 years,female,25
Norway,15-24 years,female,14
Norway,5-14 years,male,4
Norway,5-14 years,female,1
Norway,75+ years,male,36
Norway,15-24 years,male,91
Norway,55-74 years,male,98
Norway,35-54 years,male,142
Norway,25-34 years,male,78
Norway,35-54 years,female,68
Norway,55-74 years,female,43
Norway,75+ years,female,18
Norway,25-34 years,female,21
Norway,15-24 years,female,16
Norway,5-14 years,male,4
Norway,5-14 years,female,1
Norway,75+ years,male,42
Norway,35-54 years,male,162
Norway,25-34 years,male,85
Norway,55-74 years,male,86
Norway,15-24 years,male,69
Norway,55-74 years,female,39
Norway,75+ years,female,19
Norway,25-34 years,female,24
Norway,35-54 years,female,39
Norway,15-24 years,female,18
Norway,5-14 years,male,5
Norway,5-14 years,female,2
Norway,25-34 years,male,84
Norway,35-54 years,male,131
Norway,75+ years,male,25
Norway,15-24 years,male,64
Norway,55-74 years,male,69
Norway,55-74 years,female,47
Norway,35-54 years,female,53
Norway,25-34 years,female,26
Norway,75+ years,female,11
Norway,15-24 years,female,13
Norway,5-14 years,male,6
Norway,5-14 years,female,2
Norway,55-74 years,male,94
Norway,75+ years,male,29
Norway,35-54 years,male,137
Norway,15-24 years,male,68
Norway,25-34 years,male,76
Norway,35-54 years,female,58
Norway,55-74 years,female,33
Norway,15-24 years,female,16
Norway,75+ years,female,11
Norway,25-34 years,female,17
Norway,5-14 years,male,7
Norway,5-14 years,female,2
Norway,75+ years,male,37
Norway,55-74 years,male,82
Norway,25-34 years,male,80
Norway,15-24 years,male,62
Norway,35-54 years,male,122
Norway,35-54 years,female,48
Norway,55-74 years,female,29
Norway,25-34 years,female,22
Norway,15-24 years,female,16
Norway,75+ years,female,10
Norway,5-14 years,male,6
Norway,5-14 years,female,3
Norway,75+ years,male,46
Norway,55-74 years,male,90
Norway,35-54 years,male,133
