country,age,sex,suicides_no
Oman,75+ years,male,2
Oman,25-34 years,male,7
Oman,15-24 years,male,3
Oman,35-54 years,male,1
Oman,15-24 years,female,0
Oman,25-34 years,female,0
Oman,35-54 years,female,0
Oman,5-14 years,female,0
Oman,55-74 years,female,0
Oman,75+ years,female,0
Oman,5-14 years,male,0
Oman,55-74 years,male,0
Oman,35-54 years,male,6
Oman,15-24 years,male,4
Oman,55-74 years,male,1
Oman,25-34 years,male,2
Oman,15-24 years,female,0
Oman,25-34 years,female,0
Oman,35-54 years,female,0
Oman,5-14 years,female,0
Oman,55-74 years,female,0
Oman,75+ years,female,0
Oman,5-14 years,male,0
Oman,75+ years,male,0
Oman,55-74 years,male,1
Oman,25-34 years,male,4
Oman,35-54 years,male,2
Oman,15-24 years,female,0
Oman,25-34 years,female,0
Oman,35-54 years,female,0
Oman,5-14 years,female,0
Oman,55-74 years,female,0
Oman,75+ years,female,0
Oman,15-24 years,male,0
Oman,5-14 years,male,0
Oman,75+ years,male,0
