country,age,sex,suicides_no
Panama,75+ years,male,3
Panama,25-34 years,male,15
Panama,35-54 years,male,14
Panama,15-24 years,male,10
Panama,55-74 years,female,3
Panama,55-74 years,male,2
Panama,25-34 years,female,3
Panama,15-24 years,female,4
Panama,35-54 years,female,1
Panama,5-14 years,female,1
Panama,75+ years,female,0
Panama,5-14 years,male,0
Panama,55-74 years,male,14
Panama,35-54 years,male,18
Panama,25-34 years,male,15
Panama,15-24 years,male,17
Panama,75+ years,male,1
Panama,75+ years,female,1
Panama,15-24 years,female,8
Panama,35-54 years,female,3
Panama,25-34 years,female,2
Panama,5-14 years,male,2
Panama,5-14 years,female,1
Panama,55-74 years,female,0
Panama,75+ years,male,3
Panama,25-34 years,male,18
Panama,55-74 years,male,9
Panama,35-54 years,male,16
Panama,15-24 years,male,16
Panama,55-74 years,female,3
Panama,15-24 years,female,8
Panama,25-34 years,female,5
Panama,35-54 years,female,4
Panama,5-14 years,male,2
Panama,5-14 years,female,1
Panama,75+ years,female,0
Panama,25-34 years,male,20
Panama,75+ years,male,2
Panama,35-54 years,male,19
Panama,15-24 years,male,19
Panama,55-74 years,male,5
Panama,75+ years,female,1
Panama,55-74 years,female,4
Panama,15-24 years,female,9
Panama,35-54 years,female,4
Panama,5-14 years,female,2
Panama,25-34 years,female,1
Panama,5-14 years,male,1
Panama,75+ years,male,4
Panama,25-34 years,male,18
Panama,35-54 years,male,15
Panama,15-24 years,male,17
Panama,55-74 years,male,6
Panama,15-24 years,female,4
Panama,35-54 years,female,3
Panama,55-74 years,female,1
Panama,25-34 years,female,1
Panama,5-14 years,male,1
Panama,5-14 years,female,0
Panama,75+ years,female,0
Panama,75+ years,male,4
Panama,25-34 years,male,30
Panama,35-54 years,male,30
Panama,55-74 years,male,11
Panama,15-24 years,male,23
Panama,75+ years,female,1
Panama,15-24 years,female,5
Panama,55-74 years,female,2
Panama,25-34 years,female,3
Panama,35-54 years,female,3
Panama,5-14 years,female,1
Panama,5-14 years,male,0
Panama,25-34 years,male,45
Panama,75+ years,male,5
Panama,35-54 years,male,37
Panama,55-74 years,male,12
Panama,15-24 years,male,24
Panama,75+ years,female,2
Panama,15-24 years,female,8
Panama,35-54 years,female,7
Panama,55-74 years,female,2
Panama,25-34 years,female,2
Panama,5-14 years,male,1
Panama,5-14 years,female,0
Panama,55-74 years,male,21
Panama,25-34 years,male,34
Panama,15-24 years,male,36
Panama,75+ years,male,3
Panama,35-54 years,male,30
Panama,15-24 years,female,9
Panama,75+ years,female,1
Panama,55-74 years,female,3
Panama,35-54 years,female,7
Panama,25-34 years,female,4
Panama,5-14 years,female,0
Panama,5-14 years,male,0
Panama,75+ years,male,5
Panama,25-34 years,male,39
Panama,55-74 years,male,18
Panama,35-54 years,male,34
Panama,15-24 years,male,27
Panama,75+ years,female,1
Panama,15-24 years,female,6
Panama,25-34 years,female,5
Panama,55-74 years,female,2
Panama,35-54 years,female,3
Panama,5-14 years,female,2
Panama,5-14 years,male,1
Panama,75+ years,male,10
Panama,35-54 years,male,44
Panama,25-34 years,male,30
Panama,55-74 years,male,13
Panama,15-24 years,male,25
Panama,15-24 years,female,8
Panama,25-34 years,female,7
Panama,55-74 years,female,3
Panama,5-14 years,male,2
Panama,35-54 years,female,1
Panama,5-14 years,female,0
Panama,75+ years,female,0
Panama,75+ years,male,7
Panama,25-34 years,male,40
Panama,55-74 years,male,20
Panama,15-24 years,male,34
Panama,35-54 years,male,36
Panama,15-24 years,female,9
Panama,55-74 years,female,4
Panama,75+ years,female,1
Panama,25-34 years,female,4
Panama,35-54 years,female,5
Panama,5-14 years,male,2
Panama,5-14 years,female,0
Panama,55-74 years,male,26
Panama,35-54 years,male,45
Panama,25-34 years,male,27
Panama,75+ years,male,3
Panama,15-24 years,male,27
Panama,75+ years,female,3
Panama,55-74 years,female,5
Panama,35-54 years,female,8
Panama,25-34 years,female,6
Panama,15-24 years,female,6
Panama,5-14 years,female,2
Panama,5-14 years,male,2
Panama,75+ years,male,10
Panama,15-24 years,male,48
Panama,25-34 years,male,41
Panama,35-54 years,male,51
Panama,55-74 years,male,21
Panama,15-24 years,female,10
Panama,35-54 years,female,6
Panama,55-74 years,female,2
Panama,25-34 years,female,3
Panama,5-14 years,male,3
Panama,5-14 years,female,0
Panama,75+ years,female,0
Panama,75+ years,male,6
Panama,25-34 years,male,43
Panama,55-74 years,male,22
Panama,35-54 years,male,50
Panama,15-24 years,male,28
Panama,15-24 years,female,14
Panama,25-34 years,female,9
Panama,35-54 years,female,9
Panama,5-14 years,male,3
Panama,5-14 years,female,2
Panama,55-74 years,female,0
Panama,75+ years,female,0
Panama,55-74 years,male,28
Panama,75+ years,male,5
Panama,15-24 years,male,39
Panama,35-54 years,male,42
Panama,25-34 years,male,29
Panama,15-24 years,female,11
Panama,55-74 years,female,4
Panama,75+ years,female,1
Panama,5-14 years,male,5
Panama,25-34 years,female,4
Panama,35-54 years,female,4
Panama,5-14 years,female,0
Panama,75+ years,male,11
Panama,55-74 years,male,30
Panama,25-34 years,male,45
Panama,35-54 years,male,46
Panama,15-24 years,male,35
Panama,15-24 years,female,7
Panama,5-14 years,male,5
Panama,25-34 years,female,3
Panama,55-74 years,female,1
Panama,5-14 years,female,1
Panama,35-54 years,female,1
Panama,75+ years,female,0
Panama,75+ years,male,7
Panama,35-54 years,male,63
Panama,55-74 years,male,22
Panama,15-24 years,male,31
Panama,25-34 years,male,27
Panama,25-34 years,female,6
Panama,35-54 years,female,7
Panama,15-24 years,female,5
Panama,5-14 years,female,2
Panama,55-74 years,female,1
Panama,75+ years,female,0
Panama,5-14 years,male,0
Panama,25-34 years,male,43
Panama,15-24 years,male,42
Panama,55-74 years,male,23
Panama,35-54 years,male,38
Panama,75+ years,male,3
Panama,75+ years,female,2
Panama,15-24 years,female,12
Panama,55-74 years,female,4
Panama,25-34 years,female,5
Panama,35-54 years,female,7
Panama,5-14 years,male,5
Panama,5-14 years,female,2
Panama,25-34 years,male,44
Panama,55-74 years,male,27
Panama,35-54 years,male,42
Panama,15-24 years,male,29
Panama,75+ years,male,4
Panama,15-24 years,female,16
Panama,55-74 years,female,3
Panama,25-34 years,female,4
Panama,35-54 years,female,4
Panama,5-14 years,male,3
Panama,5-14 years,female,1
Panama,75+ years,female,0
Panama,75+ years,male,7
Panama,25-34 years,male,41
Panama,35-54 years,male,43
Panama,55-74 years,male,17
Panama,15-24 years,male,22
Panama,75+ years,female,2
Panama,15-24 years,female,11
Panama,35-54 years,female,8
Panama,25-34 years,female,0
Panama,5-14 years,female,0
Panama,55-74 years,female,0
Panama,5-14 years,male,0
Panama,75+ years,male,10
Panama,35-54 years,male,46
Panama,55-74 years,male,18
Panama,15-24 years,male,29
Panama,25-34 years,male,22
Panama,15-24 years,female,9
Panama,25-34 years,female,3
Panama,55-74 years,female,2
Panama,35-54 years,female,4
Panama,5-14 years,female,1
Panama,75+ years,female,0
Panama,5-14 years,male,0
Panama,75+ years,male,6
Panama,55-74 years,male,24
Panama,25-34 years,male,28
Panama,15-24 years,male,29
Panama,35-54 years,male,29
Panama,15-24 years,female,9
Panama,25-34 years,female,5
Panama,75+ years,female,1
Panama,35-54 years,female,3
Panama,5-14 years,male,1
Panama,5-14 years,female,0
Panama,55-74 years,female,0
Panama,55-74 years,male,23
Panama,75+ years,male,5
Panama,35-54 years,male,41
Panama,15-24 years,male,24
Panama,25-34 years,male,21
Panama,75+ years,female,1
Panama,15-24 years,female,4
Panama,35-54 years,female,5
Panama,55-74 years,female,2
Panama,5-14 years,male,3
Panama,5-14 years,female,1
Panama,25-34 years,female,0
Panama,75+ years,male,8
Panama,15-24 years,male,37
Panama,25-34 years,male,27
Panama,35-54 years,male,39
Panama,55-74 years,male,11
Panama,35-54 years,female,8
Panama,75+ years,female,1
Panama,15-24 years,female,5
Panama,5-14 years,male,5
Panama,25-34 years,female,4
Panama,55-74 years,female,1
Panama,5-14 years,female,1
Panama,75+ years,male,8
Panama,25-34 years,male,26
Panama,55-74 years,male,14
Panama,35-54 years,male,26
Panama,15-24 years,male,16
Panama,15-24 years,female,8
Panama,25-34 years,female,4
Panama,55-74 years,female,3
Panama,35-54 years,female,4
Panama,5-14 years,male,1
Panama,5-14 years,female,0
Panama,75+ years,female,0
